id,group_id,customType_Main,customType_Sub,skillLockType,Lv,actionGroupID,coolDownTime,globalCoolDownTime,ignoreGlobalCoolDownTime,customVariablesData/0/customVariablesType,customVariablesData/0/customVariables,customVariablesData/0/customCalcType,customVariablesData/0/customValue,customVariablesData/1/customVariablesType,customVariablesData/1/customVariables,customVariablesData/1/customCalcType,customVariablesData/1/customValue,attack_keep,customVariablesData/2/customVariablesType,customVariablesData/2/customVariables,customVariablesData/2/customCalcType,customVariablesData/2/customValue
1000,800600,skill_a,Active,NoneLock,1.0,600.0,25.0,0.0,True,,,,,,,,,,,,,
1001,800601,skill_a,Active,NoneLock,2.0,610.0,25.0,0.0,True,CharacterCustom,actionGroupID,Set,610.0,,,,,,,,,
1002,800602,skill_a,Active,NoneLock,3.0,620.0,20.0,0.0,True,CharacterCustom,actionGroupID,Set,620.0,,,,,,,,,
1003,800603,skill_a,Active,NoneLock,4.0,630.0,20.0,0.0,True,CharacterCustom,actionGroupID,Set,630.0,,,,,,,,,
1004,800604,skill_a,Active,NoneLock,5.0,640.0,15.0,0.0,True,CharacterCustom,actionGroupID,Set,640.0,,,,,,,,,
1005,800605,skill_a,Active,NoneLock,6.0,650.0,15.0,0.0,True,CharacterCustom,actionGroupID,Set,650.0,,,,,,,,,
1006,800606,skill_a,Active,NoneLock,7.0,660.0,15.0,0.0,True,CharacterCustom,actionGroupID,Set,660.0,,,,,,,,,
1010,1010,skill_a,Passive,,,,,,,CharacterCustomAction,proj_pierce,Add,100.0,,,,,,,,,
1011,1011,skill_a,Passive,,,,,,,,proj_spd,Mul,115.0,,,,,,,,,
1012,1012,skill_a,Passive,,,,,,,CharacterCustom,coolDownTime,Sub,10.0,,,,,,,,,
1013,1013,skill_a,Passive,,,,,,,CharacterCustomAction,proj_atk,Add,100.0,,,,,,,,,
2000,800700,skill_b,Active,NoneLock,,700.0,400.0,0.0,False,,,,,,,,,,,,,
2010,2010,skill_b,Passive,,,,,,,CharacterCustomAction,proj_afterCollide,Set,211.0,,,,,,,,,
