id,group,order,ce004_skill_position_group_data/0/skill_position,ce004_skill_position_group_data/1/skill_position,ce004_skill_position_group_data/2/skill_position,ce004_skill_position_group_data/3/skill_position,ce004_skill_position_group_data/4/skill_position,ce004_skill_position_group_data/5/skill_position,position_localkey
101,101,1,None,Core,None,None,Projectile,None,
102,102,1,None,Core,None,None,Projectile,None,
103,103,1,None,Core,None,None,Projectile,None,
104,104,1,None,Core,None,None,Projectile,None,
105,105,1,None,Core,None,None,Projectile,None,
106,106,1,None,Core,None,None,Projectile,None,
107,107,1,None,Core,None,None,Projectile,None,
201,201,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,
202,202,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,
203,203,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,
204,204,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,
205,205,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,
206,206,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,
207,207,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,
301,301,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,
302,302,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,
303,303,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,
304,304,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,
305,305,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,
306,306,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,
307,307,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,
401,401,1,None,Core,None,None,Projectile,None,Locale_Event:ce004_mini_game_button_shuffle_desc_01
402,401,2,None,Projectile,None,None,Core,None,Locale_Event:ce004_mini_game_button_shuffle_desc_01
403,403,1,LeftDestruction,Core,RightDestruction,None,Projectile,None,Locale_Event:ce004_mini_game_button_shuffle_desc_01
404,403,2,RightDestruction,Core,LeftDestruction,None,Projectile,None,Locale_Event:ce004_mini_game_button_shuffle_desc_02
405,403,3,None,Projectile,None,RightDestruction,Core,LeftDestruction,Locale_Event:ce004_mini_game_button_shuffle_desc_01
406,403,4,None,Projectile,None,LeftDestruction,Core,RightDestruction,Locale_Event:ce004_mini_game_button_shuffle_desc_02
407,407,1,LeftDestruction,Core,RightDestruction,LeftCancelling,Projectile,RightCancelling,Locale_Event:ce004_mini_game_button_shuffle_desc_02
408,407,2,LeftCancelling,Projectile,RightCancelling,LeftDestruction,Core,RightDestruction,Locale_Event:ce004_mini_game_button_shuffle_desc_01
409,407,3,RightCancelling,Projectile,LeftCancelling,RightDestruction,Core,LeftDestruction,Locale_Event:ce004_mini_game_button_shuffle_desc_02
410,407,4,RightDestruction,Core,LeftDestruction,RightCancelling,Projectile,LeftCancelling,Locale_Event:ce004_mini_game_button_shuffle_desc_01
