id,group,order,character_name_code,bonus_percent
101,1,1,5066,400000
102,1,2,5007,300000
103,1,3,5070,150000
104,1,4,5033,150000
105,1,5,5026,150000
106,1,6,3001,100000
201,2,1,1010,600000
202,2,2,5001,400000
203,2,3,5024,400000
204,2,4,5075,300000
205,2,5,5005,300000
206,2,6,5020,300000
207,2,7,3001,200000
208,2,8,3005,200000
209,2,9,3002,200000
301,3,1,5087,600000
302,3,2,5003,400000
303,3,3,5005,400000
304,3,4,5021,300000
305,3,5,5018,300000
306,3,6,5029,300000
307,3,7,3011,300000
308,3,8,3009,200000
309,3,9,3003,200000
404,4,1,5085,600000
401,4,2,5087,600000
402,4,3,5003,400000
403,4,4,5005,400000
405,4,5,5018,300000
406,4,6,5029,300000
407,4,7,3011,300000
408,4,8,3009,200000
409,4,9,3003,200000
501,5,2,5066,400000
502,5,3,5014,400000
503,5,4,5002,400000
504,5,5,5028,300000
505,5,6,5036,300000
506,5,7,5023,300000
507,5,8,3008,200000
508,5,9,3007,200000
509,5,10,3006,200000
510,5,1,5044,600000
601,6,1,1020,600000
602,6,2,1022,600000
603,6,3,5025,400000
604,6,4,5034,300000
605,6,5,5033,300000
606,6,6,5036,300000
607,6,7,5022,300000
608,6,8,3001,200000
609,6,9,3005,200000
610,6,10,3002,200000
701,7,1,5050,600000
702,7,2,5051,600000
703,7,3,5015,400000
704,7,4,5007,400000
705,7,5,5038,300000
706,7,6,5006,300000
707,7,7,5017,300000
708,7,8,3010,200000
709,7,9,3007,200000
710,7,10,3006,200000
801,8,1,5089,600000
802,8,2,5090,600000
803,8,3,5036,400000
804,8,4,5027,400000
805,8,5,5004,300000
806,8,6,5035,300000
807,8,7,3012,300000
808,8,8,3001,200000
809,8,9,3005,200000
810,8,10,3002,200000
901,9,1,5089,600000
902,9,2,5090,600000
903,9,3,5036,400000
904,9,4,5027,400000
905,9,5,5004,300000
906,9,6,5035,300000
907,9,7,3012,300000
908,9,8,3001,200000
909,9,9,3005,200000
910,9,10,3002,200000
1001,10,1,5054,600000
1002,10,2,5011,400000
1003,10,3,5016,400000
1004,10,4,5021,300000
1005,10,5,5017,300000
1006,10,6,5031,300000
1007,10,7,3009,200000
1008,10,8,3003,200000
1009,10,9,3006,200000
1101,11,1,1012,600000
1102,11,2,5074,400000
1103,11,3,5037,400000
1104,11,4,5006,300000
1105,11,5,5019,300000
1106,11,6,5032,300000
1107,11,7,3001,200000
1108,11,8,3005,200000
1109,11,9,3002,200000
1201,12,1,1007,600000
1202,12,2,1022,400000
1203,12,3,5001,400000
1204,12,4,5026,300000
1205,12,5,5010,300000
1206,12,6,5030,300000
1207,12,7,3008,200000
1208,12,8,3010,200000
1209,12,9,3006,200000
1301,13,1,5061,600000
1302,13,2,5040,400000
1303,13,3,5012,400000
1304,13,4,5041,400000
1305,13,5,5004,300000
1306,13,6,5023,300000
1307,13,7,5069,300000
1308,13,8,3001,200000
1309,13,9,3005,200000
1310,13,10,3002,200000
1311,13,11,1024,100000
1401,14,1,5061,600000
1402,14,2,5040,400000
1403,14,3,5012,400000
1404,14,4,5041,400000
1405,14,5,5004,300000
1406,14,6,5023,300000
1407,14,7,5069,300000
1408,14,8,3001,200000
1409,14,9,3005,200000
1410,14,10,3002,200000
1411,14,11,1024,100000
1601,16,1,5008,600000
1602,16,2,5009,600000
1603,16,3,5034,400000
1604,16,4,1022,400000
1605,16,5,5028,300000
1606,16,6,5003,300000
1607,16,7,5029,300000
1608,16,8,3008,200000
1609,16,9,3005,200000
1610,16,10,3006,200000
1701,17,1,5045,600000
1702,17,2,1012,400000
1703,17,3,5005,400000
1704,17,4,5020,300000
1705,17,5,5018,300000
1706,17,6,5002,300000
1707,17,7,3009,200000
1708,17,8,3010,200000
1709,17,9,3002,200000
2001,20,1,5064,600000
2002,20,2,5027,400000
2003,20,3,5011,400000
2004,20,4,5035,300000
2005,20,5,5015,300000
2006,20,6,5070,300000
2007,20,7,5019,300000
2008,20,8,3001,200000
2009,20,9,3003,200000
2010,20,10,3002,200000
2101,21,1,5064,600000
2102,21,2,5071,600000
2103,21,3,5027,400000
2104,21,4,5010,400000
2105,21,5,5015,300000
2106,21,6,5070,300000
2107,21,7,5019,300000
2108,21,8,3001,200000
2109,21,9,3003,200000
2110,21,10,3006,200000
2201,22,1,5068,600000
2202,22,2,5024,400000
2203,22,3,5054,400000
2204,22,4,5030,300000
2205,22,5,5074,300000
2206,22,6,5075,300000
2207,22,7,3008,200000
2208,22,8,3005,200000
2209,22,9,3001,200000
2301,23,1,5079,600000
2302,23,2,5010,400000
2303,23,3,5004,400000
2304,23,4,1020,300000
2305,23,5,5016,300000
2306,23,6,5007,300000
2307,23,7,3009,200000
2308,23,8,3007,200000
2309,23,9,3006,200000
2401,24,1,5097,600000
2402,24,2,5079,400000
2403,24,3,5066,400000
2404,24,4,5011,300000
2405,24,5,5035,300000
2406,24,6,5022,300000
2407,24,7,5014,300000
2408,24,8,5063,300000
2409,24,9,3007,200000
2410,24,10,3001,200000
2501,25,1,5097,600000
2502,25,2,5098,600000
2503,25,3,5079,400000
2504,25,4,5011,300000
2505,25,5,5035,300000
2506,25,6,5022,300000
2507,25,7,5014,300000
2508,25,8,5063,300000
2509,25,9,3007,200000
2510,25,10,3001,200000
2601,26,1,5094,600000
2602,26,2,5018,400000
2603,26,3,5007,400000
2604,26,4,5074,300000
2605,26,5,5039,300000
2606,26,6,5096,300000
2607,26,7,3001,280000
2608,26,8,3005,200000
2609,26,9,3002,200000
2610,26,10,1016,100000
2701,27,1,5094,600000
2702,27,2,5095,600000
2703,27,3,5018,400000
2704,27,4,5007,400000
2705,27,5,5074,300000
2706,27,6,5039,300000
2707,27,7,5096,300000
2708,27,8,3001,280000
2709,27,9,3005,200000
2710,27,10,3002,200000
2711,27,11,1016,100000
2801,28,1,5048,600000
2802,28,2,5030,400000
2803,28,3,5038,400000
2804,28,4,1020,300000
2805,28,5,1010,300000
2806,28,6,5050,300000
2807,28,7,3009,200000
2808,28,8,3007,200000
2809,28,9,3006,200000
2901,29,1,5099,600000
2902,29,2,5100,600000
2903,29,3,5037,400000
2904,29,4,5034,400000
2905,29,5,5031,300000
2906,29,6,5032,300000
2907,29,7,5075,300000
2908,29,8,3001,200000
2909,29,9,3005,200000
2910,29,10,3002,200000
