id,group_id,description_type,description_localkey
100101,1001,None,Locale_System:SHOP_INFO_NORMAL_DESC
100102,1001,None,Locale_System:SHOP_INFO_ITEM_RECOMMEND_DESC
100103,1001,None,Locale_System:SHOP_INFO_RESTORE_DESC
100104,1001,None,Locale_System:SHOP_INFO_MANUAL_DESC
700101,7001,None,Locale_System:SHOP_INFO_GUILD_DESC
700102,7001,None,Locale_System:SHOP_INFO_ITEM_RECOMMEND_DESC
700103,7001,None,Locale_System:SHOP_INFO_RESTORE_DESC
1200101,12001,None,Locale_System:SHOP_INFO_PIECE_DESC
1200102,12001,None,Locale_System:SHOP_INFO_RESTORE_DESC
1300101,13001,None,Locale_System:SHOP_INFO_ARENA_DESC
1300102,13001,None,Locale_System:SHOP_INFO_ITEM_RECOMMEND_DESC
1300103,13001,None,Locale_System:SHOP_INFO_RESTORE_DESC
1400101,14001,None,Locale_System:SHOP_INFO_COOPERATION_DESC_02
1400102,14001,None,Locale_System:SHOP_INFO_RESTORE_DESC
1500101,15001,None,Locale_System:SHOP_INFO_TRADE_DESC
1700101,17001,None,Locale_System:SHOP_INFO_MILEAGE_DESC
1700102,17001,None,Locale_System:SHOP_INFO_RESTORE_DESC
