id,group,name,description,thumbnail,monster_spine,monster_spine_scale,order,limit_character_lv,monster_stage_lv,dynamic_object_stage_lv,cover_stage_lv,monster_stage_lv_change_group,spot_type,spot_id,dummy_spot_id,auto_charge_id,ticket_count,reward_info_icon,reward_info_locale,use_reward_priority,priority_grade,condition_reward_group,percent_condition_reward_groups/0/percent_condition_reward_group,percent_condition_reward_groups/1/percent_condition_reward_group,use_fixed_result,fixed_damage,bg_color,recommend_condition_type,recommend_condition_value,recommend_condition_count,result_character_resource_id
1,1,Locale_System:INTERCEPT_ANOMALOUS_1_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_1_STAGE_DESC,mi_interceptanomalous_xba001_psid,xba001,100,1,400,250,250,8,206,WaveData,6302006,0,20001,1,icn_intercept_module_03,Locale_System:INTERCEPT_ANOMALOUS_1_STAGE_REWARD_INFO,False,0,104101,104111,104121,False,0,0468FA,ItemSubType,Module_C,0,
2,1,Locale_System:INTERCEPT_ANOMALOUS_2_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_2_STAGE_DESC,mi_interceptanomalous_ebg003_anmi,ebg003_anmi,100,2,400,250,250,8,207,WaveData,6302007,0,20001,1,icn_intercept_module_02,Locale_System:INTERCEPT_ANOMALOUS_2_STAGE_REWARD_INFO,False,0,104102,104112,104122,False,0,00D44D,ItemSubType,Module_B,0,
3,1,Locale_System:INTERCEPT_ANOMALOUS_3_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_3_STAGE_DESC,mi_interceptanomalous_bbg006_zeus,bbg006_zeus,100,3,400,250,250,8,208,WaveData,6302008,0,20001,1,icn_intercept_module_01,Locale_System:INTERCEPT_ANOMALOUS_3_STAGE_REWARD_INFO,False,0,104103,104113,104123,False,0,8633E3,ItemSubType,Module_A,0,
4,1,Locale_System:INTERCEPT_ANOMALOUS_4_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_4_STAGE_DESC,mi_interceptanomalous_bbg004_dmtr,bbg004_dmtr,100,5,400,250,250,8,209,WaveData,6302009,0,20001,1,icn_intercept_module_05,Locale_System:INTERCEPT_ANOMALOUS_5_STAGE_REWARD_INFO,False,0,104105,104115,104125,False,0,FF8A00,ItemMaterialIDCount,7080001,3,
5,1,Locale_System:INTERCEPT_ANOMALOUS_5_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_5_STAGE_DESC,mi_interceptanomalous_bbg001_hsta,bbg001,100,4,400,250,250,8,210,WaveData,6302010,0,20001,1,icn_intercept_module_04,Locale_System:INTERCEPT_ANOMALOUS_4_STAGE_REWARD_INFO,False,0,104104,104114,104124,False,0,BC0008,ItemSubType,Module_D,0,
11,2,Locale_System:INTERCEPT_ANOMALOUS_1_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_1_STAGE_DESC,mi_interceptanomalous_xba001_psid,xba001,100,1,400,250,250,8,206,NKSMiniGame,90003,6302006,20001,1,icn_intercept_module_03,Locale_System:INTERCEPT_ANOMALOUS_1_STAGE_REWARD_INFO,True,7,104101,104111,104121,True,20250401,0468FA,ItemSubType,Module_C,0,210.0
12,2,Locale_System:INTERCEPT_ANOMALOUS_2_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_2_STAGE_DESC,mi_interceptanomalous_ebg003_anmi,ebg003_anmi,100,2,400,250,250,8,207,NKSMiniGame,90003,6302007,20001,1,icn_intercept_module_02,Locale_System:INTERCEPT_ANOMALOUS_2_STAGE_REWARD_INFO,True,7,104102,104112,104122,True,20250401,00D44D,ItemSubType,Module_B,0,210.0
13,2,Locale_System:INTERCEPT_ANOMALOUS_3_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_3_STAGE_DESC,mi_interceptanomalous_bbg006_zeus,bbg006_zeus,100,3,400,250,250,8,208,NKSMiniGame,90003,6302008,20001,1,icn_intercept_module_01,Locale_System:INTERCEPT_ANOMALOUS_3_STAGE_REWARD_INFO,True,7,104103,104113,104123,True,20250401,8633E3,ItemSubType,Module_A,0,210.0
14,2,Locale_System:INTERCEPT_ANOMALOUS_4_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_4_STAGE_DESC,mi_interceptanomalous_bbg004_dmtr,bbg004_dmtr,100,5,400,250,250,8,209,NKSMiniGame,90003,6302009,20001,1,icn_intercept_module_05,Locale_System:INTERCEPT_ANOMALOUS_5_STAGE_REWARD_INFO,True,7,104105,104115,104125,True,20250401,FF8A00,ItemMaterialIDCount,7080001,3,210.0
15,2,Locale_System:INTERCEPT_ANOMALOUS_5_STAGE_NAME,Locale_System:INTERCEPT_ANOMALOUS_5_STAGE_DESC,mi_interceptanomalous_bbg001_hsta,bbg001,100,4,400,250,250,8,210,NKSMiniGame,90003,6302010,20001,1,icn_intercept_module_04,Locale_System:INTERCEPT_ANOMALOUS_4_STAGE_REWARD_INFO,True,7,104104,104114,104124,True,20250401,BC0008,ItemSubType,Module_D,0,210.0
