id,group_id,fish_group,name_locale,description_locale,catch_resource,fish_pattern,fish_hp,catch_point,min_size,max_size,appearance_ratio,catchable_time
1001,1,Small,Locale_Event:island_adventure_fish_small_01_name,Locale_Event:island_adventure_fish_small_01_description,icn_island_adventure_fish_small_01,1,5000,100,1,10,10,1
1002,2,Small,Locale_Event:island_adventure_fish_small_02_name,Locale_Event:island_adventure_fish_small_02_description,icn_island_adventure_fish_small_02,1,5000,100,1,10,10,1
1003,3,Small,Locale_Event:island_adventure_fish_small_03_name,Locale_Event:island_adventure_fish_small_03_description,icn_island_adventure_fish_small_03,1,5000,120,1,15,10,4
1004,4,Small,Locale_Event:island_adventure_fish_small_04_name,Locale_Event:island_adventure_fish_small_04_description,icn_island_adventure_fish_small_04,1,5000,120,1,15,10,4
1005,5,Small,Locale_Event:island_adventure_fish_small_05_name,Locale_Event:island_adventure_fish_small_05_description,icn_island_adventure_fish_small_05,1,5000,100,1,10,10,1
1006,6,Small,Locale_Event:island_adventure_fish_small_06_name,Locale_Event:island_adventure_fish_small_06_description,icn_island_adventure_fish_small_06,1,5000,100,5,20,10,1
1007,7,Small,Locale_Event:island_adventure_fish_small_07_name,Locale_Event:island_adventure_fish_small_07_description,icn_island_adventure_fish_small_07,1,5000,100,5,20,10,1
1008,8,Small,Locale_Event:island_adventure_fish_small_08_name,Locale_Event:island_adventure_fish_small_08_description,icn_island_adventure_fish_small_08,1,5000,120,5,20,10,4
1009,9,Small,Locale_Event:island_adventure_fish_small_09_name,Locale_Event:island_adventure_fish_small_09_description,icn_island_adventure_fish_small_09,1,5000,120,5,20,10,4
1010,10,Small,Locale_Event:island_adventure_fish_small_10_name,Locale_Event:island_adventure_fish_small_10_description,icn_island_adventure_fish_small_10,1,5000,100,5,20,10,1
1011,11,Small,Locale_Event:island_adventure_fish_small_11_name,Locale_Event:island_adventure_fish_small_11_description,icn_island_adventure_fish_small_11,1,5000,120,5,25,10,4
1012,12,Small,Locale_Event:island_adventure_fish_small_12_name,Locale_Event:island_adventure_fish_small_12_description,icn_island_adventure_fish_small_12,1,5000,100,5,25,10,1
1013,13,Small,Locale_Event:island_adventure_fish_small_13_name,Locale_Event:island_adventure_fish_small_13_description,icn_island_adventure_fish_small_13,1,5000,120,5,25,10,4
1014,14,Small,Locale_Event:island_adventure_fish_small_14_name,Locale_Event:island_adventure_fish_small_14_description,icn_island_adventure_fish_small_14,1,5000,100,5,25,10,1
1015,15,Small,Locale_Event:island_adventure_fish_small_15_name,Locale_Event:island_adventure_fish_small_15_description,icn_island_adventure_fish_small_15,1,5000,100,5,25,10,1
1016,16,Small,Locale_Event:island_adventure_fish_small_16_name,Locale_Event:island_adventure_fish_small_16_description,icn_island_adventure_fish_small_16,1,5000,100,10,30,10,1
1017,17,Small,Locale_Event:island_adventure_fish_small_17_name,Locale_Event:island_adventure_fish_small_17_description,icn_island_adventure_fish_small_17,1,5000,100,10,30,10,1
1018,18,Small,Locale_Event:island_adventure_fish_small_18_name,Locale_Event:island_adventure_fish_small_18_description,icn_island_adventure_fish_small_18,1,5000,100,10,30,10,1
1019,19,Small,Locale_Event:island_adventure_fish_small_19_name,Locale_Event:island_adventure_fish_small_19_description,icn_island_adventure_fish_small_19,1,5000,120,10,30,10,4
1020,20,Small,Locale_Event:island_adventure_fish_small_20_name,Locale_Event:island_adventure_fish_small_20_description,icn_island_adventure_fish_small_20,1,5000,120,10,30,10,4
1021,21,Small,Locale_Event:island_adventure_fish_small_21_name,Locale_Event:island_adventure_fish_small_21_description,icn_island_adventure_fish_small_21,2,6000,1000,20,20,6,4
