id,pass_point_id,condition_type,condition_id,condition_value,name_localkey,reward_id
1001,1,SimulationRoomClearWithoutCondition,0,1,Locale_Trigger:trigger_desc_SimulationRoomClearWithoutCondition,4000000
1002,1,CharacterCounsel,0,3,Locale_Trigger:trigger_desc_CharacterCounsel,4000000
1003,1,InterceptStart,0,3,Locale_Trigger:trigger_desc_InterceptClear,4000000
1004,1,SendFriendShipPoint,0,5,Locale_Trigger:trigger_desc_SendFriendShipPoint,4000000
1005,1,MainShopBuy,0,2,Locale_Trigger:trigger_desc_MainShopBuy,4000000
1006,1,ObtainEquipItemALL,0,20,Locale_Trigger:trigger_desc_ObtainEquipItemALL,4000000
1007,1,PointRewardDaily,0,100,Locale_Trigger:trigger_desc_PointRewardDaily,4000000
2001,2,SimulationRoomClearWithoutCondition,0,1,Locale_Trigger:trigger_desc_SimulationRoomClearWithoutCondition,4000001
2002,2,CharacterCounsel,0,3,Locale_Trigger:trigger_desc_CharacterCounsel,4000001
2003,2,InterceptStart,0,3,Locale_Trigger:trigger_desc_InterceptClear,4000001
2004,2,SendFriendShipPoint,0,5,Locale_Trigger:trigger_desc_SendFriendShipPoint,4000001
2005,2,MainShopBuy,0,2,Locale_Trigger:trigger_desc_MainShopBuy,4000001
2006,2,ObtainEquipItemALL,0,20,Locale_Trigger:trigger_desc_ObtainEquipItemALL,4000001
2007,2,PointRewardDaily,0,100,Locale_Trigger:trigger_desc_PointRewardDaily,4000001
3001,3,SimulationRoomClearWithoutCondition,0,1,Locale_Trigger:trigger_desc_SimulationRoomClearWithoutCondition,4000004
3002,3,CharacterCounsel,0,3,Locale_Trigger:trigger_desc_CharacterCounsel,4000004
3003,3,InterceptStart,0,3,Locale_Trigger:trigger_desc_InterceptClear,4000004
3004,3,SendFriendShipPoint,0,5,Locale_Trigger:trigger_desc_SendFriendShipPoint,4000004
3005,3,MainShopBuy,0,2,Locale_Trigger:trigger_desc_MainShopBuy,4000004
3006,3,OutpostFastBattleReward,0,1,Locale_Trigger:trigger_desc_OutpostFastBattleReward,4000004
3007,3,PointRewardDaily,0,100,Locale_Trigger:trigger_desc_PointRewardDaily,4000004
4001,4,SimulationRoomClearWithoutCondition,0,1,Locale_Trigger:trigger_desc_SimulationRoomClearWithoutCondition,4000005
4002,4,CharacterCounsel,0,3,Locale_Trigger:trigger_desc_CharacterCounsel,4000005
4003,4,InterceptStart,0,3,Locale_Trigger:trigger_desc_InterceptClear,4000005
4004,4,SendFriendShipPoint,0,5,Locale_Trigger:trigger_desc_SendFriendShipPoint,4000005
4005,4,MainShopBuy,0,2,Locale_Trigger:trigger_desc_MainShopBuy,4000005
4006,4,OutpostFastBattleReward,0,1,Locale_Trigger:trigger_desc_OutpostFastBattleReward,4000005
4007,4,PointRewardDaily,0,100,Locale_Trigger:trigger_desc_PointRewardDaily,4000005
