id,costume_theme_group_id,resource_id,costume_index,costume_grade_id,costume_name_locale,costume_description_locale,costume_shop_type,costume_shop_price_id,is_hidden,additional_skins/0,additional_skins/1
10001,1000,82,1,Event,Locale_CharacterCostume:82_01_costume_name,Locale_CharacterCostume:82_01_description,PassCostume,130013.0,False,,
10002,1000,142,1,Event,Locale_CharacterCostume:142_01_costume_name,Locale_CharacterCostume:142_01_description,PassCostume,130014.0,False,,
10003,1000,201,1,Event,Locale_CharacterCostume:201_01_costume_name,Locale_CharacterCostume:201_01_description,PassCostume,130015.0,False,,
10004,1000,131,1,Event,Locale_CharacterCostume:131_01_costume_name,Locale_CharacterCostume:131_01_description,PassCostume,130012.0,False,,
10005,1000,10,2,Event,Locale_CharacterCostume:10_02_costume_name,Locale_CharacterCostume:10_02_description,None,,False,,
10006,1000,350,1,Special,Locale_CharacterCostume:350_01_costume_name,Locale_CharacterCostume:350_01_description,Costume,120011.0,False,,
10007,1000,181,2,Special,Locale_CharacterCostume:181_02_costume_name,Locale_CharacterCostume:181_02_description,None,,False,,
10008,1000,400,1,Special,Locale_CharacterCostume:400_01_costume_name,Locale_CharacterCostume:400_01_description,None,,False,acc,
10009,1000,112,2,Unique,Locale_CharacterCostume:112_02_costume_name,Locale_CharacterCostume:112_02_description,None,,False,,
10010,1000,350,2,Special,Locale_CharacterCostume:350_02_costume_name,Locale_CharacterCostume:350_02_description,None,,False,bg,
10011,1000,351,1,Special,Locale_CharacterCostume:351_01_costume_name,Locale_CharacterCostume:351_01_description,None,,False,bg,
10012,1000,80,2,Special,Locale_CharacterCostume:80_02_costume_name,Locale_CharacterCostume:80_02_description,None,,False,,
10013,1000,192,2,Special,Locale_CharacterCostume:192_02_costume_name,Locale_CharacterCostume:192_02_description,None,,False,,
10014,1000,16,1,Unique,Locale_CharacterCostume:16_01_costume_name,Locale_CharacterCostume:16_01_description,None,,False,bg,
20001,2000,10,1,Event,Locale_CharacterCostume:10_01_costume_name,Locale_CharacterCostume:10_1_description,None,,False,,
30001,3000,11,1,Event,Locale_CharacterCostume:11_01_costume_name,Locale_CharacterCostume:11_1_description,None,,False,,
30002,3000,30,1,Event,Locale_CharacterCostume:30_01_costume_name,Locale_CharacterCostume:30_1_description,Costume,120001.0,False,,
