id,name_localkey,description_localkey,order,theme_resource,bg_color
898,Locale_Bgm:bgm_theme_lastkingdom_01,Locale_Bgm:bgm_theme_lastkingdom_01_description,898,album_lastkingdom_01,29221D
899,Locale_Bgm:bgm_theme_redash_01,Locale_Bgm:bgm_theme_redash_01_description,899,album_redash_01,C01F00
900,Locale_Bgm:bgm_theme_overzone_01,Locale_Bgm:bgm_theme_overzone_01_description,900,album_overzone_01,404247
901,Locale_Bgm:bgm_theme_bluewater_01,Locale_Bgm:bgm_theme_bluewater_01_description,901,album_bluewater_01,00D1FF
902,Locale_Bgm:bgm_theme_outerautomata_01,Locale_Bgm:bgm_theme_outerautomata_01_description,902,album_outerautomata_01,BAB399
903,Locale_Bgm:bgm_theme_neverland_01,Locale_Bgm:bgm_theme_neverland_01_description,903,album_neverland_01,3E5948
904,Locale_Bgm:bgm_theme_recipe_01,Locale_Bgm:bgm_theme_recpie_01_description,904,album_recipe_01,482C8A
905,Locale_Bgm:bgm_theme_golden_01,Locale_Bgm:bgm_theme_golden_01_description,905,album_golden_01,EE2D20
906,Locale_Bgm:bgm_theme_beauty_01,Locale_Bgm:bgm_theme_beauty_01_description,906,album_beauty_01,FF4769
907,Locale_Bgm:bgm_theme_ce004_01,Locale_Bgm:bgm_theme_ce004_01_description,907,album_ce004_01,B51B00
908,Locale_Bgm:bgm_theme_oldtales_01,Locale_Bgm:bgm_theme_oldtales_01_description,908,album_oldtales_01,6D5645
909,Locale_Bgm:bgm_theme_icedragonsaga_01,Locale_Bgm:bgm_theme_icedragonsaga_01_description,909,album_icedragonsaga_01,153164
910,Locale_Bgm:bgm_theme_ce005_01,Locale_Bgm:bgm_theme_ce005_01_description,910,album_ce005_01,BC0000
911,Locale_Bgm:bgm_theme_unbreakablesphere_01,Locale_Bgm:bgm_theme_unbreakablesphere_description,911,album_unbreakablesphere_01,202F6E
912,Locale_Bgm:bgm_theme_ce006_01,Locale_Bgm:bgm_theme_ce006_01_description,912,album_ce006_01,1C54A7
913,Locale_Bgm:bgm_theme_boomtheghost_01,Locale_Bgm:bgm_theme_boomtheghost_01_description,913,album_boomtheghost_01,11D3EA
914,Locale_Bgm:bgm_theme_absolute_01,Locale_Bgm:bgm_theme_absolute_01_description,914,album_absolute_01,4D526A
915,Locale_Bgm:bgm_theme_coinsinrush_01,Locale_Bgm:bgm_theme_coinsinrush_01_description,915,album_coinsinrush_01,EE2D20
999,Locale_Bgm:bgm_theme_special_01,Locale_Bgm:bgm_theme_special_01_description,999,album_special_01,3C4A48
1,Locale_Bgm:bgm_theme_menu_01,Locale_Bgm:bgm_theme_menu_01_description,2,album_menu_01,3F5D8E
2,Locale_Bgm:bgm_theme_lostsector_01,Locale_Bgm:bgm_theme_lostsector_01_description,3,album_lostsector_01,5D606A
3,Locale_Bgm:bgm_theme_story_01,Locale_Bgm:bgm_theme_story_01_description,4,album_story_01,635551
4,Locale_Bgm:bgm_theme_event_01,Locale_Bgm:bgm_theme_event_01_description,5,album_event_01,C01F00
5,Locale_Bgm:bgm_theme_field_01,Locale_Bgm:bgm_theme_field_01_description,1,album_field_01,42444E
6,Locale_Bgm:bgm_theme_field_02,Locale_Bgm:bgm_theme_field_02_description,6,album_field_02,59684E
7,Locale_Bgm:bgm_theme_field_03,Locale_Bgm:bgm_theme_field_03_description,7,album_field_03,E5406C
8,Locale_Bgm:bgm_theme_field_04,Locale_Bgm:bgm_theme_field_04_description,8,album_field_04,50A5FD
9,Locale_Bgm:bgm_theme_field_05,Locale_Bgm:bgm_theme_field_05_description,9,album_field_05,4A5166
10,Locale_Bgm:bgm_theme_field_06,Locale_Bgm:bgm_theme_field_06_description,10,album_field_06,2A303E
11,Locale_Bgm:bgm_theme_field_07,Locale_Bgm:bgm_theme_field_07_description,11,album_field_07,6D5948
12,Locale_Bgm:bgm_theme_field_08,Locale_Bgm:bgm_theme_field_08_description,12,album_field_08,2E2E2E
13,Locale_Bgm:bgm_theme_field_09,Locale_Bgm:bgm_theme_field_09_description,13,album_field_09,FF8256
14,Locale_Bgm:bgm_theme_field_10,Locale_Bgm:bgm_theme_field_10_description,14,album_field_10,FF9600
15,Locale_Bgm:bgm_theme_field_12,Locale_Bgm:bgm_theme_field_12_description,15,album_field_11,0B0F58
16,Locale_Bgm:bgm_theme_field_13,Locale_Bgm:bgm_theme_field_13_description,16,album_field_13,4C00D4
17,Locale_Bgm:bgm_theme_field_14,Locale_Bgm:bgm_theme_field_14_description,17,album_field_14,BA2331
18,Locale_Bgm:bgm_theme_field_15,Locale_Bgm:bgm_theme_field_15_description,18,album_field_15,D40E02
19,Locale_Bgm:bgm_theme_field_16,Locale_Bgm:bgm_theme_field_16_description,19,album_field_16,455BCA
20,Locale_Bgm:bgm_theme_field_17,Locale_Bgm:bgm_theme_field_17_description,20,album_field_17,0F2962
