id,name_locale,take_photo_resource,mistake_photo_resource,memo_locale
1,Locale_Event:island_adventure_photo_title_01,island_adventure_photo_01,island_adventure_photo_01_mistake,Locale_Event:island_adventure_photo_description_01
2,Locale_Event:island_adventure_photo_title_02,island_adventure_photo_02,island_adventure_photo_02_mistake,Locale_Event:island_adventure_photo_description_02
3,Locale_Event:island_adventure_photo_title_03,island_adventure_photo_03,island_adventure_photo_03_mistake,Locale_Event:island_adventure_photo_description_03
4,Locale_Event:island_adventure_photo_title_04,island_adventure_photo_04,island_adventure_photo_04_mistake,Locale_Event:island_adventure_photo_description_04
5,Locale_Event:island_adventure_photo_title_05,island_adventure_photo_05,island_adventure_photo_05_mistake,Locale_Event:island_adventure_photo_description_05
6,Locale_Event:island_adventure_photo_title_06,island_adventure_photo_06,island_adventure_photo_06_mistake,Locale_Event:island_adventure_photo_description_06
7,Locale_Event:island_adventure_photo_title_07,island_adventure_photo_07,,Locale_Event:island_adventure_photo_description_07
8,Locale_Event:island_adventure_photo_title_08,island_adventure_photo_08,,Locale_Event:island_adventure_photo_description_08
9,Locale_Event:island_adventure_photo_title_09,island_adventure_photo_09,,Locale_Event:island_adventure_photo_description_09
10,Locale_Event:island_adventure_photo_title_10,island_adventure_photo_10,,Locale_Event:island_adventure_photo_description_10
11,Locale_Event:island_adventure_photo_title_11,island_adventure_photo_11,,Locale_Event:island_adventure_photo_description_11
12,Locale_Event:island_adventure_photo_title_12,island_adventure_photo_12,,Locale_Event:island_adventure_photo_description_12
13,Locale_Event:island_adventure_photo_title_13,island_adventure_photo_13,,Locale_Event:island_adventure_photo_description_13
14,Locale_Event:island_adventure_photo_title_14,island_adventure_photo_14,,Locale_Event:island_adventure_photo_description_14
15,Locale_Event:island_adventure_photo_title_15,island_adventure_photo_15,,Locale_Event:island_adventure_photo_description_15
16,Locale_Event:island_adventure_photo_title_16,island_adventure_photo_16,,Locale_Event:island_adventure_photo_description_16
17,Locale_Event:island_adventure_photo_title_17,island_adventure_photo_17,,Locale_Event:island_adventure_photo_description_17
18,Locale_Event:island_adventure_photo_title_18,island_adventure_photo_18,,Locale_Event:island_adventure_photo_description_18
19,Locale_Event:island_adventure_photo_title_19,island_adventure_photo_19,,Locale_Event:island_adventure_photo_description_19
20,Locale_Event:island_adventure_photo_title_20,island_adventure_photo_20,,Locale_Event:island_adventure_photo_description_20
21,Locale_Event:island_adventure_photo_title_01,island_adventure_photo_01,island_adventure_photo_01_mistake,Locale_Event:island_adventure_photo_description_01
22,Locale_Event:island_adventure_photo_title_02,island_adventure_photo_02,island_adventure_photo_02_mistake,Locale_Event:island_adventure_photo_description_02
23,Locale_Event:island_adventure_photo_title_03,island_adventure_photo_03,island_adventure_photo_03_mistake,Locale_Event:island_adventure_photo_description_03
24,Locale_Event:island_adventure_photo_title_04,island_adventure_photo_04,island_adventure_photo_04_mistake,Locale_Event:island_adventure_photo_description_04
25,Locale_Event:island_adventure_photo_title_05,island_adventure_photo_05,island_adventure_photo_05_mistake,Locale_Event:island_adventure_photo_description_05
26,Locale_Event:island_adventure_photo_title_06,island_adventure_photo_06,island_adventure_photo_06_mistake,Locale_Event:island_adventure_photo_description_06
27,Locale_Event:island_adventure_photo_title_07,island_adventure_photo_07,,Locale_Event:island_adventure_photo_description_07
28,Locale_Event:island_adventure_photo_title_08,island_adventure_photo_08,,Locale_Event:island_adventure_photo_description_08
29,Locale_Event:island_adventure_photo_title_09,island_adventure_photo_09,,Locale_Event:island_adventure_photo_description_09
30,Locale_Event:island_adventure_photo_title_10,island_adventure_photo_10,,Locale_Event:island_adventure_photo_description_10
31,Locale_Event:island_adventure_photo_title_11,island_adventure_photo_11,,Locale_Event:island_adventure_photo_description_11
32,Locale_Event:island_adventure_photo_title_12,island_adventure_photo_12,,Locale_Event:island_adventure_photo_description_12
33,Locale_Event:island_adventure_photo_title_13,island_adventure_photo_13,,Locale_Event:island_adventure_photo_description_13
34,Locale_Event:island_adventure_photo_title_14,island_adventure_photo_14,,Locale_Event:island_adventure_photo_description_14
35,Locale_Event:island_adventure_photo_title_15,island_adventure_photo_15,,Locale_Event:island_adventure_photo_description_15
36,Locale_Event:island_adventure_photo_title_16,island_adventure_photo_16,,Locale_Event:island_adventure_photo_description_16
37,Locale_Event:island_adventure_photo_title_17,island_adventure_photo_17,,Locale_Event:island_adventure_photo_description_17
38,Locale_Event:island_adventure_photo_title_18,island_adventure_photo_18,,Locale_Event:island_adventure_photo_description_18
39,Locale_Event:island_adventure_photo_title_19,island_adventure_photo_19,,Locale_Event:island_adventure_photo_description_19
40,Locale_Event:island_adventure_photo_title_20,island_adventure_photo_20,,Locale_Event:island_adventure_photo_description_20
