id,preset_group_id,difficulty_type,quick_battle_type,character_lv,wave_open_condition,wave_order,wave,monster_stage_lv,monster_stage_lv_change_group,dynamic_object_stage_lv,cover_stage_lv,spot_autocontrol,wave_name,wave_description,monster_image_si,monster_image,first_clear_reward_id,reward_id
10001001,10001,Common,StageClear,0,0,1,6700101,55,0,54,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,3620101,3620201
10001002,10001,Common,StageClear,0,10001001,2,6700101,95,0,92,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,3620102,3620202
10001003,10001,Common,StageClear,0,10001002,3,6700101,125,0,125,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,3620103,3620203
10001004,10001,Common,StageClear,0,10001003,4,6700101,145,0,142,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,3620104,3620204
10001005,10001,Common,StageClear,0,10001004,5,6700101,175,0,169,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,3620105,3620205
10001006,10001,Common,StageClear,0,10001005,6,6700101,185,0,184,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,3620106,3620206
10001007,10001,Common,StageClear,0,10001006,7,6700101,200,0,195,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,3620107,3620207
10001008,10001,Trial,StageClear,400,10001007,8,6700102,390,904,400,1,True,Locale_System:bba001_name,Locale_System:bba001_description,si_bba001,full_bba001,0,0
10002001,10002,Common,StageClear,0,0,1,6700201,55,0,54,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,3620101,3620201
10002002,10002,Common,StageClear,0,10002001,2,6700201,95,0,92,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,3620102,3620202
10002003,10002,Common,StageClear,0,10002002,3,6700201,125,0,125,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,3620103,3620203
10002004,10002,Common,StageClear,0,10002003,4,6700201,145,0,142,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,3620104,3620204
10002005,10002,Common,StageClear,0,10002004,5,6700201,175,0,169,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,3620105,3620205
10002006,10002,Common,StageClear,0,10002005,6,6700201,185,0,184,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,3620106,3620206
10002007,10002,Common,StageClear,0,10002006,7,6700201,200,0,195,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,3620107,3620207
10002008,10002,Trial,StageClear,400,10002007,8,6700202,390,904,400,1,True,Locale_System:bbg003_name,Locale_System:bbg003_description,si_bbg003,full_bbg003,0,0
10003001,10003,Common,StageClear,0,0,1,6700301,55,0,54,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,3620101,3620201
10003002,10003,Common,StageClear,0,10003001,2,6700301,95,0,92,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,3620102,3620202
10003003,10003,Common,StageClear,0,10003002,3,6700301,125,0,125,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,3620103,3620203
10003004,10003,Common,StageClear,0,10003003,4,6700301,145,0,142,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,3620104,3620204
10003005,10003,Common,StageClear,0,10003004,5,6700301,175,0,169,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,3620105,3620205
10003006,10003,Common,StageClear,0,10003005,6,6700301,185,0,184,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,3620106,3620206
10003007,10003,Common,StageClear,0,10003006,7,6700301,200,0,195,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,3620107,3620207
10003008,10003,Trial,StageClear,400,10003007,8,6700302,390,904,400,1,True,Locale_System:world_raid_name_test_1,Locale_System:world_raid_description_1,si_bbg001,full_bbg001,0,0
10004001,10004,Common,StageClear,0,0,1,6700401,55,0,54,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,3620101,3620201
10004002,10004,Common,StageClear,0,10004001,2,6700401,95,0,92,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,3620102,3620202
10004003,10004,Common,StageClear,0,10004002,3,6700401,125,0,125,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,3620103,3620203
10004004,10004,Common,StageClear,0,10004003,4,6700401,145,0,142,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,3620104,3620204
10004005,10004,Common,StageClear,0,10004004,5,6700401,175,0,169,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,3620105,3620205
10004006,10004,Common,StageClear,0,10004005,6,6700401,185,0,184,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,3620106,3620206
10004007,10004,Common,StageClear,0,10004006,7,6700401,200,0,195,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,3620107,3620207
10004008,10004,Trial,StageClear,400,10004007,8,6700402,390,904,400,1,True,Locale_System:world_raid_name_test_3,Locale_System:world_raid_description_3,si_mbg001_psid,full_mbg001_psid,0,0
10005001,10005,Common,StageClear,0,0,1,6700501,45,0,54,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,3620101,3620201
10005002,10005,Common,StageClear,0,10005001,2,6700501,85,0,92,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,3620102,3620202
10005003,10005,Common,StageClear,0,10005002,3,6700501,120,0,125,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,3620103,3620203
10005004,10005,Common,StageClear,0,10005003,4,6700501,145,0,142,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,3620104,3620204
10005005,10005,Common,StageClear,0,10005004,5,6700501,175,0,169,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,3620105,3620205
10005006,10005,Common,StageClear,0,10005005,6,6700501,185,0,184,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,3620106,3620206
10005007,10005,Common,StageClear,0,10005006,7,6700501,200,0,195,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,3620107,3620207
10005008,10005,Trial,StageClear,400,10005007,8,6700502,390,904,400,1,True,Locale_System:ce002_bbg003_name,Locale_System:mba001_description,si_bbg003_ce002,full_bbg003_ce002,0,0
10006001,10006,Common,StageClear,0,0,1,6700601,45,0,54,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,3620101,3620201
10006002,10006,Common,StageClear,0,10006001,2,6700601,85,0,92,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,3620102,3620202
10006003,10006,Common,StageClear,0,10006002,3,6700601,120,0,125,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,3620103,3620203
10006004,10006,Common,StageClear,0,10006003,4,6700601,145,0,142,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,3620104,3620204
10006005,10006,Common,StageClear,0,10006004,5,6700601,175,0,169,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,3620105,3620205
10006006,10006,Common,StageClear,0,10006005,6,6700601,185,0,184,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,3620106,3620206
10006007,10006,Common,StageClear,0,10006006,7,6700601,200,0,195,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,3620107,3620207
10006008,10006,Trial,StageClear,400,10006007,8,6700602,390,904,400,1,True,Locale_System:mba001_name,Locale_System:mba001_description,si_mbg004,full_mbg004,0,0
10007001,10007,Common,StageClear,0,0,1,6700701,45,0,54,1,True,Locale_System:bbg006_name,Locale_System:bbg006_description,si_bbg006,full_bbg006,3620101,3620201
10007002,10007,Common,StageClear,0,10007001,2,6700701,85,0,92,1,True,Locale_System:bbg006_name,Locale_System:bbg006_description,si_bbg006,full_bbg006,3620102,3620202
10007003,10007,Common,StageClear,0,10007002,3,6700701,120,0,125,1,True,Locale_System:bbg006_name,Locale_System:bbg006_description,si_bbg006,full_bbg006,3620103,3620203
10007004,10007,Common,StageClear,0,10007003,4,6700701,145,0,142,1,True,Locale_System:bbg006_name,Locale_System:bbg006_description,si_bbg006,full_bbg006,3620104,3620204
10007005,10007,Common,StageClear,0,10007004,5,6700701,175,0,169,1,True,Locale_System:bbg006_name,Locale_System:bbg006_description,si_bbg006,full_bbg006,3620105,3620205
10007006,10007,Common,StageClear,0,10007005,6,6700701,185,0,184,1,True,Locale_System:bbg006_name,Locale_System:bbg006_description,si_bbg006,full_bbg006,3620106,3620206
