id,group,lv,play_time_min,play_time_max,spawn_group,spawn_count_max,spawn_delay_time,character_wait_time
10101,101,1,0,5,101,4,6330,15999
10102,101,2,5,10,101,5,5705,14375
10103,101,3,10,15,102,6,5221,13115
10104,101,4,15,20,102,7,4825,12086
10105,101,5,20,25,103,7,4490,11215
10106,101,6,25,30,103,8,4200,10462
10107,101,7,30,35,104,8,3945,9797
10108,101,8,35,40,104,9,3716,9202
10109,101,9,40,45,105,9,3509,8664
10110,101,10,45,50,105,9,3320,8172
10111,101,11,50,55,106,9,3146,7720
10112,101,12,55,60,106,9,2985,7302
10113,101,13,60,65,107,9,2835,6913
10114,101,14,65,70,107,9,2695,6548
10115,101,15,70,75,108,9,2564,6206
10116,101,16,75,80,108,9,2439,5883
10117,101,17,80,85,109,9,2322,5578
10118,101,18,85,90,109,9,2211,5288
10119,101,19,90,95,110,9,2105,5013
10120,101,20,95,100,110,9,2004,4750
10121,101,21,100,105,110,9,1907,4499
10122,101,22,105,110,110,9,1815,4259
10123,101,23,110,115,110,9,1726,4029
10124,101,24,115,120,110,9,1641,3807
10125,101,25,120,125,110,9,1559,3594
10126,101,26,125,130,110,9,1480,3389
10127,101,27,130,135,110,9,1404,3191
10128,101,28,135,140,110,9,1330,2999
10129,101,29,140,145,110,9,1259,2814
10130,101,30,145,150,110,9,1190,2635
10131,101,31,150,155,110,9,1123,2461
10132,101,32,155,160,110,9,1058,2293
10133,101,33,160,165,110,9,995,2129
10134,101,34,165,170,110,9,934,1970
10135,101,35,170,175,110,9,875,1815
10136,101,36,175,180,110,9,817,1665
10137,101,37,180,185,110,9,760,1518
10138,101,38,185,190,110,9,705,1375
10139,101,39,190,195,110,9,652,1236
10140,101,40,195,0,110,9,600,1100
20101,201,1,0,5,201,4,6330,15999
20102,201,2,5,10,201,5,5705,14375
20103,201,3,10,15,202,6,5221,13115
20104,201,4,15,20,202,7,4825,12086
20105,201,5,20,25,203,7,4490,11215
20106,201,6,25,30,203,8,4200,10462
20107,201,7,30,35,204,8,3945,9797
20108,201,8,35,40,204,9,3716,9202
20109,201,9,40,45,205,9,3509,8664
20110,201,10,45,50,205,9,3320,8172
20111,201,11,50,55,206,9,3146,7720
20112,201,12,55,60,206,9,2985,7302
20113,201,13,60,65,207,9,2835,6913
20114,201,14,65,70,207,9,2695,6548
20115,201,15,70,75,208,9,2564,6206
20116,201,16,75,80,208,9,2439,5883
20117,201,17,80,85,209,9,2322,5578
20118,201,18,85,90,209,9,2211,5288
20119,201,19,90,95,210,9,2105,5013
20120,201,20,95,100,210,9,2004,4750
20121,201,21,100,105,210,9,1907,4499
20122,201,22,105,110,210,9,1815,4259
20123,201,23,110,115,210,9,1726,4029
20124,201,24,115,120,210,9,1641,3807
20125,201,25,120,125,210,9,1559,3594
20126,201,26,125,130,210,9,1480,3389
20127,201,27,130,135,210,9,1404,3191
20128,201,28,135,140,210,9,1330,2999
20129,201,29,140,145,210,9,1259,2814
20130,201,30,145,150,210,9,1190,2635
20131,201,31,150,155,210,9,1123,2461
20132,201,32,155,160,210,9,1058,2293
20133,201,33,160,165,210,9,995,2129
20134,201,34,165,170,210,9,934,1970
20135,201,35,170,175,210,9,875,1815
20136,201,36,175,180,210,9,817,1665
20137,201,37,180,185,210,9,760,1518
20138,201,38,185,190,210,9,705,1375
20139,201,39,190,195,210,9,652,1236
20140,201,40,195,0,210,9,600,1100
