id,type,unlock_condition_squad,unlock_condition_character,name_locale,thumbnail_image,members/0,members/1,members/2,members/3,members/4,members/5
test,Nikke,None,0,Locale_Character:10_name,icon_messenger_logo_profile,rapi,,,,,
test_1,Nikke,None,0,Locale_Character:11_name,icon_messenger_logo_profile,neon,,,,,
test_2,Nikke,None,0,Locale_Character:900_name,icon_messenger_logo_profile,ingrid,,,,,
test_quest,Quest,None,0,Locale_Character:npc_50_name,icon_messenger_logo_profile,keuoaang01,,,,,
test_quest_2,Quest,None,0,Locale_Character:npc_51_name,icon_messenger_logo_profile,ruruphee01,,,,,
m_test_quest3,Quest,None,0,Locale_Character:170_name,icon_messenger_logo_profile,privaty,,,,,
test_counters,Group,None,0,Locale_Character:counters_name,icon_messenger_logo_profile,rapi,neon,anis,,,
test_rapi,Nikke,None,3001,Locale_Character:10_name,mi_c010_00_s,rapi,,,,,
test_neon,Nikke,None,3002,Locale_Character:11_name,mi_c011_00_s,neon,,,,,
test_anis,Nikke,None,3005,Locale_Character:12_name,mi_c012_00_s,anis,,,,,
rapi,Nikke,None,3001,Locale_Character:10_name,mi_c010_00_s,rapi,,,,,
neon,Nikke,None,3002,Locale_Character:11_name,mi_c011_00_s,neon,,,,,
anis,Nikke,None,3005,Locale_Character:12_name,mi_c012_00_s,anis,,,,,
delta,Nikke,None,3003,Locale_Character:20_name,mi_c020_00_s,delta,,,,,
signal,Nikke,None,5015,Locale_Character:22_name,mi_c022_00_s,signal,,,,,
poli,Nikke,None,5016,Locale_Character:30_name,mi_c030_00_s,poli,,,,,
miranda,Nikke,None,5017,Locale_Character:32_name,mi_c032_00_s,miranda,,,,,
quiry,Nikke,None,5082,Locale_Character:33_name,mi_c033_00_s,quiry,,,,,
belorta,Nikke,None,3007,Locale_Character:60_name,mi_c060_00_s,belorta,,,,,
mica,Nikke,None,3008,Locale_Character:61_name,mi_c061_00_s,mica,,,,,
brid,Nikke,None,5018,Locale_Character:70_name,mi_c070_00_s,brid,,,,,
soline,Nikke,None,5019,Locale_Character:71_name,mi_c071_00_s,soline,,,,,
diesel,Nikke,None,5020,Locale_Character:72_name,mi_c072_00_s,diesel,,,,,
centi,Nikke,None,5021,Locale_Character:80_name,mi_c080_00_s,centi,,,,,
liter,Nikke,None,5011,Locale_Character:82_name,mi_c082_00_s,liter,,,,,
emma,Nikke,None,5005,Locale_Character:90_name,mi_c090_00_s,emma,,,,,
vesti,Nikke,None,5022,Locale_Character:91_name,mi_c091_00_s,vesti,,,,,
eunhwa,Nikke,None,5023,Locale_Character:92_name,mi_c092_00_s,eunhwa,,,,,
drake,Nikke,None,5024,Locale_Character:101_name,mi_c101_00_s,drake,,,,,
maxwell,Nikke,None,5001,Locale_Character:102_name,mi_c102_00_s,maxwell,,,,,
crow,Nikke,None,5025,Locale_Character:110_name,mi_c110_00_s,crow,,,,,
n102,Nikke,None,3009,Locale_Character:120_name,mi_c120_00_s,n102,,,,,
mary,Nikke,None,5026,Locale_Character:130_name,mi_c130_00_s,mary,,,,,
pepper,Nikke,None,5027,Locale_Character:131_name,mi_c131_00_s,pepper,,,,,
sugar,Nikke,None,5002,Locale_Character:140_name,mi_c140_00_s,sugar,,,,,
milk,Nikke,None,5028,Locale_Character:141_name,mi_c141_00_s,milk,,,,,
frima,Nikke,None,5010,Locale_Character:142_name,mi_c142_00_s,frima,,,,,
julia,Nikke,None,5014,Locale_Character:150_name,mi_c150_00_s,julia,,,,,
yuni,Nikke,None,5006,Locale_Character:160_name,mi_c160_00_s,yuni,,,,,
mihara,Nikke,None,3006,Locale_Character:161_name,mi_c161_00_s,mihara,,,,,
privaty,Nikke,None,5007,Locale_Character:170_name,mi_c170_00_s,privaty,,,,,
yulha,Nikke,None,5029,Locale_Character:171_name,mi_c171_00_s,yulha,,,,,
admi,Nikke,None,5030,Locale_Character:172_name,mi_c172_00_s,admi,,,,,
guillotine,Nikke,None,5031,Locale_Character:180_name,mi_c180_00_s,guillotine,,,,,
maiden,Nikke,None,5032,Locale_Character:181_name,mi_c181_00_s,maiden,,,,,
ludmilla,Nikke,None,5033,Locale_Character:190_name,mi_c190_00_s,ludmilla,,,,,
alice,Nikke,None,5004,Locale_Character:191_name,mi_c191_00_s,alice,,,,,
rupee,Nikke,None,5034,Locale_Character:200_name,mi_c200_00_s,rupee,,,,,
yan,Nikke,None,5035,Locale_Character:201_name,mi_c201_00_s,yan,,,,,
dolla,Nikke,None,5036,Locale_Character:202_name,mi_c202_00_s,dolla,,,,,
