id,hero_group_id,speaker,scenario_localkey,nikke_resource_id,nikke_costume_index
1001201,1001201,marian,Locale_Event:td_fortheking_burst_speech_marian,260,2.0
1001202,1001202,crown,Locale_Event:td_fortheking_burst_speech_crown,330,
1001203,1001203,kilo,Locale_Event:td_fortheking_burst_speech_kilo,361,
1001204,1001204,snowwhite,Locale_Event:td_fortheking_burst_speech_snowwhite,220,
1001205,1001205,hongryeon,Locale_Event:td_fortheking_burst_speech_scarlet,222,
1001206,1001206,rapunzel,Locale_Event:td_fortheking_burst_speech_rapunzel,221,
1001207,1001207,crown,Locale_Event:td_fortheking_burst_speech_crownnakedking,330,1.0
1002201,1002201,shifty,Locale_Event:td_fortheking_burst_speech_shifty,907,
1002202,1002202,mechashifty_01,Locale_Event:td_fortheking_burst_speech_mechashifty_01,993,
1002203,1002203,mechashifty_02,Locale_Event:td_fortheking_burst_speech_mechashifty_02,993,
1002204,1002204,mechashifty_03,Locale_Event:td_fortheking_burst_speech_mechashifty_03,993,
1002205,1002205,mechashifty_04,Locale_Event:td_fortheking_burst_speech_mechashifty_04,993,
1002206,1002206,mechashifty_05,Locale_Event:td_fortheking_burst_speech_mechashifty_05,993,
1002207,1002207,mechashifty_06,Locale_Event:td_fortheking_burst_speech_mechashifty_06,993,
