id,name_localkey,description_localkey,location_id,location_localkey,order,resource_id,bg,bg_color,item_type,item_sub_type,item_rare,class,level_enhance_id,harmonycube_skill_group/0/skill_group_id,harmonycube_skill_group/1/skill_group_id,harmonycube_skill_group/2/skill_group_id
1000301,Locale_Item:artifact_all_1,Locale_Item:artifact_all_1_desc,1,Locale_Item:artifact_all_2_location,1,10001,ele_exstage_deco_glow_01,FF002A,HarmonyCube,HarmonyCube,SSR,All,10001,40071,40072,0
1000302,Locale_Item:artifact_all_2,Locale_Item:artifact_all_2_desc,2,Locale_Item:artifact_all_3_location,2,10002,ele_exstage_deco_glow_01,FF002A,HarmonyCube,HarmonyCube,SSR,All,10002,40081,40082,0
1000303,Locale_Item:artifact_all_3,Locale_Item:artifact_all_3_desc,4,Locale_Item:artifact_all_4_location,3,10003,ele_exstage_deco_glow_01,0075FF,HarmonyCube,HarmonyCube,SSR,All,10003,40091,40092,0
1000304,Locale_Item:artifact_all_4,Locale_Item:artifact_all_4_desc,8,Locale_Item:artifact_all_5_location,4,10004,ele_exstage_deco_glow_01,0075FF,HarmonyCube,HarmonyCube,SSR,All,10004,40101,40102,0
1000305,Locale_Item:artifact_all_5,Locale_Item:artifact_all_5_desc,10,Locale_Item:artifact_attacker_1_location,5,10005,ele_exstage_deco_glow_01,37C3B3,HarmonyCube,HarmonyCube,SSR,All,10005,40111,40112,0
1000306,Locale_Item:artifact_all_6,Locale_Item:artifact_all_6_desc,13,Locale_Item:artifact_all_1_location,6,10006,ele_exstage_deco_glow_01,37C3B3,HarmonyCube,HarmonyCube,SSR,All,10006,40121,40122,0
1000307,Locale_Item:artifact_all_7,Locale_Item:artifact_all_7_desc,17,Locale_Item:artifact_all_1_location,7,11001,ele_exstage_deco_glow_01,FF8400,HarmonyCube,HarmonyCube,SSR,All,11001,40131,40132,0
1000308,Locale_Item:artifact_all_8,Locale_Item:artifact_all_8_desc,23,Locale_Item:artifact_all_1_location,8,13001,ele_exstage_deco_glow_01,00FFB4,HarmonyCube,HarmonyCube,SSR,All,10007,40141,40142,0
1000309,Locale_Item:artifact_all_9,Locale_Item:artifact_all_9_desc,26,Locale_Item:artifact_all_1_location,9,12001,ele_exstage_deco_glow_01,005BFF,HarmonyCube,HarmonyCube,SSR,All,10008,40151,40152,0
1000310,Locale_Item:artifact_all_10,Locale_Item:artifact_all_10_desc,27,Locale_Item:artifact_all_1_location,10,13002,ele_exstage_deco_glow_01,00FFB4,HarmonyCube,HarmonyCube,SSR,All,10009,40161,40162,0
1000311,Locale_Item:artifact_all_11,Locale_Item:artifact_all_11_desc,29,Locale_Item:artifact_all_1_location,11,12002,ele_exstage_deco_glow_01,005BFF,HarmonyCube,HarmonyCube,SSR,All,10010,40171,40172,0
1000312,Locale_Item:artifact_all_12,Locale_Item:artifact_all_12_desc,31,Locale_Item:artifact_all_1_location,12,10009,ele_exstage_deco_glow_01,77E745,HarmonyCube,HarmonyCube,SSR,All,10011,40181,40182,0
1000313,Locale_Item:artifact_all_13,Locale_Item:artifact_all_13_desc,33,Locale_Item:artifact_all_1_location,13,10007,ele_exstage_deco_glow_01,FF454B,HarmonyCube,HarmonyCube,SSR,All,10012,40191,40192,0
1000314,Locale_Item:artifact_all_14,Locale_Item:artifact_all_14_desc,35,Locale_Item:artifact_all_1_location,14,10008,ele_exstage_deco_glow_01,54C6FD,HarmonyCube,HarmonyCube,SSR,All,10013,40201,40202,0
