id,stage_id,order,mode_type,condition_type,condition_value,mission_desc,reward_id,ranking_point_amount
1011001,101,1,Challenge,GetTotalDamage,170000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901101,0
1011002,101,2,Challenge,GetTotalDamage,216000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901102,0
1011003,101,3,Challenge,GetTotalDamage,340000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901103,0
1011004,101,4,Challenge,GetTotalDamage,488000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901104,0
1011005,101,5,Challenge,GetTotalDamage,616000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901105,0
1011006,101,6,Challenge,GetTotalDamage,719000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901106,0
1011007,101,7,Challenge,GetTotalDamage,829000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901107,0
1011008,101,8,Challenge,GetTotalDamage,971000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901108,0
1011009,101,9,Challenge,GetTotalDamageRanker,50,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901109,0
1011010,101,10,Challenge,GetTotalDamageRanker,30,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901110,0
1011011,101,11,Challenge,GetTotalDamageRanker,15,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901111,0
1011012,101,12,Challenge,GetTotalDamageRanker,5,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901112,0
1011013,101,13,Challenge,GetTotalDamageRanker,1,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901113,0
1012001,101,14,NoLimit,GetTotalStageStep,20,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901201,5
1012002,101,15,NoLimit,GetTotalStageStep,40,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901202,5
1012003,101,16,NoLimit,GetTotalStageStep,60,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901203,5
1012004,101,17,NoLimit,GetTotalStageStep,80,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901204,5
1012005,101,18,NoLimit,GetTotalStageStep,100,Locale_System:MUSEUM_MISSION_DESC_TOTAL_STAGE_STEP,3901205,10
1021001,102,1,Challenge,GetTotalDamage,220000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901301,0
1021002,102,2,Challenge,GetTotalDamage,298000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901302,0
1021003,102,3,Challenge,GetTotalDamage,496000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901303,0
1021004,102,4,Challenge,GetTotalDamage,713000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901304,0
1021005,102,5,Challenge,GetTotalDamage,857000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901305,0
1021006,102,6,Challenge,GetTotalDamage,1073000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901306,0
1021007,102,7,Challenge,GetTotalDamage,1258000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901307,0
1021008,102,8,Challenge,GetTotalDamage,1439000000,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE,3901308,0
1021009,102,9,Challenge,GetTotalDamageRanker,50,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901309,0
1021010,102,10,Challenge,GetTotalDamageRanker,30,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901310,0
1021011,102,11,Challenge,GetTotalDamageRanker,15,Locale_System:MUSEUM_MISSION_DESC_TOTAL_DAMEGE_RANK,3901311,0
