id,name_localkey,description_localkey,resource_id,item_type,item_sub_type,item_rare,corporation,class,use_type,use_id,use_value,use_limit_count,stack_max,corporation_sub_type,use_limit_count_value
5100300,Locale_Item:piece_50300,Locale_Item:piece,300,Piece,CharacterPiece,R,ELYSION,Attacker,None,0,0,False,9999999,,
5100010,Locale_Item:piece_50010,Locale_Item:piece,10,Piece,CharacterPiece,SR,ELYSION,Attacker,None,0,0,False,9999999,,
5100011,Locale_Item:piece_50011,Locale_Item:piece,11,Piece,CharacterPiece,SR,ELYSION,Supporter,None,0,0,False,9999999,,
5100170,Locale_Item:piece_50170,Locale_Item:piece,170,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100032,Locale_Item:piece_50032,Locale_Item:piece,32,Piece,CharacterPiece,SSR,ELYSION,Supporter,None,0,0,False,9999999,,
5100092,Locale_Item:piece_50092,Locale_Item:piece,92,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100180,Locale_Item:piece_50180,Locale_Item:piece,180,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100181,Locale_Item:piece_50181,Locale_Item:piece,181,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100303,Locale_Item:piece_50303,Locale_Item:piece,303,Piece,CharacterPiece,R,MISSILIS,Attacker,None,0,0,False,9999999,,
5100291,Locale_Item:piece_50291,Locale_Item:piece,291,Piece,CharacterPiece,SR,MISSILIS,Defender,None,0,0,False,9999999,,
5100102,Locale_Item:piece_50102,Locale_Item:piece,102,Piece,CharacterPiece,SSR,MISSILIS,Attacker,None,0,0,False,9999999,,
5100160,Locale_Item:piece_50160,Locale_Item:piece,160,Piece,CharacterPiece,SSR,MISSILIS,Defender,None,0,0,False,9999999,,
5100082,Locale_Item:piece_50082,Locale_Item:piece,82,Piece,CharacterPiece,SSR,MISSILIS,Supporter,None,0,0,False,9999999,,
5100110,Locale_Item:piece_50110,Locale_Item:piece,110,Piece,CharacterPiece,SSR,MISSILIS,Defender,None,0,0,False,9999999,,
5100100,Locale_Item:piece_50100,Locale_Item:piece,100,Piece,CharacterPiece,SSR,MISSILIS,Attacker,None,0,0,False,9999999,,
5100140,Locale_Item:piece_50140,Locale_Item:piece,140,Piece,CharacterPiece,SSR,TETRA,Attacker,None,0,0,False,9999999,,
5100141,Locale_Item:piece_50141,Locale_Item:piece,141,Piece,CharacterPiece,SSR,TETRA,Attacker,None,0,0,False,9999999,,
5100200,Locale_Item:piece_50200,Locale_Item:piece,200,Piece,CharacterPiece,SSR,TETRA,Attacker,None,0,0,False,9999999,,
5100201,Locale_Item:piece_50201,Locale_Item:piece,201,Piece,CharacterPiece,SSR,TETRA,Supporter,None,0,0,False,9999999,,
5100242,Locale_Item:piece_50242,Locale_Item:piece,242,Piece,CharacterPiece,SSR,TETRA,Defender,None,0,0,False,9999999,,
5100220,Locale_Item:piece_50220,Locale_Item:piece,220,Piece,CharacterPiece,SSR,PILGRIM,Attacker,None,0,0,False,9999999,OVERSPEC,
5100231,Locale_Item:piece_50231,Locale_Item:piece,231,Piece,CharacterPiece,SSR,PILGRIM,Attacker,None,0,0,False,9999999,OVERSPEC,
5100221,Locale_Item:piece_50221,Locale_Item:piece,221,Piece,CharacterPiece,SSR,PILGRIM,Supporter,None,0,0,False,9999999,OVERSPEC,
5100222,Locale_Item:piece_50222,Locale_Item:piece,222,Piece,CharacterPiece,SSR,PILGRIM,Attacker,None,0,0,False,9999999,OVERSPEC,
5100230,Locale_Item:piece_50230,Locale_Item:piece,230,Piece,CharacterPiece,SSR,PILGRIM,Attacker,None,0,0,False,9999999,OVERSPEC,
5100232,Locale_Item:piece_50232,Locale_Item:piece,232,Piece,CharacterPiece,SSR,PILGRIM,Defender,None,0,0,False,9999999,OVERSPEC,
5100301,Locale_Item:piece_50301,Locale_Item:piece,301,Piece,CharacterPiece,R,ELYSION,Defender,None,0,0,False,9999999,,
5100020,Locale_Item:piece_50020,Locale_Item:piece,20,Piece,CharacterPiece,SR,ELYSION,Defender,None,0,0,False,9999999,,
5100030,Locale_Item:piece_50030,Locale_Item:piece,30,Piece,CharacterPiece,SSR,ELYSION,Defender,None,0,0,False,9999999,,
5100070,Locale_Item:piece_50070,Locale_Item:piece,70,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100072,Locale_Item:piece_50072,Locale_Item:piece,72,Piece,CharacterPiece,SSR,ELYSION,Defender,None,0,0,False,9999999,,
5100161,Locale_Item:piece_50161,Locale_Item:piece,161,Piece,CharacterPiece,SR,MISSILIS,Attacker,None,0,0,False,9999999,,
5100150,Locale_Item:piece_50150,Locale_Item:piece,150,Piece,CharacterPiece,SSR,MISSILIS,Attacker,None,0,0,False,9999999,,
5100101,Locale_Item:piece_50101,Locale_Item:piece,101,Piece,CharacterPiece,SSR,MISSILIS,Attacker,None,0,0,False,9999999,,
5100304,Locale_Item:piece_50304,Locale_Item:piece,304,Piece,CharacterPiece,R,TETRA,Defender,None,0,0,False,9999999,,
5100060,Locale_Item:piece_50060,Locale_Item:piece,60,Piece,CharacterPiece,SR,TETRA,Attacker,None,0,0,False,9999999,,
5100061,Locale_Item:piece_50061,Locale_Item:piece,61,Piece,CharacterPiece,SR,TETRA,Supporter,None,0,0,False,9999999,,
5100171,Locale_Item:piece_50171,Locale_Item:piece,171,Piece,CharacterPiece,SSR,TETRA,Attacker,None,0,0,False,9999999,,
5100212,Locale_Item:piece_50212,Locale_Item:piece,212,Piece,CharacterPiece,SSR,TETRA,Defender,None,0,0,False,9999999,,
5100241,Locale_Item:piece_50241,Locale_Item:piece,241,Piece,CharacterPiece,SSR,MISSILIS,Attacker,None,0,0,False,9999999,,
5100090,Locale_Item:piece_50090,Locale_Item:piece,90,Piece,CharacterPiece,SSR,ELYSION,Supporter,None,0,0,False,9999999,,
5100022,Locale_Item:piece_50022,Locale_Item:piece,22,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100071,Locale_Item:piece_50071,Locale_Item:piece,71,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100091,Locale_Item:piece_50091,Locale_Item:piece,91,Piece,CharacterPiece,SSR,ELYSION,Attacker,None,0,0,False,9999999,,
5100302,Locale_Item:piece_50302,Locale_Item:piece,302,Piece,CharacterPiece,R,MISSILIS,Supporter,None,0,0,False,9999999,,
5100120,Locale_Item:piece_50120,Locale_Item:piece,120,Piece,CharacterPiece,SR,MISSILIS,Supporter,None,0,0,False,9999999,,
5100080,Locale_Item:piece_50080,Locale_Item:piece,80,Piece,CharacterPiece,SSR,MISSILIS,Defender,None,0,0,False,9999999,,
5100131,Locale_Item:piece_50131,Locale_Item:piece,131,Piece,CharacterPiece,SSR,MISSILIS,Supporter,None,0,0,False,9999999,,
5100172,Locale_Item:piece_50172,Locale_Item:piece,172,Piece,CharacterPiece,SSR,MISSILIS,Supporter,None,0,0,False,9999999,,
5100305,Locale_Item:piece_50305,Locale_Item:piece,305,Piece,CharacterPiece,R,TETRA,Supporter,None,0,0,False,9999999,,
