id,stage_mode,minigame_type,minigame_stage_id,chapter_id,chapter_mod,event_quest_manager_id,archive_event_quest_manager_id,spawn_condition_event_quest_id,spawn_condition_archive_event_quest_id,spawn_condition_campaign_stage_id,enter_condition_event_quest_id,enter_condition_archive_event_quest_id,enter_condition_campaign_stage_id,name_localkey,stage_category,spot_autocontrol,monster_stage_lv,dynamic_object_stage_lv,standard_battle_power,stage_stat_increase_group_id,is_use_quick_battle,field_monster_id,spot_id,reward_id,enter_scenario_type,enter_scenario,fixed_play_character_id,group_id,spawn_condition_event_quest_stage_id,enter_condition_event_quest_stage_id,exit_scenario_type,exit_scenario
6600101,SpotBattle,None,0,3,Normal,10001,10001.0,1000102,1000102.0,6002016,1000102,1000102.0,6002016,Locale_Stage:6600101_name,Normal,False,13,30,1000,40000,False,32200501,6600101,7000001,Dialog,event_fullfoolday_03,13001,,,,,
6600102,SpotBattle,None,0,4,Normal,10001,10001.0,1000104,1000104.0,6003021,1000104,1000104.0,6003021,Locale_Stage:6600102_name,Normal,False,12,30,1100,40000,False,32200501,6600102,7000002,,,13001,100102.0,6600101.0,6600101.0,,
6600103,SpotBattle,None,0,4,Normal,10001,10001.0,1000104,1000104.0,6003021,1000104,1000104.0,6003021,Locale_Stage:6600103_name,Normal,False,13,30,1150,40000,False,32200501,6600103,7000003,,,13001,100102.0,6600101.0,6600101.0,,
6600104,SpotBattle,None,0,4,Normal,10001,10001.0,1000104,1000104.0,6003021,1000104,1000104.0,6003021,Locale_Stage:6600104_name,Normal,False,12,30,1200,40000,False,12200101,6600104,7000004,,,13001,100102.0,6600101.0,6600101.0,,
6600105,SpotBattle,None,0,4,Normal,10001,10001.0,1000104,1000104.0,6003021,1000104,1000104.0,6003021,Locale_Stage:6600105_name,Hard,False,14,30,1300,40000,False,13200301,6600105,7000005,,,13001,100102.0,6600101.0,6600101.0,,
6600201,SpotBattle,None,0,4,Normal,10002,10002.0,1000206,1000206.0,6003021,1000206,1000206.0,6003021,Locale_Stage:6600201_name,Normal,False,20,30,4100,40000,False,12200101,6600201,7000011,,,13002,,,,,
6600202,SpotBattle,None,0,5,Normal,10002,10002.0,1000208,1000208.0,6004023,1000208,1000208.0,6004023,Locale_Stage:6600202_name,Normal,False,20,30,4200,40000,False,22100201,6600202,7000012,,,13002,100201.0,6600201.0,6600201.0,,
6600203,SpotBattle,None,0,5,Normal,10002,10002.0,1000208,1000208.0,6004023,1000208,1000208.0,6004023,Locale_Stage:6600203_name,Hard,False,20,30,4500,40000,False,33200601,6600203,7000013,,,13002,100201.0,6600201.0,6600201.0,,
6600204,SpotBattle,None,0,5,Normal,10002,10002.0,1000209,1000209.0,6004023,1000209,1000209.0,6004023,Locale_Stage:6600204_name,Normal,False,20,30,4700,40000,False,32200501,6600204,7000014,,,13002,100202.0,6600203.0,6600203.0,,
6600205,SpotBattle,None,0,5,Normal,10002,10002.0,1000209,1000209.0,6004023,1000209,1000209.0,6004023,Locale_Stage:6600205_name,Hard,False,20,30,5000,40000,False,33100101,6600205,7000015,,,13002,100202.0,6600203.0,6600203.0,,
6600401,SpotBattle,None,0,2,Normal,10004,10004.0,1000408,,6003021,1000408,,6003021,Locale_Stage:6600401_name,Normal,False,11,30,1000,40000,False,32200501,6600301,7000031,Dialog,event_liarsend_09,13003,100401.0,,,,
6600402,SpotBattle,None,0,2,Normal,10004,10004.0,1000408,,6003021,1000408,,6003021,Locale_Stage:6600402_name,Normal,False,9,30,1100,40000,False,22200301,6600302,7000032,,,13003,100401.0,,6600401.0,,
6600403,SpotBattle,None,0,2,Normal,10004,10004.0,1000409,,6003021,1000409,,6003021,Locale_Stage:6600403_name,Normal,False,14,30,2200,40000,False,12100201,6600303,7000033,Dialog,event_liarsend_11,13004,100402.0,6600402.0,6600402.0,,
6600404,SpotBattle,None,0,2,Normal,10004,10004.0,1000409,,6003021,1000409,,6003021,Locale_Stage:6600404_name,Normal,False,15,30,2400,40000,False,32200401,6600304,7000034,,,13004,100402.0,6600402.0,6600403.0,,
6600405,SpotBattle,None,0,2,Normal,10004,10004.0,1000409,,6003021,1000409,,6003021,Locale_Stage:6600405_name,Normal,False,17,30,2600,40000,False,12200101,6600305,7000035,,,13004,100402.0,6600402.0,6600403.0,,
6600501,SpotBattle,None,0,4,Normal,10005,,1000505,,6003021,1000506,,6003021,Locale_Stage:6600501_name,Normal,False,12,30,4100,40000,False,33100101,6600501,7000041,,,13005,100501.0,,,,
6600502,SpotBattle,None,0,4,Normal,10005,,1000505,,6003021,1000506,,6003021,Locale_Stage:6600502_name,Normal,False,8,30,4200,40000,False,33100101,6600502,7000042,,,13005,100501.0,,,,
6600503,SpotBattle,None,0,4,Normal,10005,,1000505,,6003021,1000506,,6003021,Locale_Stage:6600503_name,Hard,False,15,30,4500,40000,False,24200101,6600503,7000043,,,13005,100501.0,,,,
6600701,SpotBattle,None,0,4,Normal,10007,,1000708,,6003021,1000708,,6003021,Locale_Stage:event_stage_name,Normal,False,10,30,1000,40000,False,33200601,6600701,7000051,Dialog,event_foolburstday_08,13006,,,,,
6600702,SpotBattle,None,0,4,Normal,10007,,1000709,,6003021,1000709,,6003021,Locale_Stage:event_stage_name,Normal,False,10,30,1100,40000,False,13200301,6600702,7000052,Dialog,event_foolburstday_09,13007,100701.0,6600701.0,6600701.0,,
6600703,SpotBattle,None,0,4,Normal,10007,,1000709,,6003021,1000709,,6003021,Locale_Stage:event_stage_name,Normal,False,10,30,1150,40000,False,13100101,6600703,7000053,,,13007,100701.0,6600702.0,6600702.0,,
6600704,SpotBattle,None,0,4,Normal,10007,,1000709,,6003021,1000709,,6003021,Locale_Stage:event_stage_name,Normal,False,10,30,1200,40000,False,13200301,6600704,7000054,,,13007,100701.0,6600702.0,6600702.0,,
6600705,SpotBattle,None,0,4,Normal,10007,,1000710,,6003021,1000710,,6003021,Locale_Stage:event_stage_name,Normal,False,10,30,1000,40000,False,23200301,6600705,7000055,Dialog,event_foolburstday_10_s,13008,100702.0,6600704.0,6600704.0,,
6600706,SpotBattle,None,0,4,Normal,10007,,1000710,,6003021,1000710,,6003021,Locale_Stage:event_stage_name,Normal,False,10,30,1100,40000,False,13200301,6600706,7000056,,,13008,100702.0,6600705.0,6600705.0,Dialog,event_foolburstday_10_e
6600707,MiniGame,TowerDefense,100201,4,Normal,10007,,1000713,,6003021,1000713,,6003021,Locale_Stage:event_stage_name,Normal,False,10,30,1100,40000,False,23200301,6600706,7000057,Dialog,event_foolburstday_12_s,13008,,6600706.0,6600706.0,Dialog,event_foolburstday_12_e
