id,group,order,price_type,price_id
10011,1001,1,Currency,99
10012,1001,2,Currency,2000
10021,1002,1,Currency,10000
10031,1003,1,Currency,9000
10041,1004,1,Currency,5000
10051,1005,1,Currency,8100
10052,1005,2,Currency,8000
10061,1006,1,Currency,2000
10062,1006,2,Currency,1000
10063,1006,3,Currency,3000
10071,1007,1,Currency,12000
10072,1007,2,Currency,11000
20011,2001,1,Currency,99
20021,2002,1,Currency,99
20031,2003,1,Currency,99
20041,2004,1,Currency,99
20051,2005,1,Currency,99
20061,2006,1,Currency,99
20071,2007,1,Currency,99
20081,2008,1,Currency,99
20091,2009,1,Currency,99
20101,2010,1,Currency,99
20111,2011,1,Currency,99
20121,2012,1,Currency,99
20131,2013,1,Currency,99
20141,2014,1,Currency,99
20151,2015,1,Currency,99
20161,2016,1,Currency,99
20171,2017,1,Currency,99
20181,2018,1,Currency,99
20191,2019,1,Currency,99
20201,2020,1,Currency,99
20211,2021,1,Currency,99
20221,2022,1,Currency,99
20231,2023,1,Currency,99
20241,2024,1,Currency,99
20251,2025,1,Currency,99
20261,2026,1,Currency,99
20271,2027,1,Currency,99
20281,2028,1,Currency,99
20291,2029,1,Currency,99
20301,2030,1,Currency,99
20311,2031,1,Currency,99
20321,2032,1,Currency,99
20331,2033,1,Currency,99
20341,2034,1,Currency,99
20351,2035,1,Currency,99
20361,2036,1,Currency,99
20371,2037,1,Currency,99
20381,2038,1,Currency,99
20391,2039,1,Currency,99
20401,2040,1,Currency,99
20411,2041,1,Currency,99
20421,2042,1,Currency,99
20431,2043,1,Currency,99
20441,2044,1,Currency,99
20451,2045,1,Currency,99
20461,2046,1,Currency,99
20471,2047,1,Currency,99
20481,2048,1,Currency,99
20491,2049,1,Currency,99
20501,2050,1,Currency,99
20511,2051,1,Currency,99
20521,2052,1,Currency,99
20531,2053,1,Currency,99
20541,2054,1,Currency,99
20551,2055,1,Currency,99
20552,2055,2,Item,7060077
20561,2056,1,Currency,99
20562,2056,2,Item,7060078
20571,2057,1,Currency,99
20572,2057,2,Item,7060079
20581,2058,1,Currency,99
20582,2058,2,Item,7060081
20591,2059,1,Currency,99
20592,2059,2,Item,7060082
20601,2060,1,Currency,99
20602,2060,2,Item,7060084
20611,2061,1,Currency,99
20612,2061,2,Item,7060086
26021,2062,1,Currency,99
26022,2062,2,Item,7060088
