id,wave_path_group_id,spawn_start_time,spawn_monster_id,spawn_count,spawn_delay,starting_point_group,starting_point_type,starting_point_min_order,starting_point_max_order,forced_starting_point_index
10101,100110101,100,1001101101,3,200,A,InOrder,1.0,3.0,
10102,100110101,800,1001101101,3,200,A,InOrder,1.0,3.0,
10103,100110101,1500,1001101101,3,200,A,InOrder,1.0,3.0,
10104,100110102,100,1001102101,1,200,A,InOrder,1.0,3.0,
10105,100110102,800,1001101101,3,200,A,InOrder,1.0,3.0,
10106,100110102,1000,1001102101,1,200,A,InOrder,1.0,3.0,
10107,100110102,1700,1001101101,3,200,A,InOrder,1.0,3.0,
10108,100110103,100,1001102101,3,160,A,InOrder,1.0,3.0,
10109,100110103,1420,1001101101,11,120,A,InOrder,1.0,3.0,
10110,100110104,100,1001101101,6,120,A,InOrder,1.0,3.0,
10111,100110104,950,1001105101,4,160,A,InOrder,1.0,3.0,
10112,100110104,1830,1001101101,6,120,A,InOrder,1.0,3.0,
10113,100110104,2680,1001105101,4,160,A,InOrder,1.0,3.0,
10114,100110105,100,1001102101,1,200,A,InOrder,1.0,3.0,
10115,100110105,1100,1001101101,9,100,A,InOrder,1.0,3.0,
10116,100110105,1400,1001102101,1,200,A,InOrder,1.0,3.0,
10117,100110105,2400,1001105101,6,120,A,InOrder,1.0,3.0,
10118,100110105,2700,1001102101,1,200,A,InOrder,1.0,3.0,
10119,100110105,3700,1001105101,6,120,A,InOrder,1.0,3.0,
10120,100110106,100,1001101101,7,120,A,InOrder,1.0,3.0,
10121,100110106,300,1001201101,1,200,A,Forced,,,1.0
10122,100110106,2240,1001102101,2,160,A,InOrder,1.0,3.0,
10123,100110106,3440,1001101101,7,120,A,InOrder,1.0,3.0,
10201,100110201,100,1001101001,6,120,A,InOrder,1.0,3.0,
10202,100110201,940,1001101001,3,160,A,InOrder,1.0,3.0,
10203,100110202,100,1001102001,1,200,A,InOrder,1.0,3.0,
10204,100110202,800,1001101001,7,120,A,InOrder,1.0,3.0,
10205,100110202,2320,1001102001,1,200,A,InOrder,1.0,3.0,
10206,100110202,3020,1001101001,7,120,A,InOrder,1.0,3.0,
10207,100110203,100,1001105001,3,200,A,InOrder,4.0,6.0,
10208,100110203,800,1001105001,3,200,A,InOrder,4.0,6.0,
10209,100110203,1500,1001105001,3,200,A,InOrder,4.0,6.0,
10210,100110204,100,1001101001,6,120,A,InOrder,1.0,3.0,
10211,100110204,950,1001105001,4,160,A,InOrder,1.0,3.0,
10212,100110204,1830,1001101001,6,120,A,InOrder,4.0,6.0,
10213,100110204,2680,1001105001,4,160,A,InOrder,4.0,6.0,
10214,100110205,100,1001102002,3,160,A,InOrder,4.0,6.0,
10215,100110205,1620,1001101002,6,120,A,InOrder,4.0,6.0,
10216,100110205,2020,1001102002,3,160,A,InOrder,1.0,3.0,
10217,100110205,3540,1001101002,6,120,A,InOrder,1.0,3.0,
10218,100110206,100,1001101002,9,100,A,InOrder,1.0,3.0,
10219,100110206,1260,1001105002,6,120,A,InOrder,4.0,6.0,
10220,100110206,2460,1001101002,9,100,A,InOrder,1.0,3.0,
10221,100110206,3560,1001105002,6,120,A,InOrder,4.0,6.0,
