id,mission_step_group,mission_step,default_mission_group_id,reset_mission_group_id,step_up_exp,reward_id,scenario_id
1,101,1,1001,1101,180,50,
2,101,2,1001,1101,180,50,d_nikke_guilty_02
3,101,3,1001,1101,720,50,d_nikke_guilty_03
4,101,4,1001,1101,1080,50,d_nikke_guilty_04
5,101,5,1001,1101,1440,3001001,d_nikke_guilty_05
6,201,1,2001,2101,180,50,
7,201,2,2001,2101,180,50,d_nikke_quency_02
8,201,3,2001,2101,720,50,d_nikke_quency_03
9,201,4,2001,2101,1080,50,d_nikke_quency_04
10,201,5,2001,2101,1440,3003001,d_nikke_quency_05
11,301,1,3001,3101,180,50,
12,301,2,3001,3101,180,50,d_nikke_sin_02
13,301,3,3001,3101,720,50,d_nikke_sin_03
14,301,4,3001,3101,1080,50,d_nikke_sin_04
15,301,5,3001,3101,1440,3002001,d_nikke_sin_05
16,401,1,4001,4101,270,50,
17,401,2,4001,4101,270,50,d_nikke_nihilister_02
18,401,3,4001,4101,1080,50,d_nikke_nihilister_03
19,401,4,4001,4101,1620,50,d_nikke_nihilister_04
20,401,5,4001,4101,2160,3004001,d_nikke_nihilister_05
