id,WaveNum,SpotTimeControl,NoinputControl,TriggerType,TriggerTimeValue,TriggerEnumValue,CloseType,CloseTimeValue,CloseValue,TextLocation,Background,AddonResource,UnmaskKeyList_noinput/0,SkipButtonControl,KeyBoardInputTrigger,NextId,CharResourceId,Title_TextLocale,TextLocale,TriggerEnumValueId,MarkMonsterId,MonsterMarkResource,UnmaskKeyList_noinput/1,EffectList,UnmaskKeyList/0
1,6000001,False,True,Time,0.0,None,Time,150.0,None,None,0,popup_tuto_dim,field_tuto05_01,False,None,2.0,,,,,,,,,
2,6000001,False,False,Time,,None,Event,,KillMonster,Top,0,popup_tuto_drag_area,,False,None,,si_c013_00_s,Locale_Tutorial:tuto01_01_title,Locale_Tutorial:tuto01_01_description,,,,,,
3,6000001,False,True,Event,30.0,MonsterSpawn,Time,150.0,None,None,0,popup_tuto_dim,,False,None,4.0,,,,3227050312.0,,,,,
4,6000001,True,True,None,,None,Time,150.0,None,Top,1,,,True,None,5.0,si_c013_00_s,Locale_Tutorial:tuto01_04_title,Locale_Tutorial:tuto01_04_description,,322005.0,SpotTutorialUnmask_Circle_02,,,
5,6000001,False,True,None,,None,Event,120.0,AttackedPlayer,Top,1,,,False,None,6.0,si_c013_00_s,Locale_Tutorial:tuto01_05_title,Locale_Tutorial:tuto01_05_description,,322005.0,SpotTutorialUnmask_Circle_02,,,
6,6000001,False,True,None,,None,Event,120.0,AttackedPlayer,Top,1,,tuto_attack_signal_01,False,None,7.0,si_c013_00_s,Locale_Tutorial:tuto01_02_title,Locale_Tutorial:tuto01_02_description,,,,,,
7,6000001,False,False,None,,None,Event,,KillMonster,Top,0,popup_tuto_drag_area,,False,None,,si_c013_00_s,Locale_Tutorial:tuto01_03_title,Locale_Tutorial:tuto01_03_description,,,,,,
8,6000001,True,True,Event,10.0,OnReloadStart,Touch,,None,Top,1,,tuto03_01,True,None,,si_c013_00_s,Locale_Tutorial:tuto03_01_title,Locale_Tutorial:tuto03_01_description,,,,,,
9,6000001,False,True,Event,10.0,TargetSpawn,Event,,TargetIncount,None,0,popup_tuto_dim,,False,None,10.0,,,,3320010111.0,,,,,
10,6000001,True,True,None,,None,Touch,,None,Bottom,1,,tuto04_01_a,True,None,,si_c013_00_s,Locale_Tutorial:tuto04_01_title,Locale_Tutorial:tuto04_01_description,,332001.0,SpotTutorialUnmask_Circle_02,tuto04_01_b,,
