id,group_id,slot_id,move_rotation,move_rotation_reverse,event_type,go_to,reward_id,get_heropower_1,get_heropower_2,get_heropower_3,get_heropower_1_rate,get_heropower_2_rate,get_heropower_3_rate
1,1001,3,RightDown,LeftDown,Start,3.0,,,,,,,
2,1001,8,RightUp,LeftUp,Training,,8010034.0,5.0,10.0,20.0,,,
3,1001,4,RightDown,LeftDown,Leisure,,8010031.0,5.0,,,,,
4,1001,9,RightDown,LeftUp,Item,,8010036.0,,,,,,
5,1001,14,LeftDown,LeftUp,Contract,,8010035.0,5.0,10.0,15.0,70.0,25.0,5.0
6,1001,18,LeftDown,RightUp,Leisure,,8010032.0,5.0,,,,,
7,1001,22,LeftDown,RightUp,Training,,8010033.0,5.0,10.0,20.0,,,
8,1001,26,RightDown,RightUp,GoTo,-2.0,,,,,,,
9,1001,31,RightDown,LeftUp,Item,,8010037.0,,,,,,
10,1001,36,RightDown,LeftUp,Training,,8010034.0,5.0,10.0,20.0,,,
11,1001,41,LeftDown,LeftUp,GoTo,3.0,,,,,,,
12,1001,45,LeftDown,RightUp,PoorCondition,,8010039.0,10.0,,,,,
13,1001,49,LeftDown,RightUp,Item,,8010038.0,,,,,,
14,1001,53,LeftDown,RightUp,Training,,8010034.0,5.0,10.0,20.0,,,
15,1001,57,LeftUp,RightUp,Contract,,8010035.0,5.0,10.0,15.0,70.0,25.0,5.0
16,1001,52,LeftDown,RightDown,PoorCondition,,8010040.0,10.0,,,,,
17,1001,56,LeftUp,RightUp,GoTo,-1.0,,,,,,,
18,1001,51,LeftUp,RightDown,Item,,8010036.0,,,,,,
19,1001,46,RightUp,RightDown,Leisure,,8010032.0,5.0,,,,,
20,1001,42,RightUp,LeftDown,Training,,8010033.0,5.0,10.0,20.0,,,
21,1001,38,RightUp,LeftDown,Item,,8010037.0,,,,,,
22,1001,34,LeftUp,LeftDown,GoTo,4.0,,,,,,,
23,1001,29,LeftUp,RightDown,Leisure,,8010031.0,5.0,,,,,
24,1001,24,RightUp,RightDown,Item,,8010038.0,,,,,,
25,1001,20,LeftUp,LeftDown,Contract,,8010035.0,5.0,10.0,15.0,70.0,25.0,5.0
26,1001,15,LeftUp,RightDown,Training,,8010033.0,5.0,10.0,20.0,,,
27,1001,10,RightUp,RightDown,PoorCondition,,8010039.0,10.0,,,,,
28,1001,6,RightUp,LeftDown,Item,,8010037.0,,,,,,
29,1001,2,RightDown,LeftDown,Leisure,,8010031.0,5.0,,,,,
30,1001,7,RightUp,LeftUp,Item,,8010038.0,,,,,,
101,1002,51,RightDown,RightUp,Start,3.0,,,,,,,
102,1002,56,RightDown,LeftUp,Training,,8111045.0,5.0,10.0,20.0,,,
103,1002,61,RightUp,LeftUp,Item,,8111046.0,,,,,,
104,1002,57,RightDown,LeftDown,Leisure,,8111047.0,5.0,,,,,
105,1002,62,RightUp,LeftUp,Contract,,8111048.0,5.0,10.0,15.0,70.0,25.0,5.0
106,1002,58,RightUp,LeftDown,Item,,8111049.0,,,,,,
107,1002,54,LeftUp,LeftDown,PoorCondition,,8111050.0,5.0,,,,,
108,1002,49,RightUp,RightDown,Training,,8111051.0,5.0,10.0,20.0,,,
109,1002,45,RightUp,LeftDown,GoTo,4.0,,,,,,,
110,1002,41,LeftUp,LeftDown,Item,,8111052.0,,,,,,
111,1002,36,RightUp,RightDown,Leisure,,8111053.0,5.0,,,,,
112,1002,32,LeftUp,LeftDown,Contract,,8111054.0,5.0,10.0,15.0,70.0,25.0,5.0
113,1002,27,RightUp,RightDown,Training,,8111055.0,5.0,10.0,20.0,,,
114,1002,23,LeftUp,LeftDown,Item,,8111056.0,,,,,,
115,1002,18,LeftUp,RightDown,PoorCondition,,8111057.0,5.0,,,,,
