id,desc,currencyType,currencyValue,currencyResource
100,10골드,MVGGold,10,fx_mvg_dropitem_gold_small
101,12골드,MVGGold,12,fx_mvg_dropitem_gold_small
102,15골드,MVGGold,15,fx_mvg_dropitem_gold_small
103,20골드 _ 여기서부터 큰 리소스,MVGGold,20,fx_mvg_dropitem_gold_big
104,25골드,MVGGold,25,fx_mvg_dropitem_gold_big
110,보너스 골드 1,MVGGold,1,fx_mvg_dropitem_gold_small
111,보너스 골드 2,MVGGold,2,fx_mvg_dropitem_gold_small
112,보너스 골드 3,MVGGold,3,fx_mvg_dropitem_gold_small
113,보너스 골드 4,MVGGold,4,fx_mvg_dropitem_gold_small
114,보너스 골드 5,MVGGold,5,fx_mvg_dropitem_gold_small
200,코어 1,MVGCore,1,fx_mvg_dropitem_material_small
201,코어 2,MVGCore,2,fx_mvg_dropitem_material_small
202,코어 3 _ 여기서부터 큰 리소스,MVGCore,3,fx_mvg_dropitem_material_big
203,코어 4,MVGCore,4,fx_mvg_dropitem_material_big
204,코어 5,MVGCore,5,fx_mvg_dropitem_material_big
901,챕터1 코어,MVGCore,1,fx_mvg_dropitem_material_small
902,챕터2 코어,MVGCore,1,fx_mvg_dropitem_material_small
903,챕터3 코어,MVGCore,1,fx_mvg_dropitem_material_small
904,챕터4 코어,MVGCore,1,fx_mvg_dropitem_material_small
905,챕터5 코어,MVGCore,2,fx_mvg_dropitem_material_small
906,챕터6 코어,MVGCore,2,fx_mvg_dropitem_material_small
907,챕터7 코어,MVGCore,3,fx_mvg_dropitem_material_small
908,챕터8 코어,MVGCore,5,fx_mvg_dropitem_material_big
909,챌린지1 코어,MVGCore,3,fx_mvg_dropitem_material_small
910,챌린지2 코어,MVGCore,5,fx_mvg_dropitem_material_big
911,챌린지3 코어,MVGCore,5,fx_mvg_dropitem_material_big
912,챌린지4 코어,MVGCore,6,fx_mvg_dropitem_material_big
913,챌린지5 코어,MVGCore,6,fx_mvg_dropitem_material_big
914,챌린지6 코어,MVGCore,7,fx_mvg_dropitem_material_big
915,챌린지7 코어,MVGCore,7,fx_mvg_dropitem_material_big
916,챌린지8 코어,MVGCore,7,fx_mvg_dropitem_material_big
917,챌린지9 코어,MVGCore,7,fx_mvg_dropitem_material_big
918,챌린지10 코어,MVGCore,8,fx_mvg_dropitem_material_big
1001,1챕터 쓰레쉬 ~ 일반 골드,MVGGold,5,fx_mvg_dropitem_gold_small
1002,1챕터 앨리트 골드,MVGGold,15,fx_mvg_dropitem_gold_small
1003,1챕터 보물 고블린 골드,MVGGold,25,fx_mvg_dropitem_gold_small
1004,1챕터 보스 골드,MVGGold,100,fx_mvg_dropitem_gold_big
2001,2챕터 쓰레쉬 ~ 일반 골드,MVGGold,5,fx_mvg_dropitem_gold_small
2002,2챕터 앨리트 골드,MVGGold,15,fx_mvg_dropitem_gold_small
2003,2챕터 보물 고블린 골드,MVGGold,50,fx_mvg_dropitem_gold_small
2004,2챕터 보스 골드,MVGGold,120,fx_mvg_dropitem_gold_big
3001,3챕터 쓰레쉬 ~ 일반 골드,MVGGold,6,fx_mvg_dropitem_gold_small
3002,3챕터 앨리트 골드,MVGGold,18,fx_mvg_dropitem_gold_small
3003,3챕터 보물 고블린 골드,MVGGold,90,fx_mvg_dropitem_gold_small
3004,3챕터 보스 골드,MVGGold,150,fx_mvg_dropitem_gold_big
4001,4챕터 쓰레쉬 ~ 일반 골드,MVGGold,6,fx_mvg_dropitem_gold_small
4002,4챕터 앨리트 골드,MVGGold,18,fx_mvg_dropitem_gold_small
4003,4챕터 보물 고블린 골드,MVGGold,90,fx_mvg_dropitem_gold_small
4004,4챕터 보스 골드,MVGGold,180,fx_mvg_dropitem_gold_big
5001,5챕터 쓰레쉬 ~ 일반 골드,MVGGold,7,fx_mvg_dropitem_gold_small
5002,5챕터 앨리트 골드,MVGGold,21,fx_mvg_dropitem_gold_small
5003,5챕터 보물 고블린 골드,MVGGold,105,fx_mvg_dropitem_gold_big
5004,5챕터 보스 골드,MVGGold,210,fx_mvg_dropitem_gold_big
6001,6챕터 쓰레쉬 ~ 일반 골드,MVGGold,7,fx_mvg_dropitem_gold_small
6002,6챕터 앨리트 골드,MVGGold,21,fx_mvg_dropitem_gold_small
6003,6챕터 보물 고블린 골드,MVGGold,140,fx_mvg_dropitem_gold_big
6004,6챕터 보스 골드,MVGGold,240,fx_mvg_dropitem_gold_big
7001,7챕터 쓰레쉬 ~ 일반 골드,MVGGold,9,fx_mvg_dropitem_gold_small
7002,7챕터 앨리트 골드,MVGGold,27,fx_mvg_dropitem_gold_small
7003,7챕터 보물 고블린 골드,MVGGold,180,fx_mvg_dropitem_gold_big
7004,7챕터 보스 골드,MVGGold,270,fx_mvg_dropitem_gold_big
8001,8챕터 쓰레쉬 ~ 일반 골드,MVGGold,10,fx_mvg_dropitem_gold_small
8002,8챕터 앨리트 골드,MVGGold,30,fx_mvg_dropitem_gold_small
8003,8챕터 보물 고블린 골드,MVGGold,200,fx_mvg_dropitem_gold_big
8004,8챕터 보스 골드,MVGGold,320,fx_mvg_dropitem_gold_big
9011,챌린지1 쓰레쉬 ~ 일반 골드,MVGGold,14,fx_mvg_dropitem_gold_small
9012,챌린지1 앨리트 골드,MVGGold,42,fx_mvg_dropitem_gold_small
9013,챌린지1 보물 고블린 골드,MVGGold,700,fx_mvg_dropitem_gold_big
9014,챌린지1 보스 골드,MVGGold,600,fx_mvg_dropitem_gold_big
9021,챌린지2 쓰레쉬 ~ 일반 골드,MVGGold,18,fx_mvg_dropitem_gold_small
9022,챌린지2 앨리트 골드,MVGGold,54,fx_mvg_dropitem_gold_small
9023,챌린지2 보물 고블린 골드,MVGGold,900,fx_mvg_dropitem_gold_big
9024,챌린지2 보스 골드,MVGGold,1000,fx_mvg_dropitem_gold_big
9031,챌린지3 쓰레쉬 ~ 일반 골드,MVGGold,24,fx_mvg_dropitem_gold_small
9032,챌린지3 앨리트 골드,MVGGold,72,fx_mvg_dropitem_gold_small
9033,챌린지3 보물 고블린 골드,MVGGold,1200,fx_mvg_dropitem_gold_big
9034,챌린지3 보스 골드,MVGGold,1500,fx_mvg_dropitem_gold_big
9041,챌린지4 쓰레쉬 ~ 일반 골드,MVGGold,30,fx_mvg_dropitem_gold_small
9042,챌린지4 앨리트 골드,MVGGold,90,fx_mvg_dropitem_gold_small
9043,챌린지4 보물 고블린 골드,MVGGold,1500,fx_mvg_dropitem_gold_big
9044,챌린지4 보스 골드,MVGGold,2000,fx_mvg_dropitem_gold_big
9051,챌린지5 쓰레쉬 ~ 일반 골드,MVGGold,38,fx_mvg_dropitem_gold_small
9052,챌린지5 앨리트 골드,MVGGold,114,fx_mvg_dropitem_gold_big
9053,챌린지5 보물 고블린 골드,MVGGold,1900,fx_mvg_dropitem_gold_big
9054,챌린지5 보스 골드,MVGGold,3000,fx_mvg_dropitem_gold_big
9061,챌린지6 쓰레쉬 ~ 일반 골드,MVGGold,46,fx_mvg_dropitem_gold_small
9062,챌린지6 앨리트 골드,MVGGold,138,fx_mvg_dropitem_gold_big
9063,챌린지6 보물 고블린 골드,MVGGold,2300,fx_mvg_dropitem_gold_big
9064,챌린지6 보스 골드,MVGGold,4500,fx_mvg_dropitem_gold_big
9071,챌린지7 쓰레쉬 ~ 일반 골드,MVGGold,62,fx_mvg_dropitem_gold_small
9072,챌린지7 앨리트 골드,MVGGold,186,fx_mvg_dropitem_gold_big
9073,챌린지7 보물 고블린 골드,MVGGold,3100,fx_mvg_dropitem_gold_big
