id,event_type,preview_type,preview_target,weight,description_localkey
1,NormalBattle,MainTarget,Attack,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_MAINTARGET_ATTACK
2,NormalBattle,MainTarget,Survive,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_MAINTARGET_SURVIVE
3,NormalBattle,MainTarget,Shoot,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_MAINTARGET_SHOOT
4,NormalBattle,Bubble,Type_A,800,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_A
5,NormalBattle,Bubble,Type_B,800,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_B
6,NormalBattle,Bubble,Type_C,800,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_C
7,NormalBattle,Bubble,Type_D,800,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_D
8,EliteBattle,MainTarget,Attack,800,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_MAINTARGET_ATTACK
9,EliteBattle,MainTarget,Survive,800,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_MAINTARGET_SURVIVE
10,EliteBattle,MainTarget,Shoot,800,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_MAINTARGET_SHOOT
11,EliteBattle,Bubble,Type_A,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_A
12,EliteBattle,Bubble,Type_B,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_B
13,EliteBattle,Bubble,Type_C,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_C
14,EliteBattle,Bubble,Type_D,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_D
15,BossBattle,Grade,EPIC,10000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_GRADE_EPIC
16,SpecialBattle,Bubble,Type_A,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_A
17,SpecialBattle,Bubble,Type_B,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_B
18,SpecialBattle,Bubble,Type_C,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_C
19,SpecialBattle,Bubble,Type_D,1000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_BUBBLE_TYPE_D
20,EventBossBattle,Grade,EPIC,10000,Locale_System:SIMULATIONROOM_BUFF_PREVIEW_GRADE_EPIC
