id,group,lv,play_time_min,play_time_max,spawn_tick,spawn_group,spawn_count_min,spawn_count_max,object_fall_speed_rate
10101,101,1,0,5,19191,101,2,4,20039
10102,101,2,5,10,17317,102,2,4,25286
10103,101,3,10,15,15864,103,2,4,29356
10104,101,4,15,20,14676,104,3,5,32682
10105,101,5,20,25,13672,105,3,5,35494
10106,101,6,25,30,12802,106,3,5,37929
10107,101,7,30,35,12035,107,4,6,40078
10108,101,8,35,40,11348,108,4,6,42000
10109,101,9,40,45,10727,109,4,6,43738
10110,101,10,45,50,10161,110,5,7,45325
10111,101,11,50,55,9639,111,5,7,46785
10112,101,12,55,60,9156,112,5,7,48137
10113,101,13,60,65,8707,113,6,8,49395
10114,101,14,65,70,8286,114,6,8,50573
10115,101,15,70,75,7892,115,7,9,51678
10116,101,16,75,80,7519,116,7,9,52721
10117,101,17,80,85,7167,117,8,10,53707
10118,101,18,85,90,6833,118,8,10,54643
10119,101,19,90,95,6515,119,9,11,55533
10120,101,20,95,100,6212,120,9,11,56381
10121,101,21,100,105,5922,121,9,11,57192
10122,101,22,105,110,5645,122,9,11,57968
10123,101,23,110,115,5379,123,9,11,58713
10124,101,24,115,120,5124,124,9,11,59428
10125,101,25,120,125,4878,125,9,11,60117
10126,101,26,125,130,4641,126,9,11,60780
10127,101,27,130,135,4412,127,9,11,61420
10128,101,28,135,140,4191,128,9,11,62039
10129,101,29,140,145,3978,129,9,11,62637
10130,101,30,145,150,3771,130,9,11,63216
10131,101,31,150,155,3571,131,9,11,63777
10132,101,32,155,160,3376,132,9,11,64322
10133,101,33,160,165,3187,133,9,11,64850
10134,101,34,165,170,3004,134,9,11,65364
10135,101,35,170,175,2825,135,9,11,65864
10136,101,36,175,180,2651,136,9,11,66350
10137,101,37,180,185,2482,137,9,11,66824
10138,101,38,185,190,2317,138,9,11,67286
10139,101,39,190,195,2156,139,9,11,67736
10140,101,40,195,0,2000,140,9,11,68176
20101,201,1,0,5,19191,201,2,4,20039
20102,201,2,5,10,17317,202,2,4,25286
20103,201,3,10,15,15864,203,2,4,29356
20104,201,4,15,20,14676,204,3,5,32682
20105,201,5,20,25,13672,205,3,5,35494
20106,201,6,25,30,12802,206,3,5,37929
20107,201,7,30,35,12035,207,4,6,40078
20108,201,8,35,40,11348,208,4,6,42000
20109,201,9,40,45,10727,209,4,6,43738
20110,201,10,45,50,10161,210,5,7,45325
20111,201,11,50,55,9639,211,5,7,46785
20112,201,12,55,60,9156,212,5,7,48137
20113,201,13,60,65,8707,213,6,8,49395
20114,201,14,65,70,8286,214,6,8,50573
20115,201,15,70,75,7892,215,7,9,51678
20116,201,16,75,80,7519,216,7,9,52721
20117,201,17,80,85,7167,217,8,10,53707
20118,201,18,85,90,6833,218,8,10,54643
20119,201,19,90,95,6515,219,9,11,55533
20120,201,20,95,100,6212,220,9,11,56381
20121,201,21,100,105,5922,221,9,11,57192
20122,201,22,105,110,5645,222,9,11,57968
20123,201,23,110,115,5379,223,9,11,58713
20124,201,24,115,120,5124,224,9,11,59428
20125,201,25,120,125,4878,225,9,11,60117
20126,201,26,125,130,4641,226,9,11,60780
20127,201,27,130,135,4412,227,9,11,61420
20128,201,28,135,140,4191,228,9,11,62039
20129,201,29,140,145,3978,229,9,11,62637
20130,201,30,145,150,3771,230,9,11,63216
20131,201,31,150,155,3571,231,9,11,63777
20132,201,32,155,160,3376,232,9,11,64322
20133,201,33,160,165,3187,233,9,11,64850
20134,201,34,165,170,3004,234,9,11,65364
20135,201,35,170,175,2825,235,9,11,65864
20136,201,36,175,180,2651,236,9,11,66350
20137,201,37,180,185,2482,237,9,11,66824
20138,201,38,185,190,2317,238,9,11,67286
20139,201,39,190,195,2156,239,9,11,67736
20140,201,40,195,0,2000,240,9,11,68176
