id,animator_id,animation_speed_ratio,use_effect_resource,use_attack_group_id,is_invincible,time_to_idle,skill_tutorial_use,skill_tutorial_use_id,skill_tutorial_output_time
1001,1,100,fx_ce006_gigas_PhaseChange,1001,True,410,False,0,0
1002,2,100,fx_ce006_gigas_RightBlow,1002,False,250,False,0,0
1102,2,100,fx_ce006_gigas_RightBlow_phase02,1002,False,250,False,0,0
1003,3,100,fx_ce006_gigas_Quake,1003,False,410,False,0,0
1103,3,100,fx_ce006_gigas_Quake_phase02,1003,False,410,False,0,0
1004,4,100,fx_ce006_gigas_TurnLeft,1004,False,270,False,0,0
1104,4,100,fx_ce006_gigas_TurnLeft_phase02,1004,False,270,False,0,0
1005,5,100,fx_ce006_gigas_Jump,1005,False,526,False,0,0
1105,5,100,fx_ce006_gigas_Jump_phase02,1005,False,526,False,0,0
1006,6,100,fx_ce006_gigas_ThrowStone,1006,False,350,False,0,0
1007,7,100,fx_ce006_gigas_MoveBackDust,1007,False,623,False,0,0
1008,8,100,fx_ce006_gigas_BodySlam,1008,False,500,False,0,0
1009,9,80,fx_ce006_gigas_SmashCombo,1009,False,750,False,0,0
1109,9,80,fx_ce006_gigas_SmashCombo_phase02,1009,False,750,False,0,0
1010,10,100,fx_ce006_gigas_rush_phase02,1010,False,640,False,0,0
1011,11,100,fx_ce006_gigas_MoveBack,1011,True,190,False,0,0
1012,9,80,fx_ce006_gigas_SmashCombo,1012,False,750,False,0,0
1112,9,80,fx_ce006_gigas_SmashCombo_phase02,1012,False,750,False,0,0
1110,10,80,fx_ce006_gigas_rush_phase02,1010,False,640,False,0,0
1208,8,100,fx_ce006_gigas_BodySlam,1013,False,500,False,0,0
1202,2,100,fx_ce006_gigas_RightBlow,1002,False,250,True,10068,40
1209,9,80,fx_ce006_gigas_SmashCombo,1009,False,750,True,10067,360
2001,1,100,fx_ce006_abaddon_PhaseChange,2001,True,530,False,0,0
2002,2,100,fx_ce006_abaddon_MoveBack,2002,False,226,False,0,0
2003,3,100,fx_ce006_abaddon_Swing,2003,False,230,False,0,0
2004,4,100,fx_ce006_abaddon_Stinger,2004,False,523,False,0,0
2005,5,100,fx_ce006_abaddon_SwingDouble,2005,False,336,False,0,0
2006,6,100,fx_ce006_abaddon_SwingTriple_phase02,2006,False,416,False,0,0
2007,7,100,fx_ce006_abaddon_SwingCombo,2007,False,410,False,0,0
2008,8,100,fx_ce006_abaddon_SwingCombo2,2008,False,753,False,0,0
2009,9,100,fx_ce006_abaddon_StampSmall,2009,False,433,False,0,0
2010,10,100,fx_ce006_abaddon_LaserAura,2010,False,496,False,0,0
2011,11,100,fx_ce006_abaddon_SwingChain_2,2011,False,866,False,0,0
2012,4,100,fx_ce006_abaddon_Stinger_phase02,2004,False,523,False,0,0
2013,9,100,fx_ce006_abaddon_StampLarge,2013,False,433,False,0,0
2014,12,100,fx_ce006_abaddon_MoveBack2,2014,False,280,False,0,0
2108,8,80,fx_ce006_abaddon_SwingCombo2,2008,False,753,False,0,0
2111,11,80,fx_ce006_abaddon_SwingChain_2,2011,False,866,False,0,0
2204,4,100,fx_ce006_abaddon_Stinger,2015,False,523,True,10069,250
2212,4,100,fx_ce006_abaddon_Stinger_phase02,2015,False,523,False,0,0
2105,5,100,fx_ce006_abaddon_SwingDouble,2005,False,336,True,10070,50
3001,1,100,fx_ce006_stalker_PhaseChange,3001,True,356,False,0,0
3002,2,100,fx_ce006_stalker_MoveBack,3002,False,220,False,0,0
3003,3,100,fx_ce006_stalker_DoubleSwing,3003,False,366,False,0,0
3004,4,100,fx_ce006_stalker_DashAndSwing,3004,False,373,False,0,0
3005,5,100,fx_ce006_stalker_PentaSwing,3005,False,850,False,0,0
3006,6,100,fx_ce006_stalker_CrazySwing,3006,False,546,False,0,0
3007,7,100,fx_ce006_stalker_DashGrinder,3007,False,576,False,0,0
3008,8,100,fx_ce006_stalker_LengthShockWaves,3008,False,230,False,0,0
3009,9,100,fx_ce006_stalker_SwingSlash,3009,False,710,False,0,0
3010,10,100,fx_ce006_stalker_SwingRampage,3010,False,1000,False,0,0
3011,11,100,fx_ce006_stalker_Jump,3011,False,460,False,0,0
3012,12,100,fx_ce006_stalker_ComboSwing,3012,False,600,False,0,0
3013,13,100,fx_ce006_stalker_TrunB,3013,False,190,False,0,0
3105,5,80,fx_ce006_stalker_PentaSwing,3005,False,850,False,0,0
3106,6,80,fx_ce006_stalker_CrazySwing,3006,False,546,False,0,0
4001,1,100,fx_ce006_behemoth_RoarPhaseChange,4001,True,610,False,0,0
4002,2,100,fx_ce006_behemoth_ScratchRight,4002,False,336,False,0,0
4003,3,100,fx_ce006_behemoth_HeadButtCombo1,4003,False,543,False,0,0
4004,4,100,fx_ce006_behemoth_SmashCombo1,4004,False,500,False,0,0
4005,5,100,fx_ce006_behemoth_SmashCombo2,4005,False,680,False,0,0
4006,6,100,fx_ce006_behemoth_ScratchCombo1,4006,False,485,False,0,0
4007,7,100,fx_ce006_behemoth_ScratchCombo2,4007,False,515,False,0,0
4008,8,100,fx_ce006_behemoth_SmashBackfilp,4008,False,356,False,0,0
4009,9,100,fx_ce006_behemoth_JumpAttackHigh,4009,False,485,False,0,0
4010,10,100,fx_ce006_behemoth_ShotSingle,4010,False,230,False,0,0
4011,11,100,fx_ce006_behemoth_ShotMulti,4011,False,473,False,0,0
4012,12,100,fx_ce006_behemoth_Roar1,4012,False,440,False,0,0
4013,13,100,fx_ce006_behemoth_RushTurnSmash,4013,False,200,False,0,0
4014,5,100,fx_ce006_behemoth_SmashCombo2,4014,False,680,False,0,0
4015,12,100,fx_ce006_behemoth_Roar1_phase02,4015,False,440,False,0,0
4107,7,80,fx_ce006_behemoth_ScratchCombo2,4007,False,515,False,0,0
4102,2,100,fx_ce006_behemoth_ScratchRight,4002,False,336,True,10072,40
