id,manager_id,event_story_id,stage_type,stage_order,stage_name_localkey,stage_short_name_localkey,stage_description_localkey,stage_info_image,is_event_story_stage,event_story_stage_locked_alert_message,open_condition_event_story_stage,open_condition_archive_event_story_stage,open_condition_event_story_stage_locale,tower_defense_stage_map_prefab,wave_data_group_id,defense_point,start_gold,max_hero_slot,hero_slot_open_count,stage_clear_condition_type,stage_first_clear_reward,stage_first_clear_upgrade_currency_reward,exit_scenario,stage_select_tutorial_id,open_condition_td_stage,enter_scenario
100101,1001,4005,Scenario,1,Locale_Event:td_fortheking_stage_name_1,Locale_Event:td_fortheking_stage_short_name_1,Locale_Event:td_fortheking_stage_description_1,ibg_td_fortheking_grassland_001,True,Locale_Event:td_event_stage_locked_alert_01,104510105.0,104510105.0,Locale_Event:td_event_stage_condition_alert_01,tdbg_fortheking_grassland_001,1001101,30,100,1,1,BossKill,8130069.0,3.0,event_lastkingdom1_b01_e,10010101.0,,
100102,1001,4005,Normal,2,Locale_Event:td_fortheking_stage_name_1-1,Locale_Event:td_fortheking_stage_short_name_1-1,Locale_Event:td_fortheking_stage_description_1-1,ibg_td_fortheking_grassland_001_01,False,,,,,tdbg_fortheking_grassland_001_01,1001102,20,200,1,1,BossKill,8130070.0,3.0,,,100101.0,
100103,1001,4005,Normal,3,Locale_Event:td_fortheking_stage_name_1-2,Locale_Event:td_fortheking_stage_short_name_1-2,Locale_Event:td_fortheking_stage_description_1-2,ibg_td_fortheking_grassland_001_02,False,,,,,tdbg_fortheking_grassland_001_02,1001103,20,250,2,1,BossKill,8130071.0,3.0,,,100102.0,
100104,1001,4005,Scenario,4,Locale_Event:td_fortheking_stage_name_2,Locale_Event:td_fortheking_stage_short_name_2,Locale_Event:td_fortheking_stage_description_2,ibg_td_fortheking_grassland_002,True,Locale_Event:td_event_stage_locked_alert_02,104510107.0,104510107.0,Locale_Event:td_event_stage_condition_alert_02,tdbg_fortheking_grassland_002,1001104,30,200,2,1,BossKill,8130072.0,3.0,event_lastkingdom1_b02_e,,100101.0,event_lastkingdom1_b02_s
100105,1001,4005,Normal,5,Locale_Event:td_fortheking_stage_name_2-1,Locale_Event:td_fortheking_stage_short_name_2-1,Locale_Event:td_fortheking_stage_description_2-1,ibg_td_fortheking_grassland_002_01,False,,,,,tdbg_fortheking_grassland_002_01,1001105,20,300,2,1,BossKill,8130073.0,3.0,,,100104.0,
100106,1001,4005,Normal,6,Locale_Event:td_fortheking_stage_name_2-2,Locale_Event:td_fortheking_stage_short_name_2-2,Locale_Event:td_fortheking_stage_description_2-2,ibg_td_fortheking_grassland_002_02,False,,,,,tdbg_fortheking_grassland_002_02,1001106,20,350,2,1,BossKill,8130074.0,3.0,,,100105.0,
100107,1001,4005,Scenario,7,Locale_Event:td_fortheking_stage_name_3,Locale_Event:td_fortheking_stage_short_name_3,Locale_Event:td_fortheking_stage_description_3,ibg_td_fortheking_grassland_003,True,Locale_Event:td_event_stage_locked_alert_03,104510114.0,104510114.0,Locale_Event:td_event_stage_condition_alert_03,tdbg_fortheking_grassland_003,1001107,30,250,2,1,BossKill,8130075.0,3.0,event_lastkingdom1_b03_e,,100104.0,event_lastkingdom1_b03_s
100108,1001,4005,Normal,8,Locale_Event:td_fortheking_stage_name_3-1,Locale_Event:td_fortheking_stage_short_name_3-1,Locale_Event:td_fortheking_stage_description_3-1,ibg_td_fortheking_grassland_003_01,False,,,,,tdbg_fortheking_grassland_003_01,1001108,20,400,2,1,BossKill,8130076.0,3.0,,,100107.0,
100109,1001,4005,Normal,9,Locale_Event:td_fortheking_stage_name_3-2,Locale_Event:td_fortheking_stage_short_name_3-2,Locale_Event:td_fortheking_stage_description_3-2,ibg_td_fortheking_grassland_003_02,False,,,,,tdbg_fortheking_grassland_003_02,1001109,20,450,3,1,BossKill,8130077.0,3.0,,,100108.0,
100110,1001,4005,Scenario,10,Locale_Event:td_fortheking_stage_name_4,Locale_Event:td_fortheking_stage_short_name_4,Locale_Event:td_fortheking_stage_description_4,ibg_td_fortheking_grassland_004,True,Locale_Event:td_event_stage_locked_alert_04,104610101.0,104610101.0,Locale_Event:td_event_stage_condition_alert_04,tdbg_fortheking_grassland_004,1001110,30,500,3,1,BossKill,8130078.0,3.0,event_lastkingdom2_b01_e,,100107.0,event_lastkingdom2_b01_s
