id,TutorialViewId,group_Id,guide_resource_Id,guide_Title_localkey,guide_description_localkey,guide_SubTitle_localkey
1,42001,1,ele_redash_NKS_scene_tutorial_01,Locale_Event:Event_NKSminigame_System_Tutorial_Summary_01,,
2,42001,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_Summary_02,
3,42001,1,,,,Locale_Event:Event_NKSminigame_System_Tutorial_Summary_03
4,42001,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_Summary_04,
5,42001,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_Summary_05,
6,42001,1,,,,Locale_Event:Event_NKSminigame_System_Tutorial_Summary_06
7,42001,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_Summary_07,
8,42001,2,ele_redash_NKS_scene_tutorial_02,Locale_Event:Event_NKSminigame_System_Tutorial_LevelUp_01,,
9,42001,2,,,Locale_Event:Event_NKSminigame_System_Tutorial_LevelUp_02,
10,42001,2,,,Locale_Event:Event_NKSminigame_System_Tutorial_LevelUp_03,
11,42001,2,,,Locale_Event:Event_NKSminigame_System_Tutorial_LevelUp_04,
12,42001,3,ele_redash_NKS_scene_tutorial_03,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_01,,
13,42001,3,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_02,
14,42001,3,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_03
15,42001,3,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_04,
16,42001,3,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_05,
17,42001,3,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_06
18,42001,3,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_07,
19,42001,3,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_08
20,42001,3,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_09,
21,42001,3,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_10
22,42001,3,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_11,
23,42001,3,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_12
24,42001,3,,,Locale_Event:Event_NKSminigame_System_Tutorial_SpecialItem_13,
25,42001,4,ele_redash_NKS_scene_tutorial_04,Locale_Event:Event_NKSminigame_System_Tutorial_Burst_01,,
26,42001,4,,,Locale_Event:Event_NKSminigame_System_Tutorial_Burst_02,
27,42001,4,,,Locale_Event:Event_NKSminigame_System_Tutorial_Burst_03,
28,42001,4,,,,Locale_Event:Event_NKSminigame_System_Tutorial_Burst_04
29,42001,4,,,Locale_Event:Event_NKSminigame_System_Tutorial_Burst_05,
30,42001,4,,,,Locale_Event:Event_NKSminigame_System_Tutorial_Burst_06
31,42001,4,,,Locale_Event:Event_NKSminigame_System_Tutorial_Burst_07,
32,42001,5,ele_redash_NKS_scene_tutorial_05,Locale_Event:Event_NKSminigame_System_Tutorial_CharaUnlock_01,,
33,42001,5,,,Locale_Event:Event_NKSminigame_System_Tutorial_CharaUnlock_02,
34,42001,5,,,,Locale_Event:Event_NKSminigame_System_Tutorial_CharaUnlock_03
35,42001,5,,,Locale_Event:Event_NKSminigame_System_Tutorial_CharaUnlock_04,
36,42001,5,,,Locale_Event:Event_NKSminigame_System_Tutorial_CharaUnlock_05,
37,42001,5,,,Locale_Event:Event_NKSminigame_System_Tutorial_CharaUnlock_06,
38,42001,6,ele_redash_NKS_scene_tutorial_06,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_01,,
39,42001,6,,,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_02,
40,42001,6,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_03
41,42001,6,,,Locale_Event:Event_NKSminigame_System_Tutorial_SkillTree_04,
42,42001,7,,Locale_Event:Event_NKSminigame_System_Tutorial_Mission_01,,
43,42001,7,,,Locale_Event:Event_NKSminigame_System_Tutorial_Mission_02,
44,42001,7,,,,Locale_Event:Event_NKSminigame_System_Tutorial_Mission_06
45,42001,7,,,Locale_Event:Event_NKSminigame_System_Tutorial_Mission_07,
46,42001,8,ele_redash_NKS_scene_tutorial_09,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_01,,
47,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_02,
48,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_03,
49,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_04,
50,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_05,
51,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_06,
52,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_07,
53,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_08,
54,42001,8,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_10
55,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_11,
56,42001,8,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_13
57,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_14,
58,42001,8,,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_08_b
59,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_08_c,
60,42001,8,,,Locale_Event:Event_NKSminigame_System_Tutorial_SaveAndLoad_08_d,
61,42001,9,ele_redash_NKS_scene_tutorial_10,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_01,,
62,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_02,
63,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_03,
64,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_04,
65,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_05,
66,42001,9,,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_06
67,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_07,
68,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_08,
69,42001,9,,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_09
70,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_10,
71,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_11,
72,42001,9,,,Locale_Event:Event_NKSminigame_System_Tutorial_UnionRank_02_archive,
73,42002,1,ele_redash_NKS_scene_tutorial_10,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_01,,
74,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_02,
75,42002,1,,,Locale_Event:Event_NKSminigame_System_Tutorial_StageSelect_03,
