id,name_localkey,monster_prefab,attack,hp,skill_group,dead_effect
101,Locale_Event:ce004_stage_monster_name_mma001,ce004_mma001,80,600,101,fx_minigame_ce004_m_dead_s
102,Locale_Event:ce004_stage_monster_name_mmg005,ce004_mmg005,80,700,102,fx_minigame_ce004_m_dead_s
103,Locale_Event:ce004_stage_monster_name_bma002,ce004_bma002,80,800,103,fx_minigame_ce004_m_dead_s
104,Locale_Event:ce004_stage_monster_name_mma001,ce004_mma001,80,900,104,fx_minigame_ce004_m_dead_s
105,Locale_Event:ce004_stage_monster_name_mmg005,ce004_mmg005,80,950,105,fx_minigame_ce004_m_dead_s
106,Locale_Event:ce004_stage_monster_name_bma002,ce004_bma002,80,1000,106,fx_minigame_ce004_m_dead_s
107,Locale_Event:ce004_stage_monster_name_bca001,ce004_bca001,90,1200,107,fx_minigame_ce004_m_dead_h
201,Locale_Event:ce004_stage_monster_name_meg006,ce004_meg006,100,2100,201,fx_minigame_ce004_m_dead_m
202,Locale_Event:ce004_stage_monster_name_eea002,ce004_eea002,100,2100,202,fx_minigame_ce004_m_dead_m
203,Locale_Event:ce004_stage_monster_name_bea001,ce004_bea001,100,2300,203,fx_minigame_ce004_m_dead_m
204,Locale_Event:ce004_stage_monster_name_meg006,ce004_meg006,100,2300,204,fx_minigame_ce004_m_dead_m
205,Locale_Event:ce004_stage_monster_name_eea002,ce004_eea002,100,2500,205,fx_minigame_ce004_m_dead_m
206,Locale_Event:ce004_stage_monster_name_bea001,ce004_bea001,100,2550,206,fx_minigame_ce004_m_dead_m
207,Locale_Event:ce004_stage_monster_name_mca001,ce004_mca001,110,2800,207,fx_minigame_ce004_m_dead_h
301,Locale_Event:ce004_stage_monster_name_mcg002,ce004_mcg002,110,4000,301,fx_minigame_ce004_m_dead_h
302,Locale_Event:ce004_stage_monster_name_bcg001,ce004_bcg001,130,4000,302,fx_minigame_ce004_m_dead_h
303,Locale_Event:ce004_stage_monster_name_ecg001,ce004_ecg001,150,4000,303,fx_minigame_ce004_m_dead_h
304,Locale_Event:ce004_stage_monster_name_mcg002,ce004_mcg002,170,4000,304,fx_minigame_ce004_m_dead_h
305,Locale_Event:ce004_stage_monster_name_bcg001,ce004_bcg001,190,4000,305,fx_minigame_ce004_m_dead_h
306,Locale_Event:ce004_stage_monster_name_ecg001,ce004_ecg001,220,4000,306,fx_minigame_ce004_m_dead_h
307,Locale_Event:ce004_stage_monster_name_eca001,ce004_eca001,260,4600,307,fx_minigame_ce004_m_dead_h
401,Locale_Event:ce004_stage_monster_name_mmg005,ce004_mmg005,300,400,401,fx_minigame_ce004_m_dead_s
402,Locale_Event:ce004_stage_monster_name_bea001,ce004_bea001,300,400,402,fx_minigame_ce004_m_dead_m
403,Locale_Event:ce004_stage_monster_name_mcg002,ce004_mcg002,300,400,403,fx_minigame_ce004_m_dead_m
404,Locale_Event:ce004_stage_monster_name_bcg001,ce004_bcg001,300,400,404,fx_minigame_ce004_m_dead_h
405,Locale_Event:ce004_stage_monster_name_ecg001,ce004_ecg001,300,400,405,fx_minigame_ce004_m_dead_h
406,Locale_Event:ce004_stage_monster_name_bca001,ce004_bca001,300,400,406,fx_minigame_ce004_m_dead_h
407,Locale_Event:ce004_stage_monster_name_mca001,ce004_mca001,300,400,407,fx_minigame_ce004_m_dead_h
408,Locale_Event:ce004_stage_monster_name_eca001,ce004_eca001,300,400,408,fx_minigame_ce004_m_dead_h
1101,Locale_Event:ce004_stage_monster_name_mma001,ce004_mma001,80,400,101,fx_minigame_ce004_m_dead_s
1102,Locale_Event:ce004_stage_monster_name_mmg005,ce004_mmg005,80,600,102,fx_minigame_ce004_m_dead_s
1107,Locale_Event:ce004_stage_monster_name_bca001,ce004_bca001,90,800,107,fx_minigame_ce004_m_dead_h
1201,Locale_Event:ce004_stage_monster_name_meg006,ce004_meg006,100,1300,201,fx_minigame_ce004_m_dead_m
1202,Locale_Event:ce004_stage_monster_name_eea002,ce004_eea002,100,1400,202,fx_minigame_ce004_m_dead_m
1203,Locale_Event:ce004_stage_monster_name_bea001,ce004_bea001,100,1600,203,fx_minigame_ce004_m_dead_m
1204,Locale_Event:ce004_stage_monster_name_meg006,ce004_meg006,100,2000,204,fx_minigame_ce004_m_dead_m
1205,Locale_Event:ce004_stage_monster_name_eea002,ce004_eea002,100,2100,205,fx_minigame_ce004_m_dead_m
1206,Locale_Event:ce004_stage_monster_name_bea001,ce004_bea001,100,2100,206,fx_minigame_ce004_m_dead_m
1207,Locale_Event:ce004_stage_monster_name_mca001,ce004_mca001,110,2300,207,fx_minigame_ce004_m_dead_h
1301,Locale_Event:ce004_stage_monster_name_mcg002,ce004_mcg002,110,3500,301,fx_minigame_ce004_m_dead_h
1302,Locale_Event:ce004_stage_monster_name_bcg001,ce004_bcg001,130,3600,302,fx_minigame_ce004_m_dead_h
1303,Locale_Event:ce004_stage_monster_name_ecg001,ce004_ecg001,150,3800,303,fx_minigame_ce004_m_dead_h
1304,Locale_Event:ce004_stage_monster_name_mcg002,ce004_mcg002,170,3900,304,fx_minigame_ce004_m_dead_h
1305,Locale_Event:ce004_stage_monster_name_bcg001,ce004_bcg001,190,4000,305,fx_minigame_ce004_m_dead_h
1306,Locale_Event:ce004_stage_monster_name_ecg001,ce004_ecg001,220,4000,306,fx_minigame_ce004_m_dead_h
1307,Locale_Event:ce004_stage_monster_name_eca001,ce004_eca001,260,4200,307,fx_minigame_ce004_m_dead_h
1401,Locale_Event:ce004_stage_monster_name_mmg005,ce004_mmg005,300,400,401,fx_minigame_ce004_m_dead_s
1402,Locale_Event:ce004_stage_monster_name_bea001,ce004_bea001,300,400,402,fx_minigame_ce004_m_dead_m
1403,Locale_Event:ce004_stage_monster_name_mcg002,ce004_mcg002,300,400,403,fx_minigame_ce004_m_dead_m
1404,Locale_Event:ce004_stage_monster_name_bcg001,ce004_bcg001,300,400,404,fx_minigame_ce004_m_dead_h
1405,Locale_Event:ce004_stage_monster_name_ecg001,ce004_ecg001,300,400,405,fx_minigame_ce004_m_dead_h
1406,Locale_Event:ce004_stage_monster_name_bca001,ce004_bca001,300,400,406,fx_minigame_ce004_m_dead_h
1407,Locale_Event:ce004_stage_monster_name_mca001,ce004_mca001,300,400,407,fx_minigame_ce004_m_dead_h
1408,Locale_Event:ce004_stage_monster_name_eca001,ce004_eca001,300,400,408,fx_minigame_ce004_m_dead_h
