id,mission_type,condition_type,condition_value,name_localkey,order,reward_id
10001,TotalGet,StackPoint,3000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10001,8127048
10002,TotalGet,StackPoint,5000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10002,8127049
10003,TotalGet,StackPoint,7000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10003,8127050
10004,TotalGet,StackPoint,9000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10004,8127051
10005,TotalGet,StackPoint,11000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10005,8127052
10006,TotalGet,StackPoint,14000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10006,8127053
10007,TotalGet,StackPoint,17000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10007,8127054
10008,TotalGet,StackPoint,20000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10008,8127055
10009,TotalGet,StackPoint,23000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10009,8127056
10010,TotalGet,StackPoint,27000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10010,8127057
10011,TotalGet,StackPoint,31000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10011,8127058
10012,TotalGet,StackPoint,35000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10012,8127059
10013,TotalGet,StackPoint,40000,Locale_Event:CE003_MINI_GAME_STACKPOINT_DESC,10013,8127060
20001,Achievement,RenewRecord,1000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,20001,8127063
20002,Achievement,RenewRecord,2000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,20002,8127064
20003,Achievement,RenewRecord,3000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,20003,8127065
20004,Achievement,RenewRecord,4000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,20004,8127066
20005,Achievement,RenewRecord,5000,Locale_Event:CE003_MINI_GAME_RENEWRECORD_DESC,20005,8127067
