id,group,hint_count,ce004_seed_skill_type_group_data/0/skill_type,ce004_seed_skill_type_group_data/1/skill_type,ce004_seed_skill_type_group_data/2/skill_type
101001,101,1,Core,None,None
101002,101,1,Projectile,None,None
101003,101,1,Core,None,None
101004,101,1,Core,None,None
101005,101,1,Projectile,None,None
101006,101,1,Core,None,None
101007,101,1,Projectile,None,None
101008,101,1,Core,None,None
101009,101,1,Core,None,None
101010,101,1,Projectile,None,None
102001,102,1,Projectile,None,None
102002,102,1,Core,None,None
102003,102,1,Core,None,None
102004,102,1,Projectile,None,None
102005,102,1,Core,None,None
102006,102,1,Core,None,None
102007,102,1,Projectile,None,None
102008,102,1,Core,None,None
102009,102,1,Core,None,None
102010,102,1,Projectile,None,None
103001,103,1,Core,None,None
103002,103,1,Core,None,None
103003,103,1,Projectile,None,None
103004,103,1,Core,None,None
103005,103,1,Projectile,None,None
103006,103,1,Core,None,None
103007,103,1,Core,None,None
103008,103,1,Projectile,None,None
103009,103,1,Core,None,None
103010,103,1,Projectile,None,None
104001,104,1,Projectile,None,None
104002,104,1,Core,None,None
104003,104,1,Projectile,None,None
104004,104,1,Core,None,None
104005,104,1,Core,None,None
104006,104,1,Projectile,None,None
104007,104,1,Core,None,None
104008,104,1,Projectile,None,None
104009,104,1,Core,None,None
104010,104,1,Core,None,None
201001,201,1,LeftDestruction,None,None
201002,201,1,RightDestruction,None,None
201003,201,1,Core,Projectile,None
201004,201,1,RightDestruction,None,None
201005,201,1,LeftDestruction,None,None
201006,201,1,Projectile,None,None
201007,201,2,LeftDestruction,Core,None
201008,201,2,RightDestruction,Core,None
201009,201,2,LeftDestruction,Projectile,None
201010,201,2,RightDestruction,Projectile,None
201011,201,1,Core,None,None
201012,201,1,Core,None,None
201013,201,1,Projectile,None,None
201014,201,1,Projectile,None,None
201015,201,2,Core,LeftDestruction,None
201016,201,2,Core,RightDestruction,None
201017,201,2,Projectile,LeftDestruction,None
201018,201,2,Projectile,RightDestruction,None
201019,201,2,LeftDestruction,RightDestruction,None
201020,201,2,RightDestruction,LeftDestruction,None
201021,201,2,Projectile,None,None
201022,201,2,Projectile,Core,None
202001,202,1,LeftDestruction,None,None
202002,202,1,RightDestruction,None,None
202003,202,1,Core,None,None
202004,202,1,Projectile,None,None
202005,202,2,LeftDestruction,Projectile,None
202006,202,2,LeftDestruction,Core,None
202007,202,2,RightDestruction,Projectile,None
202008,202,2,RightDestruction,Core,None
202009,202,1,Projectile,None,None
202010,202,1,LeftDestruction,None,None
202011,202,1,RightDestruction,None,None
202012,202,2,Projectile,LeftDestruction,None
202013,202,2,Core,LeftDestruction,None
202014,202,2,Core,Projectile,None
202015,202,2,Projectile,RightDestruction,None
202016,202,2,Core,RightDestruction,None
202017,202,1,Projectile,None,None
202018,202,2,LeftDestruction,RightDestruction,None
202019,202,1,Core,None,None
202020,202,1,Projectile,None,None
202021,202,2,RightDestruction,LeftDestruction,None
202022,202,2,Projectile,Core,None
213001,213,1,Core,None,None
213002,213,1,Core,None,None
213003,213,1,LeftDestruction,None,None
213004,213,1,LeftDestruction,None,None
213005,213,1,RightDestruction,None,None
213006,213,1,RightDestruction,None,None
213007,213,1,Projectile,None,None
213008,213,1,Projectile,None,None
213009,213,1,Projectile,None,None
213010,213,1,Projectile,None,None
213011,213,2,Core,LeftDestruction,None
213012,213,2,Core,RightDestruction,None
213013,213,2,Core,Projectile,None
213014,213,2,LeftDestruction,Core,None
213015,213,2,LeftDestruction,RightDestruction,None
213016,213,2,LeftDestruction,Projectile,None
213017,213,2,RightDestruction,Core,None
213018,213,2,RightDestruction,LeftDestruction,None
213019,213,2,RightDestruction,Projectile,None
213020,213,2,Projectile,Core,None
213021,213,2,Projectile,RightDestruction,None
213022,213,2,Projectile,LeftDestruction,None
301001,301,2,LeftCancelling,Core,None
301002,301,2,LeftCancelling,RightDestruction,None
301003,301,3,LeftCancelling,Core,RightDestruction
301004,301,2,RightCancelling,Core,None
301005,301,2,RightCancelling,LeftDestruction,None
301006,301,3,RightCancelling,Core,LeftDestruction
301007,301,2,Core,LeftDestruction,None
301008,301,2,Core,RightDestruction,None
301009,301,3,Core,LeftDestruction,RightDestruction
301010,301,2,Projectile,LeftDestruction,None
301011,301,2,Projectile,RightDestruction,None
301012,301,3,Projectile,RightCancelling,LeftDestruction
301013,301,2,LeftDestruction,Core,None
301014,301,2,LeftDestruction,RightDestruction,None
301015,301,3,LeftDestruction,LeftCancelling,Projectile
301016,301,2,RightDestruction,Core,None
301017,301,2,RightDestruction,LeftDestruction,None
301018,301,3,RightDestruction,RightCancelling,Projectile
301019,301,2,LeftCancelling,LeftDestruction,None
301020,301,2,RightCancelling,RightDestruction,None
301021,301,3,LeftCancelling,Projectile,RightDestruction
301022,301,3,RightCancelling,Projectile,LeftDestruction
