id,resource_id,mon_prefab,class,grade,size,dissolve_type,attribute,move_type,category_type_1,category_type_2,category_type_3
112001,42,btg001,Supporter,Thrash,Small,Small,Bio,Walk,Supporter,None,None
112008,173,bbg008_hsta_summon,Defender,Elite,Big,Big,Bio,Fly,Air_Defender,None,None
111001,55,bta001,Attacker,Thrash,Small,Small,Bio,Fly,Air_Attacker,None,None
111003,175,bca003_summon,Attacker,Thrash,Small,Small,Bio,Fly,Air_Attacker,None,None
121001,21,bma001,Attacker,Minion,Small,Small,Bio,Fly,Air_Attacker,None,None
121002,52,bma002,Supporter,Minion,Small,Small,Bio,Fly,Air_Supporter,None,None
121003,65,bma003,Attacker,Minion,Small,Small,Bio,Fly,Air_Attacker,None,None
121004,102,bma004,Defender,Minion,Small,Small,Bio,Fly,Air_Defender,None,None
121005,162,bma005,Supporter,Minion,Small,Small,Bio,Fly,Air_Supporter,None,None
121006,176,bma006,Supporter,Minion,Small,Small,Bio,Fly,Air_Supporter,None,None
122001,16,bmg001,Supporter,Minion,Small,Small,Bio,Walk,Supporter,None,None
122002,66,bmg002,Supporter,Minion,Small,Small,Bio,Walk,Supporter,None,None
122003,67,bmg003,Supporter,Minion,Small,Small,Bio,Walk,Supporter,None,None
122004,68,bmg004,Supporter,Minion,Small,Small,Bio,Walk,Supporter,None,None
122006,108,bmg006,Attacker,Minion,Small,Small,Bio,Walk,Attacker,None,None
131001,22,bea001,Attacker,Elite,Medium,Medium,Bio,Fly,Air_Attacker,None,None
131002,23,bea002,Attacker,Elite,Medium,Medium,Bio,Fly,Air_Attacker,None,None
131003,47,bea003,Supporter,Elite,Medium,Medium,Bio,Fly,Air_Supporter,None,None
131004,103,bea004,Supporter,Elite,Medium,Medium,Bio,Fly,Air_Supporter,None,None
132001,74,beg001,Attacker,Elite,Medium,Medium,Bio,Walk,Attacker,None,None
132002,17,beg002,Defender,Elite,Medium,Medium,Bio,Walk,Defender,None,None
132003,56,beg003,Defender,Elite,Medium,Medium,Bio,Walk,Defender,None,None
132004,40,beg004,Attacker,Elite,Medium,Medium,Bio,Walk,Attacker,None,None
122005,46,beg005,Attacker,Minion,Small,Small,Bio,Walk,Attacker,None,None
132006,75,beg006,Supporter,Elite,Medium,Medium,Bio,Walk,Supporter,None,None
141001,93,bca001,Supporter,Centurion,Big,Big,Bio,Fly,Air_Supporter,None,None
141002,88,bca002,Supporter,Centurion,Big,Big,Bio,Fly,Air_Supporter,None,None
141003,174,bca003,Attacker,Centurion,Big,Big,Bio,Fly,Air_Attacker,None,None
142001,57,bcg001,Attacker,Centurion,Big,Big,Bio,Walk,Attacker,None,None
142101,127,bcg001_re,Attacker,Centurion,Big,Big,Bio,Walk,Attacker,None,None
142002,41,bcg002,Defender,Centurion,Big,Big,Bio,Walk,Defender,None,None
142003,94,bcg003,Supporter,Centurion,Big,Big,Bio,Walk,Supporter,None,None
142103,121,bcg003_re,Supporter,Centurion,Big,Big,Bio,Walk,Supporter,None,None
142004,95,bcg004,Attacker,Centurion,Big,Big,Bio,Walk,Attacker,None,None
142005,96,bcg005,Supporter,Centurion,Big,Big,Bio,Walk,Supporter,None,None
142006,181,bcg006,Defender,Centurion,Big,Big,Bio,Fly,Air_Defender,None,None
152001,37,bbg001,Attacker,Boss,Huge,Huge,Bio,Walk,Attacker,None,None
152011,157,bbg001_hsta_intercept,Defender,Boss,Huge,Huge,Bio,Walk,Defender,None,None
152002,63,bbg002,Supporter,Boss,Huge,Huge,Bio,Walk,Supporter,None,None
152003,62,bbg003,Supporter,Boss,Huge,Huge,Bio,Walk,Supporter,None,None
152013,135,bbg003_ce002,Supporter,Boss,Huge,Huge,Bio,Walk,Supporter,None,None
152073,168,bbg003_hsta_tutorial,Supporter,Boss,Huge,Huge,Bio,Walk,Supporter,None,None
151001,115,bba001,Supporter,Boss,Huge,Huge,Bio,Fly,Air_Supporter,None,None
151002,143,bba001_simulation,Supporter,Centurion,Huge,Huge,Bio,Fly,Air_Supporter,None,None
151003,185,bba001_zeus,Supporter,Boss,Huge,Huge,Bio,Fly,Air_Supporter,None,None
