id,name_localkey,description_localkey,resource_id,mon_prefab,attribute,field_monster_scale,is_boss,field_sight_range,field_move_velocity,field_skill_id/0,spot_json_path,fighting_power
12100101,Locale_Monster:12100101_name,Locale_Monster:12100101_description,21,bma001,Bio,1.0,False,700,250,130004,wv_101_01_m0001,4000
12100201,Locale_Monster:12100201_name,Locale_Monster:12100201_description,52,bma002,Bio,1.1,False,700,150,130004,wv_102_01_m0033,4000
12200101,Locale_Monster:12200101_name,Locale_Monster:12200101_description,16,bmg001,Bio,0.9,False,700,250,130004,wv_101_01_m0001,4000
13100101,Locale_Monster:13100101_name,Locale_Monster:13100101_description,22,bea001,Bio,1.55,False,700,250,130004,wv_101_01_m0001,4000
13100201,Locale_Monster:13100201_name,Locale_Monster:13100201_description,23,bea002,Bio,1.0,False,700,250,130004,wv_101_01_m0001,4000
13200201,Locale_Monster:13200201_name,Locale_Monster:13200201_description,17,beg002,Bio,1.0,False,700,250,130004,wv_101_01_m0001,4000
13200301,Locale_Monster:13200301_name,Locale_Monster:13200301_description,56,beg003,Bio,1.4,False,700,250,130004,wv_101_01_m0001,4000
13200401,Locale_Monster:13200401_name,Locale_Monster:13200401_description,20,beg004,Bio,1.0,False,700,250,130004,wv_101_01_m0001,4000
14200101,Locale_Monster:14200101_name,Locale_Monster:14200101_description,57,bcg001,Bio,1.0,False,700,250,130004,wv_101_01_m0001,4000
22100201,Locale_Monster:22100201_name,Locale_Monster:22100201_description,48,ema002,Energy,1.1,False,700,150,130004,wv_102_01_m0033,4000
22200301,Locale_Monster:22200301_name,Locale_Monster:22200301_description,53,emg003,Energy,0.9,False,700,150,130004,wv_102_01_m0033,4000
23100201,Locale_Monster:23100201_name,Locale_Monster:23100201_description,51,eea002,Energy,1.0,False,700,150,130004,wv_102_01_m0033,4000
23200301,Locale_Monster:23200301_name,Locale_Monster:23200301_description,50,eeg003,Energy,1.2,False,700,150,130004,wv_102_01_m0033,4000
24200101,Locale_Monster:24200101_name,Locale_Monster:24200101_description,58,ecg001,Energy,1.0,False,700,150,130004,wv_102_01_m0033,4000
25200101,Locale_Monster:25200101_name,Locale_Monster:25200101_description,38,ebg001,Energy,1.0,True,700,150,130001,wv_102_01_m0033,4000
32100201,Locale_Monster:32100201_name,Locale_Monster:32100201_description,6,mma002,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
32100301,Locale_Monster:32100301_name,Locale_Monster:32100301_description,5,mma003,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
32200101,Locale_Monster:32200101_name,Locale_Monster:32200101_description,10,mmg001,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
32200201,Locale_Monster:32200201_name,Locale_Monster:32200201_description,8,mmg002,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
32200301,Locale_Monster:32200301_name,Locale_Monster:32200301_description,14,mmg003,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
32200401,Locale_Monster:32200401_name,Locale_Monster:32200401_description,4,mma001,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
32200501,Locale_Monster:32200501_name,Locale_Monster:32200501_description,2,mmg005,Metal,0.9,False,700,400,130004,wv_101_01_m0001,4000
32200601,Locale_Monster:32200601_name,Locale_Monster:32200601_description,7,mmg006,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
32200701,Locale_Monster:32200701_name,Locale_Monster:32200701_description,3,meg002,Metal,1.0,False,700,250,130004,wv_101_01_m0001,4000
33100101,Locale_Monster:33100101_name,Locale_Monster:33100101_description,36,mea001,Metal,1.0,False,700,150,130001,wv_102_01_m0033,4000
33200601,Locale_Monster:33200601_name,Locale_Monster:33200601_description,60,meg006,Metal,1.1,False,700,150,130001,wv_102_01_m0033,4000
34100101,Locale_Monster:34100101_name,Locale_Monster:34100101_description,13,mca001,Metal,1.0,False,700,50,130001,wv_101_03_m0013,4000
34200101,Locale_Monster:34200101_name,Locale_Monster:34200101_description,1,mcg001,Metal,1.0,True,700,50,130001,wv_101_01_m0001,4000
34200201,Locale_Monster:34200201_name,Locale_Monster:34200201_description,9,mcg002,Metal,1.0,True,700,50,130001,wv_101_02_m0009,4000
34200301,Locale_Monster:34200301_name,Locale_Monster:34200301_description,24,mcg003,Metal,1.0,True,700,50,130001,wv_102_04_m0024,4000
34200401,Locale_Monster:34200401_name,Locale_Monster:34200401_description,33,mcg004,Metal,1.0,True,700,150,130001,wv_102_01_m0033,4000
