id,manager_id,field_item_id,name_localkey,description_localkey,icon_resource,order,collect_rank,play_anim_1,play_anim_1_ratio,cam_blend_time,cam_end_delay,collect_spawn_hint
82100101,82100,55020401,Locale_Event:field_collect_can_sb_name_01,Locale_Event:field_collect_can_sb_description_01,icn_sb_can_01,1,1,1,100,75,0,Locale_Event:field_collect_can_sb_hint_01
82100102,82100,55020402,Locale_Event:field_collect_can_sb_name_02,Locale_Event:field_collect_can_sb_description_02,icn_sb_can_02,2,1,2,100,75,0,Locale_Event:field_collect_can_sb_hint_02
82100103,82100,55020403,Locale_Event:field_collect_can_sb_name_03,Locale_Event:field_collect_can_sb_description_03,icn_sb_can_03,3,1,1,100,75,0,Locale_Event:field_collect_can_sb_hint_03
82100104,82100,55020404,Locale_Event:field_collect_can_sb_name_04,Locale_Event:field_collect_can_sb_description_04,icn_sb_can_04,4,1,2,100,75,0,Locale_Event:field_collect_can_sb_hint_04
82100105,82100,55020405,Locale_Event:field_collect_can_sb_name_05,Locale_Event:field_collect_can_sb_description_05,icn_sb_can_05,5,1,3,100,75,0,Locale_Event:field_collect_can_sb_hint_05
82100106,82100,55020406,Locale_Event:field_collect_can_sb_name_06,Locale_Event:field_collect_can_sb_description_06,icn_sb_can_06,6,1,1,100,75,0,Locale_Event:field_collect_can_sb_hint_06
82100107,82100,55020407,Locale_Event:field_collect_can_sb_name_07,Locale_Event:field_collect_can_sb_description_07,icn_sb_can_07,7,1,2,100,75,0,Locale_Event:field_collect_can_sb_hint_07
82100108,82100,55020408,Locale_Event:field_collect_can_sb_name_08,Locale_Event:field_collect_can_sb_description_08,icn_sb_can_08,8,1,1,100,75,0,Locale_Event:field_collect_can_sb_hint_08
82100109,82100,55020409,Locale_Event:field_collect_can_sb_name_09,Locale_Event:field_collect_can_sb_description_09,icn_sb_can_09,9,1,3,100,75,0,Locale_Event:field_collect_can_sb_hint_09
82100110,82100,55020410,Locale_Event:field_collect_can_sb_name_10,Locale_Event:field_collect_can_sb_description_10,icn_sb_can_10,10,1,2,100,75,0,Locale_Event:field_collect_can_sb_hint_10
82100111,82100,55020411,Locale_Event:field_collect_can_sb_name_11,Locale_Event:field_collect_can_sb_description_11,icn_sb_can_11,11,2,1,100,75,0,Locale_Event:field_collect_can_sb_hint_11
82100112,82100,55020412,Locale_Event:field_collect_can_sb_name_12,Locale_Event:field_collect_can_sb_description_12,icn_sb_can_12,12,2,1,100,75,0,Locale_Event:field_collect_can_sb_hint_12
82100113,82100,55020413,Locale_Event:field_collect_can_sb_name_13,Locale_Event:field_collect_can_sb_description_13,icn_sb_can_13,13,2,2,100,75,0,Locale_Event:field_collect_can_sb_hint_13
82100114,82100,55020414,Locale_Event:field_collect_can_sb_name_14,Locale_Event:field_collect_can_sb_description_14,icn_sb_can_14,14,2,4,100,75,0,Locale_Event:field_collect_can_sb_hint_14
82100115,82100,55020415,Locale_Event:field_collect_can_sb_name_15,Locale_Event:field_collect_can_sb_description_15,icn_sb_can_15,15,2,1,100,75,0,Locale_Event:field_collect_can_sb_hint_15
82100116,82100,55020416,Locale_Event:field_collect_can_sb_name_16,Locale_Event:field_collect_can_sb_description_16,icn_sb_can_16,16,2,4,100,75,0,Locale_Event:field_collect_can_sb_hint_16
82100117,82100,55020417,Locale_Event:field_collect_can_sb_name_17,Locale_Event:field_collect_can_sb_description_17,icn_sb_can_17,17,2,2,100,75,0,Locale_Event:field_collect_can_sb_hint_17
82100118,82100,55020418,Locale_Event:field_collect_can_sb_name_18,Locale_Event:field_collect_can_sb_description_18,icn_sb_can_18,18,3,3,100,75,0,Locale_Event:field_collect_can_sb_hint_18
82100119,82100,55020419,Locale_Event:field_collect_can_sb_name_19,Locale_Event:field_collect_can_sb_description_19,icn_sb_can_19,19,3,1,100,75,0,Locale_Event:field_collect_can_sb_hint_19
82100120,82100,55020420,Locale_Event:field_collect_can_sb_name_20,Locale_Event:field_collect_can_sb_description_20,icn_sb_can_20,20,3,4,100,75,0,Locale_Event:field_collect_can_sb_hint_20
