id,category,iconResource,order,module_name,module_desc,module_desc_short,module_use_value,skill_id
1001,stat,icn_mvg_module_shield_gauge_up,101,Locale_Event:EventMVG_module_name_1001,Locale_Event:EventMVG_module_desc_1001,Locale_Event:EventMVG_module_desc_short_1001,2,700506
1002,stat,icn_mvg_module_shield_perfect_up,102,Locale_Event:EventMVG_module_name_1002,Locale_Event:EventMVG_module_desc_1002,Locale_Event:EventMVG_module_desc_short_1002,6,700503
1003,stat,icn_mvg_module_shield_recover_up,103,Locale_Event:EventMVG_module_name_1003,Locale_Event:EventMVG_module_desc_1003,Locale_Event:EventMVG_module_desc_short_1003,2,700501
1004,stat,icn_mvg_module_health_rcover_up,104,Locale_Event:EventMVG_module_name_1004,Locale_Event:EventMVG_module_desc_1004,Locale_Event:EventMVG_module_desc_short_1004,1,700505
1005,stat,icn_mvg_module_grace_period_up,105,Locale_Event:EventMVG_module_name_1005,Locale_Event:EventMVG_module_desc_1005,Locale_Event:EventMVG_module_desc_short_1005,3,700401
1006,stat,icn_mvg_module_get_currency_up,106,Locale_Event:EventMVG_module_name_1006,Locale_Event:EventMVG_module_desc_1006,Locale_Event:EventMVG_module_desc_short_1006,1,700601
1007,stat,icn_mvg_module_dash_grace_period_up,107,Locale_Event:EventMVG_module_name_1007,Locale_Event:EventMVG_module_desc_1007,Locale_Event:EventMVG_module_desc_short_1007,6,700107
1008,stat,icn_mvg_module_dash_cool_time_down,108,Locale_Event:EventMVG_module_name_1008,Locale_Event:EventMVG_module_desc_1008,Locale_Event:EventMVG_module_desc_short_1008,2,700105
2001,skillA,icn_mvg_module_skill_a_speed_up,109,Locale_Event:EventMVG_module_name_2001,Locale_Event:EventMVG_module_desc_2001,Locale_Event:EventMVG_module_desc_short_2001,3,1011
2002,skillA,icn_mvg_module_skill_a_dmg_up,110,Locale_Event:EventMVG_module_name_2002,Locale_Event:EventMVG_module_desc_2002,Locale_Event:EventMVG_module_desc_short_2002,2,1013
3001,skillB,icn_mvg_module_skill_a_cool_time_down,111,Locale_Event:EventMVG_module_name_3001,Locale_Event:EventMVG_module_desc_3001,Locale_Event:EventMVG_module_desc_short_3001,2,2015
3002,skillB,icn_mvg_module_skill_b_dmg_up,112,Locale_Event:EventMVG_module_name_3002,Locale_Event:EventMVG_module_desc_3002,Locale_Event:EventMVG_module_desc_short_3002,2,2013
3003,skillB,icn_mvg_module_skill_b_hit_cool_time_down,113,Locale_Event:EventMVG_module_name_3003,Locale_Event:EventMVG_module_desc_3003,Locale_Event:EventMVG_module_desc_short_3003,3,2014
3005,skillB,icn_mvg_module_skill_b_penetrate_once,115,Locale_Event:EventMVG_module_name_3005,Locale_Event:EventMVG_module_desc_3005,Locale_Event:EventMVG_module_desc_short_3005,5,2011
3006,skillB,icn_mvg_module_skill_b_speed_up,116,Locale_Event:EventMVG_module_name_3006,Locale_Event:EventMVG_module_desc_3006,Locale_Event:EventMVG_module_desc_short_3006,2,2017
4001,skillC,icn_mvg_module_skill_c_cool_time_down,117,Locale_Event:EventMVG_module_name_4001,Locale_Event:EventMVG_module_desc_4001,Locale_Event:EventMVG_module_desc_short_4001,2,3002
4002,skillC,icn_mvg_module_skill_c_range_up,118,Locale_Event:EventMVG_module_name_4002,Locale_Event:EventMVG_module_desc_4002,Locale_Event:EventMVG_module_desc_short_4002,5,3001
4003,skillC,icn_mvg_module_skill_c_control_enable,119,Locale_Event:EventMVG_module_name_4003,Locale_Event:EventMVG_module_desc_4003,Locale_Event:EventMVG_module_desc_short_4003,1,3005
4004,skillC,icn_mvg_module_skill_c_use_time_up,120,Locale_Event:EventMVG_module_name_4004,Locale_Event:EventMVG_module_desc_4004,Locale_Event:EventMVG_module_desc_short_4004,8,3003
4005,skillC,icn_mvg_module_skill_c_move_speed_up,121,Locale_Event:EventMVG_module_name_4005,Locale_Event:EventMVG_module_desc_4005,Locale_Event:EventMVG_module_desc_short_4005,3,3007
4006,skillC,icn_mvg_module_skill_c_off_enable,122,Locale_Event:EventMVG_module_name_4006,Locale_Event:EventMVG_module_desc_4006,Locale_Event:EventMVG_module_desc_short_4006,2,3006
5001,skillD,icn_mvg_module_skill_d_cool_time_down,123,Locale_Event:EventMVG_module_name_5001,Locale_Event:EventMVG_module_desc_5001,Locale_Event:EventMVG_module_desc_short_5001,2,4006
5003,skillD,icn_mvg_module_skill_d_perfect_trace_enable,125,Locale_Event:EventMVG_module_name_5003,Locale_Event:EventMVG_module_desc_5003,Locale_Event:EventMVG_module_desc_short_5003,4,4002
5004,skillD,icn_mvg_module_skill_d_projectile_up,126,Locale_Event:EventMVG_module_name_5004,Locale_Event:EventMVG_module_desc_5004,Locale_Event:EventMVG_module_desc_short_5004,8,4004
6001,burst,icn_mvg_module_burst_lazer_up,127,Locale_Event:EventMVG_module_name_6001,Locale_Event:EventMVG_module_desc_6001,Locale_Event:EventMVG_module_desc_short_6001,4,5005
6002,burst,icn_mvg_module_burst_cool_time_down,128,Locale_Event:EventMVG_module_name_6002,Locale_Event:EventMVG_module_desc_6002,Locale_Event:EventMVG_module_desc_short_6002,5,5013
6003,burst,icn_mvg_module_burst_range_up,129,Locale_Event:EventMVG_module_name_6003,Locale_Event:EventMVG_module_desc_6003,Locale_Event:EventMVG_module_desc_short_6003,9,5009
