id,monster_skill_order,monster_skill_name,monster_skill_description,monster_skill_active_type,monster_skill_active_value,monster_skill_type,monster_skill_type_value_list/0/monster_skill_type_value,monster_skill_type_value_list/1/monster_skill_type_value,monster_skill_resource_effect,monster_skill_resource_area_effect,skill_cast_time,skill_effect_delay,monster_skill_resource_effect_2,skill_effect_delay_2,monster_skill_type_value_list/2/monster_skill_type_value,monster_skill_type_value_list/3/monster_skill_type_value
10010101,4,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,800.0,SetBuff,1001201,400.0,fx_m_fortheking_monster_stealth,,,,,,,
10010201,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,3.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010202,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,4.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010203,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,5.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010204,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,6.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010205,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,7.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010206,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,8.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010207,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,9.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010208,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,10.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010209,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,11.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010210,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,12.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010211,3,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,DefArea,1600,13.0,fx_m_fortheking_monster_shield,fx_m_fortheking_monster_shield_range,,,,,,
10010301,1,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2400.0,Jump,600,,fx_m_fortheking_monster_talkative_jump,,50.0,10.0,fx_m_fortheking_monster_talkative_land,10.0,,
10010401,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111101.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010402,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111102.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010403,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111103.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010404,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111104.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010405,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111105.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010406,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111106.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010407,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111001.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010408,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111002.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010409,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111003.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010410,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111004.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010411,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111005.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010412,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111006.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010413,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111007.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010414,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111008.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010415,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111009.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010416,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111010.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010417,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111011.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010418,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111012.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010419,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111013.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010420,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111014.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010421,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111015.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010422,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111016.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010423,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111017.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010424,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111018.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010425,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111019.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010426,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111020.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010427,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111021.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010428,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111022.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010429,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111023.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010430,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111024.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010431,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111025.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010432,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111026.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010433,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111027.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010434,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111028.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010435,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111029.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010436,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111030.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010437,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111031.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010438,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111032.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010439,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111033.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010440,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111034.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010441,2,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,100,1001111035.0,fx_m_fortheking_monster_indivilia_calling,,50.0,,,,6.0,500.0
10010501,1,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,Spawn,,SetBuff,1001202,9000.0,,,,,,,,
10010601,1,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,CoolTime,2000.0,SummonMonster,0,1002101101.0,fx_m_fortheking_monster_shifty_calling,,50.0,,,,12.0,750.0
10010602,1,Locale_Event:td_monster_skill_name_dummy,Locale_Event:td_monster_skill_description_dummy,HPCheck,1500.0,HPRecover,10000,3.0,fx_m_fortheking_monster_shifty_heal,,,,,,,
