id,schedule_group_id,chapter_id,stage_group_id,stage_essential_value,event_selection_value,location,weight
1010101,1,10101,100,1,2,Start,0
1010102,1,10101,100010,1,1,JustBeforeEnd,0
1010103,1,10101,10000,1,1,End,0
1010104,1,10101,100,1,2,Random,0
1010105,1,10101,200101,0,2,Random,10000
1010201,1,10102,201100,1,2,Start,0
1010202,1,10102,100010,1,1,JustBeforeEnd,0
1010203,1,10102,10000,1,1,End,0
1010204,1,10102,201100,1,2,Random,0
1010205,1,10102,200101,0,2,Random,10000
1010301,1,10103,201100,1,2,Start,0
1010302,1,10103,100010,1,1,JustBeforeEnd,0
1010303,1,10103,10000,1,1,End,0
1010304,1,10103,201100,1,2,Random,0
1010305,1,10103,201100,0,2,Random,10000
1020101,1,10201,100,1,2,Start,0
1020102,1,10201,200018,1,2,JustBeforeEnd,0
1020103,1,10201,10000,1,1,End,0
1020104,1,10201,100,1,2,Random,0
1020105,1,10201,200101,0,2,Random,10000
1020106,1,10201,300201,0,3,Random,5000
1020201,1,10202,201100,1,2,Start,0
1020202,1,10202,200018,1,2,JustBeforeEnd,0
1020203,1,10202,10000,1,1,End,0
1020204,1,10202,201100,1,2,Random,0
1020205,1,10202,201100,0,2,Random,10000
1020206,1,10202,200101,0,2,Random,10000
1020207,1,10202,301101,0,3,Random,10000
1020301,1,10203,201100,1,2,Start,0
1020302,1,10203,200018,1,2,JustBeforeEnd,0
1020303,1,10203,10000,1,1,End,0
1020304,1,10203,201100,1,2,Random,0
1020305,1,10203,201100,0,2,Random,10000
1020306,1,10203,201001,0,2,Random,10000
1020307,1,10203,301101,0,3,Random,10000
1030101,1,10301,100,1,2,Start,0
1030102,1,10301,200018,1,2,JustBeforeEnd,0
1030103,1,10301,10000,1,1,End,0
1030104,1,10301,201100,1,2,Random,0
1030105,1,10301,201100,0,2,Random,10000
1030106,1,10301,100,0,2,Random,10000
1030107,1,10301,200101,0,2,Random,10000
1030108,1,10301,301101,0,3,Random,10000
1030201,1,10302,302100,1,3,Start,0
1030202,1,10302,200018,1,2,JustBeforeEnd,0
1030203,1,10302,10000,1,1,End,0
1030204,1,10302,302100,1,3,Random,0
1030205,1,10302,201100,0,2,Random,10000
1030206,1,10302,201001,0,2,Random,10000
1030207,1,10302,200101,0,2,Random,10000
1030209,1,10302,302001,0,3,Random,10000
1030210,1,10302,301101,0,3,Random,10000
1030301,1,10303,302100,1,3,Start,0
1030302,1,10303,200018,1,2,JustBeforeEnd,0
1030303,1,10303,10000,1,1,End,0
1030304,1,10303,302100,1,3,Random,0
1030305,1,10303,302100,0,3,Random,3000
1030306,1,10303,302099,0,3,Random,10000
1030307,1,10303,302001,0,3,Random,10000
1030308,1,10303,301199,0,3,Random,10000
1040101,1,10401,301200,1,3,Start,0
1040102,1,10401,200018,1,2,JustBeforeEnd,0
1040103,1,10401,10000,1,1,End,0
1040104,1,10401,301200,1,3,Random,0
1040105,1,10401,302001,0,3,Random,5000
1040106,1,10401,301101,0,3,Random,10000
1040107,1,10401,300201,0,3,Random,10000
1040201,1,10402,302100,1,3,Start,0
1040202,1,10402,200018,1,2,JustBeforeEnd,0
1040203,1,10402,10000,1,1,End,0
1040204,1,10402,302100,1,3,Random,0
1040205,1,10402,302100,0,3,Random,3000
1040206,1,10402,302099,0,3,Random,10000
1040207,1,10402,301101,0,3,Random,10000
1040208,1,10402,309999,0,3,Random,10000
1040301,1,10403,302100,1,3,Start,0
1040302,1,10403,200018,1,2,JustBeforeEnd,0
1040303,1,10403,10000,1,1,End,0
