id,group_id,description_localkey,trigger_list/0/trigger,trigger_list/0/condition_id,trigger_list/0/condition_value,trigger_list/1/trigger,trigger_list/1/condition_id,trigger_list/1/condition_value,trigger_list/2/trigger,trigger_list/2/condition_id,trigger_list/2/condition_value,trigger_list/3/trigger,trigger_list/3/condition_id,trigger_list/3/condition_value,trigger_list/4/trigger,trigger_list/4/condition_id,trigger_list/4/condition_value,trigger_list/5/trigger,trigger_list/5/condition_id,trigger_list/5/condition_value,conversation_id,clear_trigger,clear_condition_id,clear_condition_value,scenario_type,episode_id,end_messenger_conversation_id,before_sub_quest_id
1011,1010,Locale_SubQuest:sub_quest_description_1011,CampaignClear,6002003,1,None,0,0,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1011_s,FieldObjectCollection,1002001,1,Dialog,d_subquest_1011,m_subquest_1011_e,0
1021,1020,Locale_SubQuest:sub_quest_description_1021,SubQuestClear,1011,1,CampaignClear,6002010,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1021_s,FieldObjectCollection,1002002,1,Dialog,d_subquest_1021,m_subquest_1021_e,0
1031,1030,Locale_SubQuest:sub_quest_description_1031,SubQuestClear,1011,1,MainQuestClear,25,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1031_s,CampaignGroupClear,2001,1,,0,m_subquest_1031_e,0
1091,1090,Locale_SubQuest:sub_quest_description_1091,SubQuestClear,1011,1,CampaignClear,6003002,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1091_s,CampaignGroupClear,3001,1,Dialog,d_subquest_1091,m_subquest_1091_e,0
1061,1060,Locale_SubQuest:sub_quest_description_1061,SubQuestClear,1021,1,CampaignClear,6003021,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1061_s,FieldObjectCollection,1003001,1,Dialog,d_subquest_1061,m_subquest_1061_e,0
1101,1100,Locale_SubQuest:sub_quest_description_1101,SubQuestClear,1031,1,SubQuestClear,1061,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1101_s,CampaignGroupClear,3002,1,FieldTalk,f_subquest_1101_e,m_subquest_1101_e,0
1062,1060,Locale_SubQuest:sub_quest_description_1062,SubQuestClear,1061,1,CampaignClear,6004003,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1062_s,FieldObjectCollection,1004001,1,Dialog,d_subquest_1062,m_subquest_1062_e,0
1081,1080,Locale_SubQuest:sub_quest_description_1081,SubQuestClear,1021,1,CampaignClear,6004018,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1081_s,CampaignGroupClear,4001,1,Dialog,d_subquest_1081,m_subquest_1081_e,0
1102,1100,Locale_SubQuest:sub_quest_description_1102,SubQuestClear,1101,1,CampaignClear,6004023,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1102_s,CampaignGroupClear,4002,1,FieldTalk,f_subquest_1102_e,m_subquest_1102_e,0
1041,1040,Locale_SubQuest:sub_quest_description_1041,SubQuestClear,1031,1,CampaignClear,6005004,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1041_s,CampaignGroupClear,5001,1,Dialog,d_subquest_1041,m_subquest_1041_e,0
1051,1050,Locale_SubQuest:sub_quest_description_1051,SubQuestClear,1081,1,CampaignClear,6005020,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1051_s,CampaignGroupClear,5002,1,Dialog,d_subquest_1051,m_subquest_1051_e,0
1103,1100,Locale_SubQuest:sub_quest_description_1103,SubQuestClear,1102,1,CampaignClear,6005025,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1103_s,NpcTalk,5005001,1,FieldTalk,f_subquest_1103,m_subquest_1103_e,0
1092,1090,Locale_SubQuest:sub_quest_description_1092,SubQuestClear,1091,1,CampaignClear,6006006,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1092_s,CampaignGroupClear,6001,1,Dialog,d_subquest_1092_e,m_subquest_1092_e,0
1201,1200,Locale_SubQuest:sub_quest_description_1201,SubQuestClear,1051,1,CampaignClear,6006026,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1201_s,CampaignGroupClear,6002,1,Dialog,d_subquest_1201,m_subquest_1201_e,0
1104,1100,Locale_SubQuest:sub_quest_description_1104,SubQuestClear,1103,1,CampaignClear,6006035,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1104_s,NpcTalk,5006001,1,FieldTalk,f_subquest_1104,m_subquest_1104_e,0
1093,1090,Locale_SubQuest:sub_quest_description_1093,SubQuestClear,1092,1,CampaignClear,6007006,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1093_s,FieldObjectCollection,1007001,1,Dialog,d_subquest_1093,m_subquest_1093_e,0
1042,1040,Locale_SubQuest:sub_quest_description_1042,SubQuestClear,1041,1,CampaignClear,6007026,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1042_s,CampaignGroupClear,7001,1,Dialog,d_subquest_1042_e,m_subquest_1042_e,0
1105,1100,Locale_SubQuest:sub_quest_description_1105,SubQuestClear,1104,1,SubQuestClear,1041,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1105_s,CampaignGroupClear,7002,1,FieldTalk,f_subquest_1105_e,m_subquest_1105_e,0
1012,1010,Locale_SubQuest:sub_quest_description_1012,SubQuestClear,1011,1,CampaignClear,6008009,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1012_s,FieldObjectCollection,1008001,1,Dialog,d_subquest_1012,m_subquest_1012_e,0
1022,1020,Locale_SubQuest:sub_quest_description_1022,SubQuestClear,1021,1,CampaignClear,6008021,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1022_s,CampaignGroupClear,8001,1,FieldTalk,f_subquest_1022_e,m_subquest_1022_e,0
1111,1110,Locale_SubQuest:sub_quest_description_1111,SubQuestClear,1081,1,CampaignClear,6008032,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1111_s,CampaignGroupClear,8002,1,Dialog,d_subquest_1111,m_subquest_1111_e,0
1063,1060,Locale_SubQuest:sub_quest_description_1063,SubQuestClear,1062,1,CampaignClear,6009012,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1063_s,FieldObjectCollection,1009001,1,Dialog,d_subquest_1063,m_subquest_1063_e,0
1191,1190,Locale_SubQuest:sub_quest_description_1191,SubQuestClear,1111,1,CampaignClear,6009017,1,None,0,0,None,0,0,None,0,0,None,0,0,m_subquest_1191_s,NpcTalk,5009001,1,FieldTalk,f_subquest_1191_02,m_subquest_1191_e,0
