id,markerResource,markerType,roomAddressableName,markerValue,markerGameObject
1001,icn_mvg_marker_savePoint,SavePoint,C1_1_01,1001,
1002,icn_mvg_marker_savePoint,SavePoint,C1_1_06,1002,
1003,icn_mvg_marker_savePoint,SavePoint,C1_1_08,1003,
2001,icn_mvg_marker_savePoint,SavePoint,C2_1_06,2001,
2002,icn_mvg_marker_savePoint,SavePoint,C2_1_08,2002,
2003,icn_mvg_marker_savePoint,SavePoint,C2_1_11,2003,
3001,icn_mvg_marker_savePoint,SavePoint,C3_1_08,3001,
3002,icn_mvg_marker_savePoint,SavePoint,C3_1_17,3002,
4001,icn_mvg_marker_savePoint,SavePoint,C4_1_01,4001,
4002,icn_mvg_marker_savePoint,SavePoint,C4_1_10,4002,
4003,icn_mvg_marker_savePoint,SavePoint,C4_1_13,4003,
5001,icn_mvg_marker_savePoint,SavePoint,C5_1_30,5001,
5002,icn_mvg_marker_savePoint,SavePoint,C5_1_25,5002,
5003,icn_mvg_marker_savePoint,SavePoint,C5_1_16,5003,
5004,icn_mvg_marker_savePoint,SavePoint,C5_1_11,5004,
6001,icn_mvg_marker_savePoint,SavePoint,C6_1_08,6001,
6002,icn_mvg_marker_savePoint,SavePoint,C6_1_28,6002,
6003,icn_mvg_marker_savePoint,SavePoint,C6_1_41,6003,
6004,icn_mvg_marker_savePoint,SavePoint,C6_1_43,6004,
7001,icn_mvg_marker_savePoint,SavePoint,C7_1_07,7001,
7002,icn_mvg_marker_savePoint,SavePoint,C7_1_24,7002,
7003,icn_mvg_marker_savePoint,SavePoint,C7_1_19,7003,
7004,icn_mvg_marker_savePoint,SavePoint,C7_1_27,7004,
8001,icn_mvg_marker_savePoint,SavePoint,C8_1_01,8001,
8002,icn_mvg_marker_savePoint,SavePoint,C8_1_02,8002,
8003,icn_mvg_marker_savePoint,SavePoint,C8_1_16,8003,
8004,icn_mvg_marker_savePoint,SavePoint,C8_1_29,8004,
8005,icn_mvg_marker_savePoint,SavePoint,C8_1_43,8005,
