id,quest_target_type,quest_type,condition_type,name_localkey,description_localkey,next_quest_id,condition_id,time_line_group_id,reward_id,condition_value_1,condition_value_2,parents_quest_id
100,First,Normal,StartMission,Locale_Event:EventMVG_TestLocale_01,Locale_Event:EventMVG_TestLocale_01,101.0,,,,,,
101,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch01_01_Name,Locale_Event:EventMVG_Quest_Ch01_01_Desc,102.0,101.0,10100.0,3010030.0,,,
102,First,MotherMission,ClearMultiCondition,Locale_Event:EventMVG_Quest_Ch01_02_NameMain,Locale_Event:EventMVG_Quest_Ch01_02_Desc,105.0,0.0,10200.0,3010001.0,0.0,0,
103,First,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Ch01_02_NameA,Locale_Event:EventMVG_Quest_DescEmpty,,11201.0,,3010030.0,3.0,,102.0
104,First,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Ch01_02_NameB,Locale_Event:EventMVG_Quest_DescEmpty,,11103.0,,3010030.0,3.0,,102.0
105,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch01_03_Name,Locale_Event:EventMVG_Quest_Ch01_03_Desc,106.0,105.0,,3010030.0,,,
106,First,Normal,KillMonster,Locale_Event:EventMVG_Quest_Ch01_04_Name,Locale_Event:EventMVG_Quest_Ch01_04_Desc,201.0,16201.0,10400.0,3010020.0,1.0,,
201,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch02_01_Name,Locale_Event:EventMVG_Quest_Ch02_01_Desc,202.0,201.0,20100.0,3010031.0,,,
202,First,Normal,GetCollectable,Locale_Event:EventMVG_Quest_Ch02_02_Name,Locale_Event:EventMVG_Quest_Ch02_02_Desc,203.0,401.0,,3010031.0,1.0,,
203,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch02_03_Name,Locale_Event:EventMVG_Quest_Ch02_03_Desc,204.0,203.0,,3010031.0,,,
204,First,Normal,KillMonster,Locale_Event:EventMVG_Quest_Ch02_04_Name,Locale_Event:EventMVG_Quest_Ch02_04_Desc,301.0,26201.0,20300.0,3010021.0,1.0,,
301,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch03_01_Name,Locale_Event:EventMVG_Quest_Ch03_01_Desc,302.0,301.0,30100.0,3010032.0,,,
302,First,MotherMission,ClearMultiCondition,Locale_Event:EventMVG_Quest_Ch03_02_Name,Locale_Event:EventMVG_Quest_Ch03_02_Desc,305.0,0.0,,3010004.0,0.0,0,
303,First,ChildMission,GetCollectable,Locale_Event:EventMVG_Quest_Ch03_02_NameA,Locale_Event:EventMVG_Quest_DescEmpty,,402.0,,3010032.0,1.0,,302.0
304,First,ChildMission,GetCollectable,Locale_Event:EventMVG_Quest_Ch03_02_NameB,Locale_Event:EventMVG_Quest_DescEmpty,,403.0,,3010032.0,1.0,,302.0
305,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch03_03_Name,Locale_Event:EventMVG_Quest_Ch03_03_Desc,306.0,305.0,,3010032.0,,,
306,First,Normal,KillMonster,Locale_Event:EventMVG_Quest_Ch03_04_Name,Locale_Event:EventMVG_Quest_Ch03_04_Desc,401.0,36205.0,30200.0,3010022.0,1.0,,
401,First,MotherMission,ClearMultiCondition,Locale_Event:EventMVG_Quest_Ch04_01_Name,Locale_Event:EventMVG_Quest_Ch04_01_Desc,406.0,0.0,,3010003.0,0.0,0,
402,First,ChildMission,GetCollectable,Locale_Event:EventMVG_Quest_Ch04_01_NameA,Locale_Event:EventMVG_Quest_DescEmpty,,406.0,,3010033.0,1.0,,401.0
403,First,ChildMission,GetCollectable,Locale_Event:EventMVG_Quest_Ch04_01_NameB,Locale_Event:EventMVG_Quest_DescEmpty,,407.0,,3010033.0,1.0,,401.0
404,First,ChildMission,GetCollectable,Locale_Event:EventMVG_Quest_Ch04_01_NameC,Locale_Event:EventMVG_Quest_DescEmpty,,408.0,,3010033.0,1.0,,401.0
405,First,ChildMission,GetCollectable,Locale_Event:EventMVG_Quest_Ch04_01_NameD,Locale_Event:EventMVG_Quest_DescEmpty,,409.0,,3010033.0,1.0,,401.0
406,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch04_02_Name,Locale_Event:EventMVG_Quest_Ch04_02_Desc,407.0,406.0,,3010033.0,,,
407,First,MotherMission,ClearMultiCondition,Locale_Event:EventMVG_Quest_Ch04_03_Name,Locale_Event:EventMVG_Quest_Ch04_03_Desc,490.0,0.0,40100.0,3010023.0,0.0,0,
408,First,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Ch04_03_NameA,Locale_Event:EventMVG_Quest_DescEmpty,,46109.0,,3010033.0,1.0,,407.0
409,First,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Ch04_03_NameB,Locale_Event:EventMVG_Quest_DescEmpty,,46210.0,,3010033.0,1.0,,407.0
410,First,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Ch04_03_NameC,Locale_Event:EventMVG_Quest_DescEmpty,,46211.0,,3010033.0,1.0,,407.0
411,First,ChildMission,KillMonster,Locale_Event:EventMVG_Quest_Ch04_03_NameD,Locale_Event:EventMVG_Quest_DescEmpty,,46212.0,,3010033.0,1.0,,407.0
490,First,Normal,MissionTargetPoint,Locale_Event:EventMVG_Quest_Ch05_SP_Name,Locale_Event:EventMVG_Quest_Ch05_SP_Desc,501.0,1905.0,,3010034.0,,,
501,First,MotherMission,ClearMultiCondition,Locale_Event:EventMVG_Quest_Ch05_01_Name,Locale_Event:EventMVG_Quest_Ch05_01_Desc,504.0,0.0,,3010034.0,0.0,0,
