id,reaction_type,attractive_level_min,attractive_level_max,resource_id,costume_index,eventlobby_id,animation_clip,speech_localkey,rection_voice,probability,special_lobby_change_step,camera_shake
1,touch,1.0,9.0,10,0,0,expression_0,Locale_Character:10_speech_01,c010_Lobby_Touch_1,0.3,,
2,touch,1.0,9.0,10,0,0,expression_0,Locale_Character:10_speech_02,c010_Lobby_Touch_2,0.3,,
3,touch,1.0,9.0,10,0,0,expression_0,Locale_Character:10_speech_03,c010_Lobby_Touch_3,0.4,,
4,touch,10.0,0.0,10,0,0,expression_0,Locale_Character:10_speech_04,c010_Lobby_Touch_Love_1,0.3,,
5,touch,10.0,0.0,10,0,0,expression_0,Locale_Character:10_speech_05,c010_Lobby_Touch_Love_2,0.3,,
6,touch,10.0,0.0,10,0,0,expression_0,Locale_Character:10_speech_06,c010_Lobby_Touch_Love_3,0.4,,
7,stay,1.0,9.0,10,0,0,expression_0,Locale_Character:10_stay_01,c010_Lobby_Stay_1,1.0,,
8,stay,10.0,0.0,10,0,0,expression_0,Locale_Character:10_stay_02,c010_Lobby_Stay_Love_1,1.0,,
9,touch,1.0,9.0,11,0,0,expression_0,Locale_Character:11_speech_01,c011_Lobby_Touch_1,0.3,,
10,touch,1.0,9.0,11,0,0,expression_0,Locale_Character:11_speech_02,c011_Lobby_Touch_2,0.3,,
11,touch,1.0,9.0,11,0,0,expression_0,Locale_Character:11_speech_03,c011_Lobby_Touch_3,0.4,,
12,touch,10.0,0.0,11,0,0,expression_0,Locale_Character:11_speech_04,c011_Lobby_Touch_Love_1,0.3,,
13,touch,10.0,0.0,11,0,0,expression_0,Locale_Character:11_speech_05,c011_Lobby_Touch_Love_2,0.3,,
14,touch,10.0,0.0,11,0,0,expression_0,Locale_Character:11_speech_06,c011_Lobby_Touch_Love_3,0.4,,
15,stay,1.0,9.0,11,0,0,expression_0,Locale_Character:11_stay_01,c011_Lobby_Stay_1,1.0,,
16,stay,10.0,0.0,11,0,0,expression_0,Locale_Character:11_stay_02,c011_Lobby_Stay_Love_1,1.0,,
17,touch,1.0,9.0,12,0,0,expression_0,Locale_Character:12_speech_01,c012_Lobby_Touch_1,0.3,,
18,touch,1.0,9.0,12,0,0,expression_0,Locale_Character:12_speech_02,c012_Lobby_Touch_2,0.3,,
19,touch,1.0,9.0,12,0,0,expression_0,Locale_Character:12_speech_03,c012_Lobby_Touch_3,0.4,,
20,touch,10.0,0.0,12,0,0,expression_0,Locale_Character:12_speech_04,c012_Lobby_Touch_Love_1,0.3,,
21,touch,10.0,0.0,12,0,0,expression_0,Locale_Character:12_speech_05,c012_Lobby_Touch_Love_2,0.3,,
22,touch,10.0,0.0,12,0,0,expression_0,Locale_Character:12_speech_06,c012_Lobby_Touch_Love_3,0.4,,
23,stay,1.0,9.0,12,0,0,expression_0,Locale_Character:12_stay_01,c012_Lobby_Stay_1,1.0,,
24,stay,10.0,0.0,12,0,0,expression_0,Locale_Character:12_stay_02,c012_Lobby_Stay_Love_1,1.0,,
25,touch,1.0,9.0,13,0,0,expression_0,Locale_Character:13_speech_01,c013_Lobby_Touch_1,0.3,,
26,touch,1.0,9.0,13,0,0,expression_0,Locale_Character:13_speech_02,c013_Lobby_Touch_2,0.3,,
27,touch,1.0,9.0,13,0,0,expression_0,Locale_Character:13_speech_03,c013_Lobby_Touch_3,0.4,,
28,touch,10.0,0.0,13,0,0,expression_0,Locale_Character:13_speech_04,c013_Lobby_Touch_Love_1,0.3,,
29,touch,10.0,0.0,13,0,0,expression_0,Locale_Character:13_speech_05,c013_Lobby_Touch_Love_2,0.3,,
30,touch,10.0,0.0,13,0,0,expression_0,Locale_Character:13_speech_06,c013_Lobby_Touch_Love_3,0.4,,
31,stay,1.0,9.0,13,0,0,expression_0,Locale_Character:13_stay_01,c013_Lobby_Stay_1,1.0,,
32,stay,10.0,0.0,13,0,0,expression_0,Locale_Character:13_stay_02,c013_Lobby_Stay_Love_1,1.0,,
33,touch,1.0,9.0,20,0,0,expression_0,Locale_Character:20_speech_01,c020_Lobby_Touch_1,0.3,,
34,touch,1.0,9.0,20,0,0,expression_0,Locale_Character:20_speech_02,c020_Lobby_Touch_2,0.3,,
35,touch,1.0,9.0,20,0,0,expression_0,Locale_Character:20_speech_03,c020_Lobby_Touch_3,0.4,,
36,touch,10.0,0.0,20,0,0,expression_0,Locale_Character:20_speech_04,c020_Lobby_Touch_Love_1,0.3,,
37,touch,10.0,0.0,20,0,0,expression_0,Locale_Character:20_speech_05,c020_Lobby_Touch_Love_2,0.3,,
38,touch,10.0,0.0,20,0,0,expression_0,Locale_Character:20_speech_06,c020_Lobby_Touch_Love_3,0.4,,
39,stay,1.0,9.0,20,0,0,expression_0,Locale_Character:20_stay_01,c020_Lobby_Stay_1,1.0,,
40,stay,10.0,0.0,20,0,0,expression_0,Locale_Character:20_stay_02,c020_Lobby_Stay_Love_1,1.0,,
41,touch,1.0,9.0,22,0,0,expression_0,Locale_Character:22_speech_01,c022_Lobby_Touch_1,0.3,,
42,touch,1.0,9.0,22,0,0,expression_0,Locale_Character:22_speech_02,c022_Lobby_Touch_2,0.3,,
43,touch,1.0,9.0,22,0,0,expression_0,Locale_Character:22_speech_03,c022_Lobby_Touch_3,0.4,,
44,touch,10.0,0.0,22,0,0,expression_0,Locale_Character:22_speech_04,c022_Lobby_Touch_Love_1,0.3,,
45,touch,10.0,0.0,22,0,0,expression_0,Locale_Character:22_speech_05,c022_Lobby_Touch_Love_2,0.3,,
46,touch,10.0,0.0,22,0,0,expression_0,Locale_Character:22_speech_06,c022_Lobby_Touch_Love_3,0.4,,
47,stay,1.0,9.0,22,0,0,expression_0,Locale_Character:22_stay_01,c022_Lobby_Stay_1,1.0,,
48,stay,10.0,0.0,22,0,0,expression_0,Locale_Character:22_stay_02,c022_Lobby_Stay_Love_1,1.0,,
49,touch,1.0,9.0,30,0,0,expression_0,Locale_Character:30_speech_01,c030_Lobby_Touch_1,0.3,,
50,touch,1.0,9.0,30,0,0,expression_0,Locale_Character:30_speech_02,c030_Lobby_Touch_2,0.3,,
51,touch,1.0,9.0,30,0,0,expression_0,Locale_Character:30_speech_03,c030_Lobby_Touch_3,0.4,,
52,touch,10.0,0.0,30,0,0,expression_0,Locale_Character:30_speech_04,c030_Lobby_Touch_Love_1,0.3,,
53,touch,10.0,0.0,30,0,0,expression_0,Locale_Character:30_speech_05,c030_Lobby_Touch_Love_2,0.3,,
54,touch,10.0,0.0,30,0,0,expression_0,Locale_Character:30_speech_06,c030_Lobby_Touch_Love_3,0.4,,
55,stay,1.0,9.0,30,0,0,expression_0,Locale_Character:30_stay_01,c030_Lobby_Stay_1,1.0,,
56,stay,10.0,0.0,30,0,0,expression_0,Locale_Character:30_stay_02,c030_Lobby_Stay_Love_1,1.0,,
57,touch,1.0,9.0,32,0,0,expression_0,Locale_Character:32_speech_01,c032_Lobby_Touch_1,0.3,,
58,touch,1.0,9.0,32,0,0,expression_0,Locale_Character:32_speech_02,c032_Lobby_Touch_2,0.3,,
59,touch,1.0,9.0,32,0,0,expression_0,Locale_Character:32_speech_03,c032_Lobby_Touch_3,0.4,,
60,touch,10.0,0.0,32,0,0,expression_0,Locale_Character:32_speech_04,c032_Lobby_Touch_Love_1,0.3,,
61,touch,10.0,0.0,32,0,0,expression_0,Locale_Character:32_speech_05,c032_Lobby_Touch_Love_2,0.3,,
62,touch,10.0,0.0,32,0,0,expression_0,Locale_Character:32_speech_06,c032_Lobby_Touch_Love_3,0.4,,
63,stay,1.0,9.0,32,0,0,expression_0,Locale_Character:32_stay_01,c032_Lobby_Stay_1,1.0,,
64,stay,10.0,0.0,32,0,0,expression_0,Locale_Character:32_stay_02,c032_Lobby_Stay_Love_1,1.0,,
65,touch,1.0,9.0,60,0,0,expression_0,Locale_Character:60_speech_01,c060_Lobby_Touch_1,0.3,,
66,touch,1.0,9.0,60,0,0,expression_0,Locale_Character:60_speech_02,c060_Lobby_Touch_2,0.3,,
67,touch,1.0,9.0,60,0,0,expression_0,Locale_Character:60_speech_03,c060_Lobby_Touch_3,0.4,,
68,touch,10.0,0.0,60,0,0,expression_0,Locale_Character:60_speech_04,c060_Lobby_Touch_Love_1,0.3,,
69,touch,10.0,0.0,60,0,0,expression_0,Locale_Character:60_speech_05,c060_Lobby_Touch_Love_2,0.3,,
70,touch,10.0,0.0,60,0,0,expression_0,Locale_Character:60_speech_06,c060_Lobby_Touch_Love_3,0.4,,
71,stay,1.0,9.0,60,0,0,expression_0,Locale_Character:60_stay_01,c060_Lobby_Stay_1,1.0,,
72,stay,10.0,0.0,60,0,0,expression_0,Locale_Character:60_stay_02,c060_Lobby_Stay_Love_1,1.0,,
73,touch,1.0,9.0,61,0,0,expression_0,Locale_Character:61_speech_01,c061_Lobby_Touch_1,0.3,,
74,touch,1.0,9.0,61,0,0,expression_0,Locale_Character:61_speech_02,c061_Lobby_Touch_2,0.3,,
75,touch,1.0,9.0,61,0,0,expression_0,Locale_Character:61_speech_03,c061_Lobby_Touch_3,0.4,,
76,touch,10.0,0.0,61,0,0,expression_0,Locale_Character:61_speech_04,c061_Lobby_Touch_Love_1,0.3,,
77,touch,10.0,0.0,61,0,0,expression_0,Locale_Character:61_speech_05,c061_Lobby_Touch_Love_2,0.3,,
78,touch,10.0,0.0,61,0,0,expression_0,Locale_Character:61_speech_06,c061_Lobby_Touch_Love_3,0.4,,
79,stay,1.0,9.0,61,0,0,expression_0,Locale_Character:61_stay_01,c061_Lobby_Stay_1,1.0,,
80,stay,10.0,0.0,61,0,0,expression_0,Locale_Character:61_stay_02,c061_Lobby_Stay_Love_1,1.0,,
81,touch,1.0,9.0,70,0,0,expression_0,Locale_Character:70_speech_01,c070_Lobby_Touch_1,0.3,,
82,touch,1.0,9.0,70,0,0,expression_0,Locale_Character:70_speech_02,c070_Lobby_Touch_2,0.3,,
83,touch,1.0,9.0,70,0,0,expression_0,Locale_Character:70_speech_03,c070_Lobby_Touch_3,0.4,,
84,touch,10.0,0.0,70,0,0,expression_0,Locale_Character:70_speech_04,c070_Lobby_Touch_Love_1,0.3,,
85,touch,10.0,0.0,70,0,0,expression_0,Locale_Character:70_speech_05,c070_Lobby_Touch_Love_2,0.3,,
86,touch,10.0,0.0,70,0,0,expression_0,Locale_Character:70_speech_06,c070_Lobby_Touch_Love_3,0.4,,
87,stay,1.0,9.0,70,0,0,expression_0,Locale_Character:70_stay_01,c070_Lobby_Stay_1,1.0,,
88,stay,10.0,0.0,70,0,0,expression_0,Locale_Character:70_stay_02,c070_Lobby_Stay_Love_1,1.0,,
89,touch,1.0,9.0,71,0,0,expression_0,Locale_Character:71_speech_01,c071_Lobby_Touch_1,0.3,,
90,touch,1.0,9.0,71,0,0,expression_0,Locale_Character:71_speech_02,c071_Lobby_Touch_2,0.3,,
91,touch,1.0,9.0,71,0,0,expression_0,Locale_Character:71_speech_03,c071_Lobby_Touch_3,0.4,,
92,touch,10.0,0.0,71,0,0,expression_0,Locale_Character:71_speech_04,c071_Lobby_Touch_Love_1,0.3,,
93,touch,10.0,0.0,71,0,0,expression_0,Locale_Character:71_speech_05,c071_Lobby_Touch_Love_2,0.3,,
94,touch,10.0,0.0,71,0,0,expression_0,Locale_Character:71_speech_06,c071_Lobby_Touch_Love_3,0.4,,
95,stay,1.0,9.0,71,0,0,expression_0,Locale_Character:71_stay_01,c071_Lobby_Stay_1,1.0,,
96,stay,10.0,0.0,71,0,0,expression_0,Locale_Character:71_stay_02,c071_Lobby_Stay_Love_1,1.0,,
97,touch,1.0,9.0,72,0,0,expression_0,Locale_Character:72_speech_01,c072_Lobby_Touch_1,0.3,,
98,touch,1.0,9.0,72,0,0,expression_0,Locale_Character:72_speech_02,c072_Lobby_Touch_2,0.3,,
99,touch,1.0,9.0,72,0,0,expression_0,Locale_Character:72_speech_03,c072_Lobby_Touch_3,0.4,,
100,touch,10.0,0.0,72,0,0,expression_0,Locale_Character:72_speech_04,c072_Lobby_Touch_Love_1,0.3,,
101,touch,10.0,0.0,72,0,0,expression_0,Locale_Character:72_speech_05,c072_Lobby_Touch_Love_2,0.3,,
