id,open_condition_list/0/open_condition_type,open_condition_list/0/open_condition_value,open_condition_list/1/open_condition_type,open_condition_list/1/open_condition_value,short_name,ticket_item_type,ticket_item_id,ticket_item_count,monster_stage_lv,dynamic_object_stage_lv,spot_autocontrol,standard_battle_power,stage_stat_increase_group_id,is_use_quick_battle,spot_id,clear_reward_id,enter_scenario,exit_scenario,fixed_play_character_id,character_lv,quick_battle_type,quick_battle_try_max_count
100110101,None,0,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_1,None,0,0,9,6,True,2000,40000,False,6500101,0,event_nocallerid_01_s,event_nocallerid_01_e,0,0,None,1
100110102,EventDungeonStageClear,100110101,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_2,None,0,0,12,8,True,2600,40000,False,6500102,0,0,0,0,0,None,1
100110103,EventDungeonStageClear,100110102,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_3,None,0,0,19,14,True,3700,40000,False,6500103,0,event_nocallerid_02_s,event_nocallerid_02_e,0,0,None,1
100110104,EventDungeonStageClear,100110103,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_4,None,0,0,26,20,True,4700,40000,False,6500104,0,0,0,0,0,None,1
100110105,EventDungeonStageClear,100110104,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_5,None,0,0,33,27,True,5500,40000,False,6500105,0,event_nocallerid_intermission_01,0,0,0,None,1
100110106,EventDungeonStageClear,100110105,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_6,None,0,0,46,42,True,8800,40000,False,6500106,0,event_nocallerid_03_s,event_nocallerid_03_e,0,0,None,1
100110107,EventDungeonStageClear,100110106,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_7,None,0,0,52,42,True,9900,40000,False,6500107,0,0,0,0,0,None,1
100110108,EventDungeonStageClear,100110107,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_8,None,0,0,56,46,True,11200,40000,False,6500108,0,event_nocallerid_04_s,event_nocallerid_04_e,0,0,None,1
100110109,EventDungeonStageClear,100110108,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_9,None,0,0,62,50,True,12900,40000,False,6500109,0,0,0,0,0,None,1
100110110,EventDungeonStageClear,100110109,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_10,None,0,0,68,56,True,14800,40000,False,6500110,6010110,event_nocallerid_05_s,event_nocallerid_05_e,0,0,None,1
100120101,EventDungeonStageClear,100110110,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_1,None,0,0,72,60,True,15800,40000,False,6500111,0,0,0,0,0,StandardBattlePower,1
100120102,EventDungeonStageClear,100120101,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_2,None,0,0,76,68,True,16700,40000,False,6500112,0,0,0,0,0,StandardBattlePower,1
100120103,EventDungeonStageClear,100120102,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_3,None,0,0,80,70,True,17600,40000,False,6500113,0,0,0,0,0,StandardBattlePower,1
100120104,EventDungeonStageClear,100120103,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_4,None,0,0,82,72,True,18300,40000,False,6500114,0,0,0,0,0,StandardBattlePower,1
100120105,EventDungeonStageClear,100120104,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_5,None,0,0,84,72,True,20200,40000,False,6500115,0,0,0,0,0,StandardBattlePower,1
100120106,EventDungeonStageClear,100120105,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_6,None,0,0,88,80,True,21500,40000,False,6500116,0,0,0,0,0,StandardBattlePower,1
100120107,EventDungeonStageClear,100120106,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_7,None,0,0,90,80,True,22300,40000,False,6500117,0,0,0,0,0,StandardBattlePower,1
100120108,EventDungeonStageClear,100120107,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_8,None,0,0,96,90,True,25400,40000,False,6500118,0,0,0,0,0,StandardBattlePower,1
100120109,EventDungeonStageClear,100120108,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_9,None,0,0,98,90,True,26200,40000,False,6500119,0,0,0,0,0,StandardBattlePower,1
100120110,EventDungeonStageClear,100120109,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_10,None,0,0,102,90,True,27900,40000,False,6500120,0,0,event_nocallerid_epilogue,0,0,None,1
101310101,None,0,None,0,Locale_Stage:STORY_EVENT_DUNGEON_SHORT_NAME_EN1_1,None,0,0,10,8,True,2100,40000,False,6501101,6108101,event_overzone1_01_s,event_overzone1_01_e,0,0,None,1
