id,group_id,skill_level,next_level_id,level_up_cost_id,icon,name_localkey,description_localkey,info_description_localkey,description_value_list/0/description_value,description_value_list/1/description_value,description_value_list/2/description_value,description_value_list/3/description_value,description_value_list/4/description_value,description_value_list/5/description_value,description_value_list/6/description_value,description_value_list/7/description_value,description_value_list/8/description_value,description_value_list/9/description_value,description_value_list/10/description_value
2011101,20111,1,2011102,10102,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,1.78,5,,,,,,,,
2011102,20111,2,2011103,10103,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,1.97,5,,,,,,,,
2011103,20111,3,2011104,10104,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,2.17,5,,,,,,,,
2011104,20111,4,2011105,10105,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,2.37,5,,,,,,,,
2011105,20111,5,2011106,10106,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,2.57,5,,,,,,,,
2011106,20111,6,2011107,10107,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,2.77,5,,,,,,,,
2011107,20111,7,2011108,10108,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,2.96,5,,,,,,,,
2011108,20111,8,2011109,10109,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,3.16,5,,,,,,,,
2011109,20111,9,2011110,10110,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,3.36,5,,,,,,,,
2011110,20111,10,0,0,icn_skill_statcritical_01,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,3.56,5,,,,,,,,
1011101,10111,1,1011102,10102,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011102,10111,2,1011103,10103,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011103,10111,3,1011104,10104,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011104,10111,4,1011105,10105,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011105,10111,5,1011106,10106,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011106,10111,6,1011107,10107,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011107,10111,7,1011108,10108,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011108,10111,8,1011109,10109,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011109,10111,9,1011110,10110,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
1011110,10111,10,0,0,,Locale_Skill:20111_name,Locale_Skill:20111_description,Locale_Skill:skill_name_1002,2,,,,,,,,,,
2011201,20112,1,2011202,10202,icn_skill_statcritical_01,Locale_Skill:20112_name,Locale_Skill:20112_description,Locale_Skill:skill_name_1003,22.96,2,,,,,,,,,
