id,group_id,overclock_level,monster_level_up,battle_power,color,reward_id
1,10000,1,5,1250,F1F1F1,3201001
2,10000,2,10,2500,F1F1F1,3201002
3,10000,3,15,3750,F1F1F1,3201003
4,10000,4,20,5000,F1F1F1,3201004
5,10000,5,25,6250,F1F1F1,3201005
6,10000,6,30,7500,F1F1F1,3201006
7,10000,7,35,8750,F1F1F1,3201007
8,10000,8,40,10000,F1F1F1,3201008
9,10000,9,45,11250,F1F1F1,3201009
10,10000,10,50,12500,F1F1F1,3201010
11,10000,11,55,13750,F1F1F1,3201011
12,10000,12,60,15000,F1F1F1,3201012
13,10000,13,65,16250,F1F1F1,3201013
14,10000,14,70,17500,F1F1F1,3201014
15,10000,15,75,18750,F1F1F1,3201015
16,10000,16,80,20000,00AEFF,3201016
17,10000,17,85,21250,00AEFF,3201017
18,10000,18,90,22500,00AEFF,3201018
19,10000,19,95,23750,00AEFF,3201019
20,10000,20,100,25000,00AEFF,3201020
21,10000,21,105,26250,00AEFF,3201021
22,10000,22,110,27500,00AEFF,3201022
23,10000,23,115,28750,00AEFF,3201023
24,10000,24,120,30000,00AEFF,3201024
25,10000,25,125,31250,00AEFF,3201025
26,10000,26,130,32500,C52DFF,0
27,10000,27,135,33750,C52DFF,0
28,10000,28,140,35000,C52DFF,0
29,10000,29,145,36250,C52DFF,0
30,10000,30,150,37500,C52DFF,0
31,10000,31,155,38750,C52DFF,0
32,10000,32,160,40000,C52DFF,0
33,10000,33,165,41250,C52DFF,0
34,10000,34,170,42500,C52DFF,0
35,10000,35,175,43750,C52DFF,0
36,10000,36,180,45000,FFAC10,0
37,10000,37,185,46250,FFAC10,0
38,10000,38,190,47500,FFAC10,0
39,10000,39,195,48750,FFAC10,0
40,10000,40,200,50000,FFAC10,0
41,10000,41,205,51250,FFAC10,0
42,10000,42,210,52500,FFAC10,0
43,10000,43,215,53750,FFAC10,0
44,10000,44,220,55000,FFAC10,0
45,10000,45,225,56250,FFAC10,0
46,10000,46,230,57500,E34A42,0
47,10000,47,235,58750,E34A42,0
48,10000,48,240,60000,E34A42,0
49,10000,49,245,61250,E34A42,0
50,10000,50,250,62500,E34A42,0
51,10001,1,5,1250,F1F1F1,3201001
52,10001,2,10,2500,F1F1F1,3201002
53,10001,3,15,3750,F1F1F1,3201003
54,10001,4,20,5000,F1F1F1,3201004
55,10001,5,25,6250,F1F1F1,3201005
56,10001,6,30,7500,F1F1F1,3201006
57,10001,7,35,8750,F1F1F1,3201007
58,10001,8,40,10000,F1F1F1,3201008
59,10001,9,45,11250,F1F1F1,3201009
60,10001,10,50,12500,F1F1F1,3201010
61,10001,11,55,13750,F1F1F1,3201011
62,10001,12,60,15000,F1F1F1,3201012
63,10001,13,65,16250,F1F1F1,3201013
64,10001,14,70,17500,F1F1F1,3201014
65,10001,15,75,18750,F1F1F1,3201015
66,10001,16,80,20000,00AEFF,3201016
67,10001,17,85,21250,00AEFF,3201017
68,10001,18,90,22500,00AEFF,3201018
69,10001,19,95,23750,00AEFF,3201019
70,10001,20,100,25000,00AEFF,3201020
71,10001,21,105,26250,00AEFF,3201021
72,10001,22,110,27500,00AEFF,3201022
73,10001,23,115,28750,00AEFF,3201023
74,10001,24,120,30000,00AEFF,3201024
75,10001,25,125,31250,00AEFF,3201025
76,10001,26,130,32500,C52DFF,0
77,10001,27,135,33750,C52DFF,0
78,10001,28,140,35000,C52DFF,0
79,10001,29,145,36250,C52DFF,0
80,10001,30,150,37500,C52DFF,0
81,10001,31,155,38750,C52DFF,0
82,10001,32,160,40000,C52DFF,0
83,10001,33,165,41250,C52DFF,0
84,10001,34,170,42500,C52DFF,0
85,10001,35,175,43750,C52DFF,0
86,10001,36,180,45000,FFAC10,0
87,10001,37,185,46250,FFAC10,0
88,10001,38,190,47500,FFAC10,0
89,10001,39,195,48750,FFAC10,0
90,10001,40,200,50000,FFAC10,0
91,10001,41,205,51250,FFAC10,0
92,10001,42,210,52500,FFAC10,0
93,10001,43,215,53750,FFAC10,0
94,10001,44,220,55000,FFAC10,0
95,10001,45,225,56250,FFAC10,0
96,10001,46,230,57500,E34A42,0
97,10001,47,235,58750,E34A42,0
98,10001,48,240,60000,E34A42,0
99,10001,49,245,61250,E34A42,0
100,10001,50,250,62500,E34A42,0
101,10002,1,5,2180,F1F1F1,3201001
102,10002,2,10,4360,F1F1F1,3201002
103,10002,3,15,6540,F1F1F1,3201003
104,10002,4,20,8720,F1F1F1,3201004
105,10002,5,25,10900,F1F1F1,3201005
106,10002,6,30,13080,F1F1F1,3201006
107,10002,7,35,15260,F1F1F1,3201007
108,10002,8,40,17440,F1F1F1,3201008
109,10002,9,45,19620,F1F1F1,3201009
110,10002,10,50,21800,F1F1F1,3201010
111,10002,11,55,23980,F1F1F1,3201011
112,10002,12,60,26160,F1F1F1,3201012
113,10002,13,65,28340,F1F1F1,3201013
114,10002,14,70,30520,F1F1F1,3201014
115,10002,15,75,32700,F1F1F1,3201015
116,10002,16,80,34880,00AEFF,3201016
117,10002,17,85,37060,00AEFF,3201017
118,10002,18,90,39240,00AEFF,3201018
119,10002,19,95,41420,00AEFF,3201019
120,10002,20,100,43600,00AEFF,3201020
121,10002,21,105,45780,00AEFF,3201021
122,10002,22,110,47960,00AEFF,3201022
123,10002,23,115,50140,00AEFF,3201023
124,10002,24,120,52320,00AEFF,3201024
125,10002,25,125,54500,00AEFF,3201025
126,10002,26,130,56680,C52DFF,0
127,10002,27,135,58860,C52DFF,0
128,10002,28,140,61040,C52DFF,0
129,10002,29,145,63220,C52DFF,0
130,10002,30,150,65400,C52DFF,0
131,10002,31,155,67580,C52DFF,0
132,10002,32,160,69760,C52DFF,0
133,10002,33,165,71940,C52DFF,0
134,10002,34,170,74120,C52DFF,0
135,10002,35,175,76300,C52DFF,0
136,10002,36,180,78480,FFAC10,0
137,10002,37,185,80660,FFAC10,0
138,10002,38,190,82840,FFAC10,0
139,10002,39,195,85020,FFAC10,0
140,10002,40,200,87200,FFAC10,0
141,10002,41,205,89380,FFAC10,0
142,10002,42,210,91560,FFAC10,0
143,10002,43,215,93740,FFAC10,0
144,10002,44,220,95920,FFAC10,0
145,10002,45,225,98100,FFAC10,0
146,10002,46,230,100280,E34A42,0
147,10002,47,235,102460,E34A42,0
148,10002,48,240,104640,E34A42,0
149,10002,49,245,106820,E34A42,0
150,10002,50,250,109000,E34A42,0
151,10003,1,5,2180,F1F1F1,3201001
152,10003,2,10,4360,F1F1F1,3201002
153,10003,3,15,6540,F1F1F1,3201003
154,10003,4,20,8720,F1F1F1,3201004
155,10003,5,25,10900,F1F1F1,3201005
156,10003,6,30,13080,F1F1F1,3201006
157,10003,7,35,15260,F1F1F1,3201007
158,10003,8,40,17440,F1F1F1,3201008
159,10003,9,45,19620,F1F1F1,3201009
160,10003,10,50,21800,F1F1F1,3201010
161,10003,11,55,23980,F1F1F1,3201011
162,10003,12,60,26160,F1F1F1,3201012
163,10003,13,65,28340,F1F1F1,3201013
164,10003,14,70,30520,F1F1F1,3201014
165,10003,15,75,32700,F1F1F1,3201015
166,10003,16,80,34880,00AEFF,3201016
