id,group_id,balloon_type,speaker,scenario_localkey
d_balloon_01_a_1,d_balloon_01_a,Shouting,privaty,Locale_SubScenario:m_subquest_1062_s_28
d_balloon_01_a_2,d_balloon_01_a,Shouting,privaty,Locale_SubScenario:m_subquest_1062_e_1
d_balloon_01_a_3,d_balloon_01_a,Shouting,privaty,Locale_SubScenario:d_subquest_1062_24
d_balloon_01_s_1,d_balloon_01_s,Normal,privaty,Locale_SubScenario:d_contents_arena_01_1
d_balloon_01_s_2,d_balloon_01_s,Thinking,privaty,Locale_SubScenario:d_contents_arena_01_2
d_balloon_01_s_3,d_balloon_01_s,Shouting,privaty,Locale_SubScenario:d_contents_arena_01_8
d_balloon_01_s_4,d_balloon_01_s,Frame,privaty,Locale_SubScenario:d_contents_arena_01_17
d_balloon_01_e_1,d_balloon_01_e,Shouting,privaty,Locale_SubScenario:m_test_quest4_s_02
d_balloon_01_m_1,d_balloon_01_m,Normal,privaty,Locale_SubScenario:m_test_quest3_e_14
event_miraclesnow_ballon_01_01,event_miraclesnow_ballon_01,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_01_01
event_miraclesnow_ballon_01_02,event_miraclesnow_ballon_01,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_01_02
event_miraclesnow_ballon_02_01,event_miraclesnow_ballon_02,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_02_01
event_miraclesnow_ballon_02_02,event_miraclesnow_ballon_02,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_02_02
event_miraclesnow_ballon_03_01,event_miraclesnow_ballon_03,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_03_01
event_miraclesnow_ballon_03_02,event_miraclesnow_ballon_03,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_03_02
event_miraclesnow_ballon_04_01,event_miraclesnow_ballon_04,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_04_01
event_miraclesnow_ballon_04_02,event_miraclesnow_ballon_04,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_04_02
event_miraclesnow_ballon_05_01,event_miraclesnow_ballon_05,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_05_01
event_miraclesnow_ballon_05_02,event_miraclesnow_ballon_05,Normal,alice,Locale_SubScenario:event_miraclesnow_balloon_05_02
event_miraclesnow_ballon_06_01,event_miraclesnow_ballon_06,Normal,ludmilla,Locale_SubScenario:event_miraclesnow_balloon_06_01
event_miraclesnow_ballon_06_02,event_miraclesnow_ballon_06,Normal,ludmilla,Locale_SubScenario:event_miraclesnow_balloon_06_02
event_miraclesnow_ballon_07_01,event_miraclesnow_ballon_07,Normal,ludmilla,Locale_SubScenario:event_miraclesnow_balloon_07_01
event_miraclesnow_ballon_07_02,event_miraclesnow_ballon_07,Normal,ludmilla,Locale_SubScenario:event_miraclesnow_balloon_07_02
event_miraclesnow_ballon_08_01,event_miraclesnow_ballon_08,Normal,ludmilla,Locale_SubScenario:event_miraclesnow_balloon_08_01
event_miraclesnow_ballon_08_02,event_miraclesnow_ballon_08,Normal,ludmilla,Locale_SubScenario:event_miraclesnow_balloon_08_02
event_miraclesnow_ballon_09_01,event_miraclesnow_ballon_09,Normal,ludmilla,Locale_SubScenario:event_miraclesnow_balloon_09_01
