id,level_group,level_min,level_max,summon_cost,need_cost,increase_attack,increase_hp,bubble_count
101,1,1,1,0,0,0,0,1
102,1,2,2,0,0,10000,9897,1
103,1,3,3,0,0,18000,18674,1
104,1,4,4,0,0,28000,27551,1
105,1,5,5,0,0,40000,39694,1
106,1,6,6,0,0,51000,50714,1
107,1,7,7,0,0,64000,62857,1
108,1,8,8,0,0,77000,76021,1
109,1,9,9,0,0,90000,89285,1
110,1,10,10,0,0,103000,102449,1
111,1,11,11,0,0,117000,267755,1
112,1,12,12,0,0,132000,162551,1
113,1,13,13,0,0,145000,180511,1
114,1,14,14,0,0,161000,198367,1
115,1,15,15,0,0,174000,217653,1
116,1,16,16,0,0,190000,234184,1
117,1,17,17,0,0,205000,253469,1
118,1,18,18,0,0,220000,272755,1
119,1,19,19,0,0,235000,292041,1
120,1,20,20,0,0,250000,309898,1
121,1,21,21,0,0,266000,972041,1
122,1,22,22,0,0,282000,418265,1
123,1,23,23,0,0,297000,442959,1
124,1,24,24,0,0,314000,466225,1
125,1,25,25,0,0,329000,490918,1
126,1,26,26,0,0,346000,514082,1
127,1,27,27,0,0,362000,537245,1
128,1,28,28,0,0,378000,563673,1
129,1,29,29,0,0,394000,585204,1
130,1,30,30,0,0,411000,611633,1
131,1,31,31,0,0,427000,636428,1
132,1,32,32,0,0,444000,661225,1
133,1,33,33,0,0,461000,684388,1
134,1,34,34,0,0,478000,710816,1
135,1,35,35,0,0,494000,735612,1
136,1,36,36,0,0,511000,760408,1
137,1,37,37,0,0,529000,786837,1
138,1,38,38,0,0,545000,810000,1
139,1,39,39,0,0,562000,838163,1
140,1,40,40,0,0,579000,861225,1
141,1,41,41,0,0,596999,887653,1
142,1,42,42,0,0,614000,914184,1
143,1,43,43,0,0,632000,938877,1
144,1,44,44,0,0,649000,965408,1
145,1,45,45,0,0,666000,991837,1
146,1,46,46,0,0,684000,1016633,1
147,1,47,47,0,0,701000,1043061,1
148,1,48,48,0,0,719000,1069592,1
149,1,49,49,0,0,737000,1095918,1
150,1,50,50,0,0,754000,1122449,1
151,1,51,-1,0,0,754000,1122449,1
10101,101,1,1,100,100,0,0,4
10102,101,2,2,100,100,5000,5000,4
10103,101,3,3,100,100,10000,10000,4
10104,101,4,4,100,100,15000,15000,4
10105,101,5,5,100,100,20000,20000,4
10106,101,6,6,100,100,25000,25000,4
10107,101,7,7,100,100,30000,30000,4
10108,101,8,8,100,100,35000,35000,4
10109,101,9,9,100,100,40000,40000,4
10110,101,10,10,100,100,45000,45000,4
10111,101,11,11,100,100,50000,50000,5
10112,101,12,12,100,100,55000,55000,5
10113,101,13,13,100,100,60000,60000,5
10114,101,14,14,100,100,65000,65000,5
10115,101,15,15,100,100,70000,70000,5
10116,101,16,16,100,100,75000,75000,5
10117,101,17,17,100,100,80000,80000,5
10118,101,18,18,100,100,85000,85000,5
10119,101,19,19,100,100,90000,90000,5
10120,101,20,20,100,100,95000,95000,5
10121,101,21,21,100,100,100000,100000,6
10122,101,22,22,100,100,105000,105000,6
10123,101,23,23,100,100,110000,110000,6
10124,101,24,24,100,100,115000,115000,6
10125,101,25,25,100,100,120000,120000,6
10126,101,26,26,100,100,125000,125000,6
10127,101,27,27,100,100,130000,130000,6
10128,101,28,28,100,100,135000,135000,6
10129,101,29,29,100,100,140000,140000,6
10130,101,30,30,100,100,145000,145000,6
10131,101,31,31,100,100,150000,150000,6
10132,101,32,32,100,100,155000,155000,6
10133,101,33,33,100,100,160000,160000,6
10134,101,34,34,100,100,165000,165000,6
10135,101,35,35,100,100,170000,170000,6
10136,101,36,36,100,100,175000,175000,6
10137,101,37,37,100,100,180000,180000,6
10138,101,38,38,100,100,185000,185000,6
10139,101,39,39,100,100,190000,190000,6
10140,101,40,40,100,100,195000,195000,6
10141,101,41,41,100,100,200000,200000,6
10142,101,42,42,100,100,205000,205000,6
10143,101,43,43,100,100,210000,210000,6
10144,101,44,44,100,100,215000,215000,6
10145,101,45,45,100,100,220000,220000,6
10146,101,46,46,100,100,225000,225000,6
10147,101,47,47,100,100,230000,230000,6
10148,101,48,48,100,100,235000,235000,6
10149,101,49,49,100,100,240000,240000,6
10150,101,50,50,100,100,245000,245000,6
10151,101,51,-1,100,100,245000,245000,6
10201,102,1,1,200,200,0,0,4
